index,time,amplitude
0,0,2
1,0.001,1.90209
2,0.002,1.61797
3,0.003,1.17547
4,0.004,0.617936
5,0.005,1.22434e-16
6,0.006,-0.617814
7,0.007,-1.175
8,0.008,-1.61701
9,0.009,-1.90059
10,0.01,-1.99803
11,0.011,-1.89984
12,0.012,-1.61574
13,0.013,-1.17361
14,0.014,-0.616839
15,0.015,-3.66579e-16
16,0.016,0.616474
17,0.017,1.17222
18,0.018,1.61287
19,0.019,1.89534
20,0.02,1.99211
21,0.021,1.89385
22,0.022,1.61032
23,0.023,1.16944
24,0.024,0.614527
25,0.025,-1.15687e-15
26,0.026,-0.61392
27,0.027,-1.16713
28,0.028,-1.60555
29,0.029,-1.88637
30,0.03,-1.98229
31,0.031,-1.88413
32,0.032,-1.60174
33,0.033,-1.16298
34,0.034,-0.611009
35,0.035,2.663e-15
36,0.036,0.610162
37,0.037,1.15976
38,0.038,1.59508
39,0.039,1.8737
40,0.04,1.96858
41,0.041,1.87073
42,0.042,1.59003
43,0.043,1.15425
44,0.044,0.6063
45,0.045,1.0803e-15
46,0.046,-0.605217
47,0.047,-1.15013
48,0.048,-1.58152
49,0.049,-1.85739
50,0.05,-1.95106
51,0.051,-1.8537
52,0.052,-1.57524
53,0.053,-1.14328
54,0.054,-0.600417
55,0.055,2.14041e-15
56,0.056,0.599102
57,0.057,1.13828
58,0.058,1.5649
59,0.059,1.83751
60,0.06,1.92978
61,0.061,1.83311
62,0.062,1.55742
63,0.063,1.13012
64,0.064,0.593384
65,0.065,-1.88004e-15
66,0.066,-0.591842
67,0.067,-1.12425
68,0.068,-1.54531
69,0.069,-1.81413
70,0.07,-1.90483
71,0.071,-1.80904
72,0.072,-1.53665
73,0.073,-1.11482
74,0.074,-0.585229
75,0.075,1.62224e-15
76,0.076,0.583466
77,0.077,1.10811
78,0.078,1.52281
79,0.079,1.78734
80,0.08,1.87631
81,0.081,1.78158
82,0.082,1.51301
83,0.083,1.09744
84,0.084,0.575984
85,0.085,-1.3684e-15
86,0.086,-0.574007
87,0.087,-1.08992
88,0.088,-1.49749
89,0.089,-1.75725
90,0.09,-1.84433
91,0.091,-1.75084
92,0.092,-1.48659
93,0.093,-1.07804
94,0.094,-0.565685
95,0.095,1.1199e-15
96,0.096,0.563503
97,0.097,1.06974
98,0.098,1.46945
99,0.099,1.72397
100,0.1,1.80902
101,0.101,1.71695
102,0.102,1.4575
103,0.103,1.05672
104,0.104,0.554374
105,0.105,-8.78031e-16
106,0.106,-0.551993
107,0.107,-1.04766
108,0.108,-1.43881
109,0.109,-1.68765
110,0.11,-1.77051
111,0.111,-1.68003
112,0.112,-1.42585
113,0.113,-1.03354
114,0.114,-0.542093
115,0.115,6.86171e-15
116,0.116,0.539525
117,0.117,1.02377
118,0.118,1.40568
119,0.119,1.64842
120,0.12,1.72897
121,0.121,1.64024
122,0.122,1.39176
123,0.123,1.0086
124,0.124,0.528894
125,0.125,-4.19177e-16
126,0.126,-0.526148
127,0.127,-0.998157
128,0.128,-1.37019
129,0.129,-1.60644
130,0.13,-1.68455
131,0.131,-1.59773
132,0.132,-1.35537
133,0.133,-0.982004
134,0.134,-0.514826
135,0.135,6.10665e-15
136,0.136,0.511913
137,0.137,0.970924
138,0.138,1.3325
139,0.139,1.56188
140,0.14,1.63742
141,0.141,1.55267
142,0.142,1.31683
143,0.143,0.953851
144,0.144,0.499946
145,0.145,-9.98358e-19
146,0.146,-0.496878
147,0.147,-0.942178
148,0.148,-1.29273
149,0.149,-1.5149
150,0.15,-1.58779
151,0.151,-1.50523
152,0.152,-1.27628
153,0.153,-0.924252
154,0.154,-0.484313
155,0.155,5.3593e-15
156,0.156,0.481101
157,0.157,0.912035
158,0.158,1.25106
159,0.159,1.46569
160,0.16,1.53583
161,0.161,1.4556
162,0.162,1.23389
163,0.163,0.893326
164,0.164,0.467988
165,0.165,3.68674e-16
166,0.166,-0.464645
167,0.167,-0.880611
168,0.168,-1.20764
169,0.169,-1.41446
170,0.17,-1.48175
171,0.171,-1.40399
172,0.172,-1.18982
173,0.173,-0.861194
174,0.174,-0.451035
175,0.175,-5.6989e-15
176,0.176,0.447575
177,0.177,0.848032
178,0.178,1.16265
179,0.179,1.3614
180,0.18,1.42578
181,0.181,1.35058
182,0.182,1.14425
183,0.183,0.827983
184,0.184,0.433522
185,0.185,6.8354e-16
186,0.186,-0.429958
187,0.187,-0.814426
188,0.188,-1.11626
189,0.189,-1.30671
190,0.19,-1.36812
191,0.191,-1.2956
192,0.192,-1.09736
193,0.193,-0.793824
194,0.194,-0.415518
195,0.195,3.93724e-15
196,0.196,0.411864
197,0.197,0.779925
198,0.198,1.06867
199,0.199,1.25063
200,0.2,1.30902
201,0.201,1.23926
202,0.202,1.04933
203,0.203,0.758852
204,0.204,0.397093
205,0.205,1.00268e-14
206,0.206,-0.393364
207,0.207,-0.744666
208,0.208,-1.02004
209,0.209,-1.19336
210,0.21,-1.24869
211,0.211,-1.18178
212,0.212,-1.00035
213,0.213,-0.723205
214,0.214,-0.37832
215,0.215,-5.37122e-15
216,0.216,0.374531
217,0.217,0.708788
218,0.218,0.970586
219,0.219,1.13513
220,0.22,1.18738
221,0.221,1.12339
222,0.222,0.950614
223,0.223,0.687023
224,0.224,0.359275
225,0.225,1.13226e-15
226,0.226,-0.355439
227,0.227,-0.672433
228,0.228,-0.920492
229,0.229,-1.07618
230,0.23,-1.12533
231,0.231,-1.06432
232,0.232,-0.90032
233,0.233,-0.65045
234,0.234,-0.34003
235,0.235,2.68182e-15
236,0.236,0.336165
237,0.237,0.635743
238,0.238,0.869958
239,0.239,1.01674
240,0.24,1.06279
241,0.241,1.00481
242,0.242,0.849666
243,0.243,0.613629
244,0.244,0.320664
245,0.245,-6.06614e-15
246,0.246,-0.316783
247,0.247,-0.598864
248,0.248,-0.819183
249,0.249,-0.957032
250,0.25,-1
251,0.251,-0.945081
252,0.252,-0.798851
253,0.253,-0.576706
254,0.254,-0.301251
255,0.255,-4.74532e-15
256,0.256,0.29737
257,0.257,0.561941
258,0.258,0.768368
259,0.259,0.897304
260,0.26,0.937209
261,0.261,0.885377
262,0.262,0.748076
263,0.263,0.539827
264,0.264,0.281869
265,0.265,1.33072e-15
266,0.266,-0.278004
267,0.267,-0.525121
268,0.268,-0.717714
269,0.269,-0.837788
270,0.27,-0.874667
271,0.271,-0.825931
272,0.272,-0.697542
273,0.273,-0.503138
274,0.274,-0.262595
275,0.275,1.65448e-15
276,0.276,0.258759
277,0.277,0.488547
278,0.278,0.66742
279,0.279,0.77872
280,0.28,0.812619
281,0.281,0.76698
282,0.282,0.647448
283,0.283,0.466782
284,0.284,0.243503
285,0.285,6.89544e-15
286,0.286,-0.239714
287,0.287,-0.452366
288,0.288,-0.617685
289,0.289,-0.720331
290,0.29,-0.75131
291,0.291,-0.708755
292,0.292,-0.597992
293,0.293,-0.430904
294,0.294,-0.22467
295,0.295,-3.88556e-15
296,0.296,0.220941
297,0.297,0.416718
298,0.298,0.568705
299,0.299,0.662853
300,0.3,0.690983
301,0.301,0.651487
302,0.302,0.549368
303,0.303,0.395645
304,0.304,0.20617
305,0.305,1.29529e-15
306,0.306,-0.202516
307,0.307,-0.381746
308,0.308,-0.520674
309,0.309,-0.606512
310,0.31,-0.631875
311,0.311,-0.5954
312,0.312,-0.501769
313,0.313,-0.361145
314,0.314,-0.188076
315,0.315,8.87057e-16
316,0.316,0.184512
317,0.317,0.347587
318,0.318,0.47378
319,0.319,0.551531
320,0.32,0.574221
321,0.321,0.540717
322,0.322,0.455383
323,0.323,0.327538
324,0.324,0.170459
325,0.325,-2.67636e-15
326,0.326,-0.166999
327,0.327,-0.314376
328,0.328,-0.42821
329,0.329,-0.498127
330,0.33,-0.518246
331,0.331,-0.487654
332,0.332,-0.410392
333,0.333,-0.294959
334,0.334,-0.153389
335,0.335,4.09063e-15
336,0.336,0.150046
337,0.337,0.282244
338,0.338,0.384142
339,0.339,0.44651
340,0.34,0.464173
341,0.341,0.43642
342,0.342,0.366975
343,0.343,0.263536
344,0.344,0.136933
345,0.345,1.07232e-15
346,0.346,-0.133721
347,0.347,-0.251318
348,0.348,-0.341751
349,0.349,-0.396885
350,0.35,-0.412215
351,0.351,-0.387216
352,0.352,-0.325302
353,0.353,-0.233392
354,0.354,-0.121156
355,0.355,3.79961e-16
356,0.356,0.118088
357,0.357,0.22172
358,0.358,0.301204
359,0.359,0.349447
360,0.36,0.362576
361,0.361,0.340238
362,0.362,0.285538
363,0.363,0.204647
364,0.364,0.106121
365,0.365,-1.49423e-15
366,0.366,-0.103208
367,0.367,-0.193566
368,0.368,-0.262661
369,0.369,-0.304382
370,0.37,-0.315453
371,0.371,-0.29567
372,0.372,-0.24784
373,0.373,-0.177414
374,0.374,-0.0918862
375,0.375,-1.86537e-15
376,0.376,0.0891404
377,0.377,0.166968
378,0.378,0.226275
379,0.379,0.26187
380,0.38,0.271031
381,0.381,0.253689
382,0.382,0.212356
383,0.383,0.1518
384,0.384,0.0785085
385,0.385,7.34307e-16
386,0.386,-0.0759405
387,0.387,-0.142031
388,0.388,-0.192188
389,0.389,-0.222078
390,0.39,-0.229487
391,0.391,-0.21446
392,0.392,-0.179228
393,0.393,-0.127907
394,0.394,-0.0660405
395,0.395,1.03184e-16
396,0.396,0.0636605
397,0.397,0.118853
398,0.398,0.160536
399,0.399,0.185163
400,0.4,0.190983
401,0.401,0.178138
402,0.402,0.148585
403,0.403,0.105829
404,0.404,0.0545314
405,0.405,-6.78184e-16
406,0.406,-0.0523487
407,0.407,-0.0975262
408,0.408,-0.131443
409,0.409,-0.151271
410,0.41,-0.155672
411,0.411,-0.144867
412,0.412,-0.120548
413,0.413,-0.0856536
414,0.414,-0.0440267
415,0.415,1.02385e-15
416,0.416,0.04205
417,0.417,0.0781339
418,0.418,0.105024
419,0.419,0.120535
420,0.42,0.123693
421,0.421,0.114777
422,0.422,0.0952284
423,0.423,0.0674593
424,0.424,0.0345677
425,0.425,3.73672e-16
426,0.426,-0.0328048
427,0.427,-0.0607529
428,0.428,-0.0813829
429,0.429,-0.0930761
430,0.43,-0.0951729
431,0.431,-0.0879875
432,0.432,-0.0727258
433,0.433,-0.0513186
434,0.434,-0.0261919
435,0.435,1.16893e-15
436,0.436,0.0246497
437,0.437,0.0454518
438,0.438,0.0606138
439,0.439,0.0690038
440,0.44,0.0702235
441,0.441,0.0646042
442,0.442,0.053129
443,0.443,0.037295
444,0.444,0.0189323
445,0.445,-2.02903e-16
446,0.446,-0.0176169
447,0.447,-0.0322911
448,0.448,-0.0427984
449,0.449,-0.0484124
450,0.45,-0.0489435
451,0.451,-0.0447193
452,0.452,-0.0365154
453,0.453,-0.025444
454,0.454,-0.0128175
455,0.455,-2.91782e-16
456,0.456,0.0117341
457,0.457,0.0213227
458,0.458,0.0280068
459,0.459,0.0313835
460,0.46,0.0314168
461,0.461,0.0284113
462,0.462,0.0229504
463,0.463,0.0158123
464,0.464,0.00787163
465,0.465,-2.47879e-16
466,0.466,-0.00702454
467,0.467,-0.0125898
468,0.468,-0.0162976
469,0.469,-0.017984
470,0.47,-0.0177127
471,0.471,-0.0157445
472,0.472,-0.0124877
473,0.473,-0.0084379
474,0.474,-0.00411427
475,0.475,-6.00811e-18
476,0.476,0.0035068
477,0.477,0.006127
478,0.478,0.00771687
479,0.479,0.00826693
480,0.48,0.0078853
481,0.481,0.00676905
482,0.482,0.00516856
483,0.483,0.00334991
484,0.484,0.00156022
485,0.485,5.00105e-17
486,0.486,-0.00119478
487,0.487,-0.00195972
488,0.488,-0.0022985
489,0.489,-0.00227064
490,0.49,-0.00197327
