index,time,amplitude
0,0,5
1,0.001,4.72527
2,0.002,3.94337
3,0.003,2.77376
4,0.004,1.39216
5,0.005,6.96103e-05
6,0.006,-1.20984
7,0.007,-2.08605
8,0.008,-2.54243
9,0.009,-2.57023
10,0.01,-2.23562
11,0.011,-1.66376
12,0.012,-1.01251
13,0.013,-0.440894
14,0.014,-0.078434
15,0.015,-0.00101319
16,0.016,-0.217826
17,0.017,-0.671624
18,0.018,-1.25198
19,0.019,-1.81881
20,0.02,-2.23134
21,0.021,-2.37693
22,0.022,-2.19399
23,0.023,-1.68459
24,0.024,-0.914401
25,0.025,-1.80351e-15
26,0.026,0.913898
27,0.027,1.68274
28,0.028,2.19039
29,0.029,2.37179
30,0.03,2.22544
31,0.031,1.81334
32,0.032,1.24822
33,0.033,0.670529
34,0.034,0.219755
35,0.035,0.00550285
36,0.036,0.0842144
37,0.037,0.446115
38,0.038,1.01515
39,0.039,1.66213
40,0.04,2.22887
41,0.041,2.55869
42,0.042,2.52772
43,0.043,2.07093
44,0.044,1.19778
45,0.045,-0.00561102
46,0.046,-1.38842
47,0.047,-2.75934
48,0.048,-3.91872
49,0.049,-4.69275
50,0.05,-4.96361
51,0.051,-4.69005
52,0.052,-3.91445
53,0.053,-2.75542
54,0.054,-1.38699
55,0.055,-0.00836146
56,0.056,1.1902
57,0.057,2.05924
58,0.058,2.51395
59,0.059,2.54576
60,0.06,2.21991
61,0.061,1.65958
62,0.062,1.01997
63,0.063,0.457328
64,0.064,0.0987985
65,0.065,0.0188408
66,0.066,0.226518
67,0.067,0.665851
68,0.068,1.22891
69,0.069,1.7789
70,0.07,2.17853
71,0.071,2.31813
72,0.072,2.13798
73,0.073,1.64047
74,0.074,0.889904
75,0.075,1.83217e-14
76,0.076,-0.888416
77,0.077,-1.63499
78,0.078,-2.12734
79,0.079,-2.30292
80,0.08,-2.16106
81,0.081,-1.7627
82,0.082,-1.21771
83,0.083,-0.662526
84,0.084,-0.232109
85,0.085,-0.0319831
86,0.086,-0.115749
87,0.087,-0.472632
88,0.088,-1.02766
89,0.089,-1.65469
90,0.09,-2.19993
91,0.091,-2.51166
92,0.092,-2.47053
93,0.093,-2.01468
94,0.094,-1.15468
95,0.095,0.0245824
96,0.096,1.37575
97,0.097,2.71265
98,0.098,3.84142
99,0.099,4.59376
100,0.1,4.85592
101,0.101,4.58846
102,0.102,3.83304
103,0.103,2.70494
104,0.104,1.3729
105,0.105,0.0298828
106,0.106,-1.13995
107,0.107,-1.9919
108,0.108,-2.44366
109,0.109,-2.4864
110,0.11,-2.18237
111,0.111,-1.64958
112,0.112,-1.0369
113,0.113,-0.494284
114,0.114,-0.143929
115,0.115,-0.0576865
116,0.116,-0.244944
117,0.117,-0.653007
118,0.118,-1.17963
119,0.119,-1.69508
120,0.12,-2.06913
121,0.121,-2.19786
122,0.122,-2.02477
123,0.123,-1.5523
124,0.124,-0.841484
125,0.125,-1.26915e-14
126,0.126,0.839076
127,0.127,1.54344
128,0.128,2.00755
129,0.129,2.17321
130,0.13,2.04081
131,0.131,1.66873
132,0.132,1.16131
133,0.133,0.64734
134,0.134,0.253621
135,0.135,0.0785201
136,0.136,0.170898
137,0.137,0.518609
138,0.138,1.04898
139,0.139,1.64144
140,0.14,2.14995
141,0.141,2.4313
142,0.142,2.37366
143,0.143,1.92019
144,0.144,1.08296
145,0.145,-0.0555964
146,0.146,-1.35419
147,0.147,-2.63521
148,0.148,-3.71441
149,0.149,-4.43223
150,0.15,-4.68121
151,0.151,-4.42455
152,0.152,-3.70224
153,0.153,-2.62397
154,0.154,-1.34991
155,0.155,-0.0630571
156,0.156,1.0619
157,0.157,1.8875
158,0.158,2.335
159,0.159,2.39488
160,0.16,2.12449
161,0.161,1.63376
162,0.162,1.06183
163,0.163,0.549193
164,0.164,0.210754
165,0.165,0.114699
166,0.166,0.271189
167,0.167,0.63267
168,0.168,1.10551
169,0.169,1.57042
170,0.17,1.90755
171,0.171,2.02117
172,0.172,1.85923
173,0.173,1.42392
174,0.174,0.771266
175,0.175,2.26465e-14
176,0.176,-0.768044
177,0.177,-1.41207
178,0.178,-1.83617
179,0.179,-1.98813
180,0.18,-1.86951
181,0.181,-1.53491
182,0.182,-1.08056
183,0.183,-0.624485
184,0.184,-0.282031
185,0.185,-0.141682
186,0.186,-0.245894
187,0.187,-0.580839
188,0.188,-1.07725
189,0.189,-1.62236
190,0.19,-2.08092
191,0.191,-2.3213
192,0.192,-2.24183
193,0.193,-1.79233
194,0.194,-0.986642
195,0.195,0.0963596
196,0.196,1.32374
197,0.197,2.52959
198,0.198,3.5425
199,0.199,4.21453
200,0.2,4.44649
201,0.201,4.20477
202,0.202,3.52699
203,0.203,2.51518
204,0.204,1.31805
205,0.205,0.105424
206,0.206,-0.960442
207,0.207,-1.75141
208,0.208,-2.19328
209,0.209,-2.27538
210,0.21,-2.04856
