Frequency,Magnitude,Phase
0,5.26588e-13,-0.329266
1,6.41907e-11,-1.96558
2,6.38596e-11,-1.82627
3,1.09815e-10,-1.47818
4,2.15372e-10,-1.17218
5,1.19188e-10,-2.49523
6,1.80869e-10,-1.65448
7,2.11938e-10,-1.6718
8,2.51233e-10,-1.63013
9,2.88113e-10,-1.58773
10,3.00279e-10,-1.45386
11,3.57476e-10,-1.65591
12,3.53427e-10,-1.52121
13,3.99176e-10,-1.57705
14,4.58555e-10,-1.46652
15,4.65527e-10,-1.65491
16,5.05881e-10,-1.48491
17,5.23842e-10,-1.47306
18,5.58524e-10,-1.58368
19,4.99362e-10,-1.677
20,6.1295e-10,-1.53741
21,6.57969e-10,-1.57414
22,6.97137e-10,-1.58348
23,7.63041e-10,-1.57367
24,8.5591e-10,-1.55553
25,8.17224e-10,-1.4892
26,7.94165e-10,-1.54925
27,8.29914e-10,-1.57516
28,8.61525e-10,-1.5661
29,9.4515e-10,-1.54961
30,9.46344e-10,-1.57811
31,9.63272e-10,-1.57083
32,9.87677e-10,-1.56742
33,1.00885e-09,-1.55922
34,1.02301e-09,-1.51961
35,1.09999e-09,-1.5539
36,1.11043e-09,-1.55417
37,1.16593e-09,-1.53741
38,1.1681e-09,-1.5407
39,1.20917e-09,-1.56815
40,1.24217e-09,-1.54658
41,1.31425e-09,-1.58748
42,1.31412e-09,-1.57385
43,1.33854e-09,-1.56554
44,1.29985e-09,-1.53207
45,1.38621e-09,-1.59951
46,1.42512e-09,-1.55781
47,1.45459e-09,-1.5569
48,1.46108e-09,-1.57251
49,1.49003e-09,-1.56745
50,1.5347e-09,-1.55946
51,1.70341e-09,-1.5332
52,1.61039e-09,-1.55658
53,1.6413e-09,-1.54689
54,1.65027e-09,-1.56275
55,1.71531e-09,-1.54912
56,1.72577e-09,-1.55897
57,1.78437e-09,-1.55833
58,2.94973e-09,-1.87645
59,1.8294e-09,-1.54713
60,1.92261e-09,-1.54728
61,1.87708e-09,-1.55364
62,1.92586e-09,-1.54548
63,2.00115e-09,-1.57779
64,1.99401e-09,-1.55525
65,2.0443e-09,-1.56516
66,2.03289e-09,-1.55745
67,2.11707e-09,-1.54075
68,2.10952e-09,-1.54835
69,2.13872e-09,-1.54867
70,2.19392e-09,-1.54179
71,2.21273e-09,-1.54835
72,2.23067e-09,-1.55624
73,2.2873e-09,-1.54836
74,2.30332e-09,-1.54439
75,2.34108e-09,-1.54529
76,2.35979e-09,-1.54041
77,2.37903e-09,-1.54636
78,2.57952e-09,-1.56667
79,2.43726e-09,-1.55483
80,2.48118e-09,-1.54926
81,2.5253e-09,-1.54452
82,2.58111e-09,-1.54846
83,2.57187e-09,-1.54334
84,2.61105e-09,-1.54921
85,2.65336e-09,-1.54278
86,2.66347e-09,-1.54856
87,2.70219e-09,-1.53542
88,2.72419e-09,-1.54067
89,2.77427e-09,-1.54834
90,2.80546e-09,-1.5427
91,2.82226e-09,-1.53937
92,2.9176e-09,-1.53273
93,2.90175e-09,-1.5574
94,2.82605e-09,-1.54087
95,2.95355e-09,-1.54969
96,2.96847e-09,-1.55515
97,3.03208e-09,-1.54804
98,3.07268e-09,-1.53887
99,3.02414e-09,-1.52198
100,3.0956e-09,-1.54213
101,3.10977e-09,-1.54233
102,3.15859e-09,-1.53917
103,3.20852e-09,-1.54349
104,3.2665e-09,-1.51542
105,3.27935e-09,-1.5425
106,3.29404e-09,-1.53975
107,3.3321e-09,-1.52746
108,3.3529e-09,-1.53966
109,3.3868e-09,-1.53679
110,3.41867e-09,-1.53375
111,3.44566e-09,-1.53077
112,3.47003e-09,-1.53455
113,3.48911e-09,-1.54178
114,3.51978e-09,-1.53394
115,3.54334e-09,-1.52966
116,3.59676e-09,-1.53574
117,3.63242e-09,-1.54882
118,3.65544e-09,-1.52926
119,3.68794e-09,-1.53805
120,3.7182e-09,-1.53438
121,3.78925e-09,-1.53063
122,3.78056e-09,-1.52889
123,3.81426e-09,-1.53732
124,3.83413e-09,-1.52923
125,3.90751e-09,-1.51795
126,3.94171e-09,-1.53151
127,3.96038e-09,-1.53212
128,3.90827e-09,-1.53656
129,3.97201e-09,-1.52743
130,4.04057e-09,-1.52616
131,4.07014e-09,-1.53243
132,4.10375e-09,-1.5243
133,4.12613e-09,-1.52796
134,4.15148e-09,-1.52881
135,4.21482e-09,-1.51988
136,4.22937e-09,-1.53166
137,4.27027e-09,-1.52701
138,4.2477e-09,-1.53396
139,4.31139e-09,-1.52615
140,4.38411e-09,-1.52772
141,4.38131e-09,-1.52717
142,4.40845e-09,-1.52577
143,4.45291e-09,-1.52533
144,4.47884e-09,-1.5238
145,4.52447e-09,-1.52661
146,4.53727e-09,-1.52857
147,4.57735e-09,-1.52337
148,4.60396e-09,-1.5213
149,4.62432e-09,-1.52247
150,4.65988e-09,-1.52894
151,4.68465e-09,-1.52434
152,4.70958e-09,-1.52361
153,4.76467e-09,-1.52307
154,4.76777e-09,-1.52428
155,4.82587e-09,-1.52313
156,4.84915e-09,-1.51882
157,4.85945e-09,-1.52072
158,4.91284e-09,-1.52128
159,4.91883e-09,-1.51961
160,4.97439e-09,-1.52034
161,5.01516e-09,-1.51858
162,5.04553e-09,-1.51795
163,5.0848e-09,-1.51719
164,5.09625e-09,-1.54655
165,5.1001e-09,-1.52562
166,5.17557e-09,-1.51946
167,5.16398e-09,-1.51975
168,5.21056e-09,-1.51862
169,5.26141e-09,-1.51682
170,5.23715e-09,-1.52309
171,5.31561e-09,-1.51873
172,5.32929e-09,-1.51607
173,5.26744e-09,-1.54569
174,5.42342e-09,-1.51698
175,5.42504e-09,-1.52057
176,5.44833e-09,-1.51511
177,5.50328e-09,-1.51105
178,5.54108e-09,-1.51461
179,5.57271e-09,-1.51265
180,5.74956e-09,-1.49709
181,5.63695e-09,-1.51482
182,5.59374e-09,-1.51267
183,5.52522e-09,-1.48152
184,5.76103e-09,-1.51657
185,5.71692e-09,-1.51607
186,5.80392e-09,-1.50655
187,5.83243e-09,-1.51288
188,5.85821e-09,-1.51241
189,5.87095e-09,-1.51445
190,5.93372e-09,-1.51015
191,5.93526e-09,-1.51153
192,5.97336e-09,-1.51373
193,6.29095e-09,-1.507
194,6.01565e-09,-1.50613
195,6.04591e-09,-1.5112
196,6.09682e-09,-1.50834
197,6.13211e-09,-1.51128
198,6.17763e-09,-1.50643
199,6.19598e-09,-1.51041
200,6.21557e-09,-1.5035
201,6.2589e-09,-1.50874
202,6.2813e-09,-1.50778
203,6.31633e-09,-1.50705
204,6.35939e-09,-1.51137
205,6.30702e-09,-1.50361
206,6.63867e-09,-1.52089
207,6.42626e-09,-1.50706
208,5.07881e-09,-1.44567
209,6.52805e-09,-1.50477
210,6.54197e-09,-1.50064
211,6.56463e-09,-1.50263
212,6.60642e-09,-1.50333
213,6.6452e-09,-1.50565
214,6.659e-09,-1.50349
215,6.696e-09,-1.50597
216,6.71353e-09,-1.50045
217,6.77992e-09,-1.50407
218,6.7733e-09,-1.50178
219,6.82554e-09,-1.50291
220,6.85181e-09,-1.50258
221,6.87864e-09,-1.5022
222,6.85856e-09,-1.49824
223,7.32427e-09,-1.51879
224,6.96011e-09,-1.5018
225,7.01522e-09,-1.50062
226,7.06186e-09,-1.50681
227,7.0792e-09,-1.49856
228,7.09322e-09,-1.49847
229,7.14473e-09,-1.49824
230,7.17156e-09,-1.5104
231,7.16329e-09,-1.4924
232,7.25194e-09,-1.49501
233,7.25054e-09,-1.49488
234,7.27225e-09,-1.49848
235,7.32039e-09,-1.49726
236,7.34627e-09,-1.49889
237,7.35095e-09,-1.49675
238,7.39883e-09,-1.49167
239,7.17926e-09,-1.46479
240,7.48015e-09,-1.49719
241,7.51352e-09,-1.49442
242,7.55062e-09,-1.49606
243,7.56919e-09,-1.49816
244,7.59508e-09,-1.49571
245,7.62247e-09,-1.49493
246,7.56892e-09,-1.49173
247,7.69743e-09,-1.49167
248,7.68657e-09,-1.49157
249,7.77483e-09,-1.5004
250,7.79133e-09,-1.49981
251,7.84808e-09,-1.49089
252,7.81711e-09,-1.49189
253,7.77833e-09,-1.50281
254,7.9071e-09,-1.49277
255,7.81346e-09,-1.50053
256,7.97612e-09,-1.49037
257,8.0135e-09,-1.49098
258,8.04415e-09,-1.48857
259,8.07423e-09,-1.48701
260,8.10001e-09,-1.48855
261,8.13735e-09,-1.4869
262,8.20235e-09,-1.48856
263,8.20827e-09,-1.48795
264,8.23772e-09,-1.48566
265,8.26212e-09,-1.4868
266,8.29079e-09,-1.48564
267,8.35001e-09,-1.48522
268,8.35225e-09,-1.48442
269,8.38999e-09,-1.48729
270,8.45404e-09,-1.48721
271,8.52144e-09,-1.48153
272,8.16643e-09,-1.44152
273,8.49004e-09,-1.48552
274,8.56093e-09,-1.49343
275,8.58321e-09,-1.48165
276,8.58606e-09,-1.48452
277,8.65268e-09,-1.4853
278,8.67283e-09,-1.48425
279,8.73465e-09,-1.4499
280,8.73451e-09,-1.4832
281,8.75616e-09,-1.48333
282,8.80187e-09,-1.48202
283,8.83043e-09,-1.48025
284,8.87536e-09,-1.48227
285,8.88205e-09,-1.4829
286,8.93e-09,-1.47986
287,8.97344e-09,-1.48067
288,8.95639e-09,-1.48262
289,8.78077e-09,-1.49533
290,9.06158e-09,-1.47116
291,9.07309e-09,-1.4744
292,9.1087e-09,-1.4796
293,9.15717e-09,-1.47831
294,9.18726e-09,-1.47866
295,9.19014e-09,-1.47743
296,9.23596e-09,-1.477
297,9.24752e-09,-1.48081
298,9.29976e-09,-1.47616
299,9.34608e-09,-1.47657
300,9.40127e-09,-1.47714
301,9.56891e-09,-1.47692
302,9.4428e-09,-1.47613
303,9.47942e-09,-1.47441
304,9.48946e-09,-1.47359
305,9.52552e-09,-1.47548
306,9.58655e-09,-1.47098
307,9.59769e-09,-1.47409
308,9.64674e-09,-1.47832
309,9.65468e-09,-1.47417
310,9.7406e-09,-1.46335
311,9.71152e-09,-1.469
312,9.7732e-09,-1.47226
313,9.78706e-09,-1.47336
314,9.77337e-09,-1.46342
315,9.86314e-09,-1.4711
316,9.8781e-09,-1.47092
317,9.9189e-09,-1.46929
318,9.94457e-09,-1.47145
319,9.97601e-09,-1.47095
320,1.00195e-08,-1.46968
321,1.00458e-08,-1.47154
322,1.00639e-08,-1.46835
323,1.01017e-08,-1.46844
324,1.01345e-08,-1.46964
325,1.01664e-08,-1.46796
326,1.01968e-08,-1.46845
327,1.02242e-08,-1.46805
328,1.02355e-08,-1.46824
329,1.0273e-08,-1.46636
330,1.03195e-08,-1.46734
331,1.03636e-08,-1.46544
332,1.04008e-08,-1.46592
333,1.04342e-08,-1.46535
334,1.04543e-08,-1.46587
335,1.04874e-08,-1.46182
336,1.04964e-08,-1.46159
337,1.05523e-08,-1.46307
338,1.05664e-08,-1.45866
339,1.05912e-08,-1.46372
340,1.06352e-08,-1.46548
341,1.06473e-08,-1.46495
342,1.07236e-08,-1.46811
343,1.07406e-08,-1.46084
344,1.07758e-08,-1.46308
345,1.08042e-08,-1.46259
346,1.07989e-08,-1.46557
347,1.09154e-08,-1.46257
348,1.09019e-08,-1.46201
349,1.09138e-08,-1.46928
350,1.09706e-08,-1.46312
351,1.09999e-08,-1.46037
352,1.10223e-08,-1.46133
353,1.10518e-08,-1.45923
354,1.10956e-08,-1.46114
355,1.11142e-08,-1.45948
356,1.11518e-08,-1.45985
357,1.11915e-08,-1.45918
