Frequency,Magnitude,Phase
-500,1.34926e-09,-1.71562
-499.99,1.61406e-09,-1.91613
-499.98,1.17629e-09,-1.75202
-499.97,8.11207e-10,-2.98078
-499.96,1.86743e-09,-2.13248
-499.95,3.36846e-09,1.11454
-499.94,4.82555e-10,-2.25969
-499.93,1.43855e-09,-1.88296
-499.92,1.86594e-09,-2.52371
-499.91,2.57713e-09,0.185698
-499.9,2.62953e-10,-0.226273
-499.89,3.13901e-09,-2.42909
-499.88,2.19958e-09,2.50778
-499.87,4.18034e-10,-0.8912
-499.86,2.36026e-09,2.5746
-499.85,1.65347e-09,-0.92017
-499.84,3.7888e-09,1.30549
-499.83,1.85293e-09,-2.51213
-499.82,3.12757e-09,-2.27177
-499.81,2.41339e-10,0.497865
-499.8,8.15857e-09,1.60833
-499.79,1.18943e-08,2.20585
-499.78,1.06908e-09,0.274188
-499.77,1.18092e-09,-1.26588
-499.76,1.52807e-09,-2.12809
-499.75,3.07138e-09,1.90278
-499.74,7.1058e-10,2.97263
-499.73,6.71993e-09,-1.1786
-499.72,2.59435e-09,1.50103
-499.71,3.85446e-09,-2.68591
-499.7,2.39865e-09,-3.07896
-499.69,1.60124e-09,2.27996
-499.68,1.27592e-09,0.0171077
-499.67,6.966e-11,-0.581763
-499.66,3.57874e-09,-1.05063
-499.65,1.47534e-09,1.47692
-499.64,1.01389e-08,-2.91113
-499.63,4.69421e-10,1.82926
-499.62,1.81806e-09,-1.41727
-499.61,1.68178e-09,1.42729
-499.6,2.65903e-09,-2.68621
-499.59,6.02486e-10,2.29901
-499.58,8.20626e-09,1.72097
-499.57,3.01483e-09,-1.86569
-499.56,4.52285e-10,-0.149602
-499.55,1.14698e-09,1.73428
-499.54,2.17886e-10,-1.21011
-499.53,4.79161e-09,2.88203
-499.52,4.69568e-09,-1.70003
-499.51,7.61199e-10,1.82908
-499.5,4.12787e-09,2.07261
-499.49,1.34681e-09,-1.5271
-499.48,6.3252e-09,2.8612
-499.47,2.38954e-09,-1.29028
-499.46,1.51008e-09,2.28545
-499.45,2.7123e-09,2.69344
-499.44,9.73756e-10,-1.93389
-499.43,1.10488e-09,-2.77756
-499.42,2.62602e-09,-0.61595
-499.41,9.2306e-10,-2.27971
-499.4,5.57175e-10,-1.81287
-499.39,2.74474e-09,0.207956
-499.38,8.14441e-09,-1.84919
-499.37,1.11714e-09,-1.09887
-499.36,1.40663e-08,-1.86825
-499.35,1.31651e-09,-2.98262
-499.34,3.54296e-09,1.80821
-499.33,3.80846e-09,-2.60852
-499.32,1.17911e-09,1.5984
-499.31,2.05667e-09,0.411454
-499.3,5.48224e-09,2.20007
-499.29,2.48368e-09,-2.10394
-499.28,2.68815e-09,0.508592
-499.27,7.29648e-10,3.01065
-499.26,2.11973e-09,0.13681
-499.25,3.88016e-09,-0.674082
-499.24,2.40976e-09,-0.296591
-499.23,1.22582e-09,1.51292
-499.22,1.6366e-09,2.19515
-499.21,4.15363e-09,1.89289
-499.2,1.18278e-09,-2.85461
-499.19,5.01877e-10,-2.26811
-499.18,2.47846e-09,2.10175
-499.17,1.23198e-09,2.366
-499.16,3.46834e-09,1.17633
-499.15,4.10785e-09,-1.73004
-499.14,1.7249e-09,2.2937
-499.13,2.02811e-09,-0.315719
-499.12,3.42419e-09,1.3746
-499.11,6.53302e-09,-2.03769
-499.1,1.09674e-09,-0.862978
-499.09,6.00786e-10,-0.802514
-499.08,5.06236e-09,-2.45007
-499.07,5.40369e-10,1.91386
-499.06,2.00613e-09,1.17103
-499.05,2.32082e-09,-0.60283
-499.04,5.71744e-10,-1.63345
-499.03,1.23323e-09,2.99378
-499.02,1.72606e-09,-1.11452
-499.01,5.05736e-10,-0.521827
-499,1.86992e-09,-2.50445
-498.99,1.33453e-09,-0.307556
-498.98,7.32052e-10,1.64242
-498.97,1.62032e-10,3.04204
-498.96,3.02406e-09,2.76784
-498.95,2.80294e-09,0.927133
-498.94,7.85691e-10,-2.06552
-498.93,4.25719e-10,0.344876
-498.92,6.03433e-10,-2.44072
-498.91,1.99117e-09,-0.0668226
-498.9,1.06233e-09,-0.748036
-498.89,2.73196e-09,2.36417
-498.88,3.3222e-09,0.0762633
-498.87,1.72207e-09,1.12987
-498.86,4.50734e-09,1.03622
-498.85,2.07312e-09,-2.11556
-498.84,1.52427e-09,2.53492
-498.83,1.4279e-09,-1.57624
-498.82,3.27822e-09,-2.34303
-498.81,1.33423e-09,1.85388
-498.8,2.41821e-09,-0.464929
-498.79,3.31755e-09,2.50678
-498.78,5.18076e-09,1.60655
-498.77,1.6627e-09,-2.15311
-498.76,9.67696e-10,-2.76013
-498.75,1.30595e-09,-3.03049
-498.74,9.50736e-10,-1.40659
-498.73,3.14596e-09,-2.60545
-498.72,2.35905e-09,0.85149
-498.71,2.40782e-09,-2.60706
-498.7,8.63544e-10,0.323849
-498.69,1.96084e-09,2.14246
-498.68,2.88631e-09,0.672921
-498.67,1.25504e-09,2.19515
-498.66,5.94293e-10,0.761126
-498.65,8.45154e-10,1.72737
-498.64,2.4334e-10,-2.69523
-498.63,2.54208e-09,-1.25384
-498.62,1.24804e-09,0.409902
-498.61,1.45345e-09,0.321308
-498.6,1.24602e-09,-2.39768
-498.59,7.40216e-10,-0.659302
-498.58,2.52248e-09,-1.36347
-498.57,8.21982e-10,-1.79397
-498.56,1.46349e-08,-2.09736
-498.55,2.75392e-09,2.2076
-498.54,1.76993e-09,-1.5642
-498.53,8.89773e-10,1.1916
-498.52,2.45733e-09,1.46915
-498.51,5.69319e-09,-0.709489
-498.5,3.67815e-09,0.91755
-498.49,4.05472e-10,0.872866
-498.48,2.37802e-09,-0.583556
-498.47,1.64883e-09,1.43254
-498.46,1.10526e-09,0.0762803
-498.45,1.53359e-09,-1.7531
-498.44,9.03993e-10,2.62221
-498.43,4.51819e-10,-2.11865
-498.42,3.75296e-10,0.506573
-498.41,2.93118e-09,-1.58518
-498.4,2.35297e-09,2.24494
-498.39,5.33093e-10,1.32376
-498.38,3.17797e-09,-1.88621
-498.37,4.74979e-09,-2.73566
-498.36,3.94554e-10,1.3526
-498.35,5.75137e-10,2.61214
-498.34,1.16846e-09,0.690885
-498.33,5.91179e-09,-1.43543
-498.32,4.40452e-09,-0.882175
-498.31,1.52767e-09,-1.28339
-498.3,2.92094e-09,-0.170428
-498.29,4.94691e-09,0.103154
-498.28,1.65672e-09,0.396517
-498.27,5.86822e-09,0.817428
-498.26,1.57374e-09,2.53353
-498.25,3.06154e-10,1.68207
-498.24,1.51335e-10,2.29277
-498.23,2.61434e-09,-0.977447
-498.22,2.80301e-09,0.647384
-498.21,2.33438e-09,0.935933
-498.2,7.18233e-09,-1.59318
-498.19,1.69896e-09,2.96488
-498.18,2.20483e-09,2.55373
-498.17,2.07342e-09,-2.36182
-498.16,7.47277e-10,2.5512
-498.15,1.91943e-09,-2.76442
-498.14,1.04538e-09,3.10666
-498.13,1.75094e-08,-1.03819
-498.12,1.59873e-09,-1.69657
-498.11,1.72617e-09,-0.450577
-498.1,1.52463e-09,1.08217
-498.09,2.30014e-09,-2.00665
-498.08,4.01915e-09,-0.0831012
-498.07,2.3631e-09,2.87639
-498.06,1.42429e-09,-1.72901
-498.05,1.67029e-09,-0.837307
-498.04,1.52198e-09,0.800947
-498.03,7.98439e-09,-0.0919105
-498.02,1.41085e-09,1.64398
-498.01,3.25819e-09,1.6035
-498,3.50895e-10,0.405939
-497.99,8.58113e-10,1.38927
-497.98,1.46092e-09,2.85367
-497.97,2.01575e-09,-2.60854
-497.96,3.1355e-09,0.0241052
-497.95,1.88463e-09,-1.98122
-497.94,1.9278e-10,0.575935
-497.93,1.90336e-09,0.136272
-497.92,1.47992e-09,1.79525
-497.91,1.97385e-08,-2.71705
-497.9,3.76681e-09,2.70576
-497.89,1.49485e-09,-0.582966
-497.88,8.12978e-10,0.169591
-497.87,1.24706e-09,-0.0373556
-497.86,8.52812e-10,-0.281378
-497.85,1.18422e-09,-1.89674
-497.84,1.70412e-09,-1.08098
-497.83,1.46612e-09,1.08016
-497.82,1.25103e-09,-2.01168
-497.81,3.13242e-09,1.19363
-497.8,2.05916e-10,2.2849
-497.79,1.40937e-09,-0.614767
-497.78,1.28383e-09,1.75822
-497.77,1.2121e-09,-0.824531
-497.76,1.6765e-09,-3.08313
-497.75,7.6045e-10,-2.89089
-497.74,1.02101e-09,-3.1261
-497.73,1.10185e-09,2.53164
-497.72,1.4034e-09,3.02496
-497.71,2.48606e-09,0.488173
-497.7,5.28446e-10,2.5934
-497.69,1.19652e-09,-2.00372
-497.68,4.49881e-09,-0.819781
-497.67,8.02671e-10,1.66362
-497.66,1.22754e-09,2.23046
-497.65,1.62477e-09,0.290527
-497.64,1.93591e-09,-3.08007
-497.63,6.77649e-10,-0.511569
-497.62,1.27779e-09,-2.76348
-497.61,1.48413e-09,-2.09077
-497.6,2.93154e-09,2.80448
-497.59,1.19716e-09,-2.22517
-497.58,1.28074e-10,-2.39068
-497.57,4.61322e-09,2.82771
-497.56,7.40454e-10,1.71211
-497.55,7.64563e-10,-0.216875
-497.54,1.0303e-09,-2.06923
-497.53,1.17291e-09,-0.454066
-497.52,8.58672e-10,-2.80564
-497.51,2.44724e-09,1.99504
-497.5,1.25928e-09,-0.702665
-497.49,5.87975e-11,0.981908
-497.48,5.12563e-09,2.38704
-497.47,5.74847e-10,3.01899
-497.46,4.69835e-09,2.01004
-497.45,1.06787e-09,0.880136
-497.44,1.48324e-09,2.17721
-497.43,2.03904e-08,1.01467
-497.42,2.80361e-09,0.290678
-497.41,1.06236e-09,0.256796
-497.4,1.21695e-09,2.33162
-497.39,2.90539e-09,2.50487
-497.38,6.71382e-09,-2.5346
-497.37,1.13157e-09,0.804608
-497.36,1.64758e-09,2.48165
-497.35,3.19005e-09,2.93485
-497.34,1.64035e-09,-1.08091
-497.33,2.11599e-09,-2.9011
-497.32,6.15201e-09,2.32932
-497.31,2.44641e-09,-1.518
-497.3,3.97004e-09,0.175557
-497.29,2.63556e-09,3.12358
-497.28,1.40974e-09,2.12205
-497.27,4.18669e-09,-0.56161
-497.26,2.30729e-09,-1.45042
-497.25,2.98896e-09,-1.90842
-497.24,1.13867e-09,-1.05758
-497.23,1.42589e-09,-2.30739
-497.22,9.0514e-10,2.18626
-497.21,2.27674e-09,-0.355065
-497.2,6.93327e-09,2.14487
-497.19,1.39366e-09,-1.80582
-497.18,9.20611e-09,0.352112
-497.17,3.17592e-09,-1.80482
-497.16,1.76807e-09,0.232968
-497.15,9.2734e-10,-0.73749
-497.14,2.26701e-09,1.76771
-497.13,6.05463e-09,0.509775
-497.12,1.42211e-08,0.4616
-497.11,9.13562e-09,-0.578828
-497.1,3.76709e-09,0.6262
-497.09,1.85093e-10,-2.55765
-497.08,1.48513e-09,1.06708
-497.07,1.52325e-09,-0.642877
-497.06,1.65445e-09,3.02569
-497.05,1.0803e-09,-2.49539
-497.04,1.79175e-09,-0.372773
-497.03,1.64733e-09,-0.790612
