Frequency,Magnitude,Phase
-500,0.0536009,-3.14159
-499.99,0.0536009,-3.14156
-499.98,0.0536009,-3.14153
-499.97,0.0536009,-3.1415
-499.96,0.0536009,-3.14146
-499.95,0.0536009,-3.14143
-499.94,0.0536009,-3.1414
-499.93,0.0536009,-3.14137
-499.92,0.0536009,-3.14134
-499.91,0.0536009,-3.1413
-499.9,0.0536009,-3.14127
-499.89,0.0536009,-3.14124
-499.88,0.0536009,-3.14121
-499.87,0.0536009,-3.14117
-499.86,0.0536009,-3.14114
-499.85,0.0536009,-3.14111
-499.84,0.0536009,-3.14108
-499.83,0.0536009,-3.14105
-499.82,0.0536009,-3.14101
-499.81,0.0536009,-3.14098
-499.8,0.0536009,-3.14095
-499.79,0.0536009,-3.14092
-499.78,0.0536009,-3.14088
-499.77,0.0536009,-3.14085
-499.76,0.0536009,-3.14082
-499.75,0.0536009,-3.14079
-499.74,0.0536009,-3.14076
-499.73,0.0536009,-3.14072
-499.72,0.0536009,-3.14069
-499.71,0.0536009,-3.14066
-499.7,0.0536009,-3.14063
-499.69,0.0536009,-3.14059
-499.68,0.0536009,-3.14056
-499.67,0.0536009,-3.14053
-499.66,0.0536009,-3.1405
-499.65,0.0536009,-3.14047
-499.64,0.0536009,-3.14043
-499.63,0.0536009,-3.1404
-499.62,0.0536009,-3.14037
-499.61,0.0536009,-3.14034
-499.6,0.0536009,-3.1403
-499.59,0.0536009,-3.14027
-499.58,0.0536009,-3.14024
-499.57,0.0536009,-3.14021
-499.56,0.0536009,-3.14018
-499.55,0.0536009,-3.14014
-499.54,0.0536009,-3.14011
-499.53,0.0536009,-3.14008
-499.52,0.0536009,-3.14005
-499.51,0.0536009,-3.14001
-499.5,0.0536009,-3.13998
-499.49,0.053601,-3.13995
-499.48,0.053601,-3.13992
-499.47,0.053601,-3.13989
-499.46,0.053601,-3.13985
-499.45,0.053601,-3.13982
-499.44,0.053601,-3.13979
-499.43,0.053601,-3.13976
-499.42,0.053601,-3.13972
-499.41,0.053601,-3.13969
-499.4,0.053601,-3.13966
-499.39,0.053601,-3.13963
-499.38,0.053601,-3.1396
-499.37,0.053601,-3.13956
-499.36,0.053601,-3.13953
-499.35,0.053601,-3.1395
-499.34,0.053601,-3.13947
-499.33,0.053601,-3.13944
-499.32,0.053601,-3.1394
-499.31,0.053601,-3.13937
-499.3,0.053601,-3.13934
-499.29,0.053601,-3.13931
-499.28,0.053601,-3.13927
-499.27,0.053601,-3.13924
-499.26,0.053601,-3.13921
-499.25,0.053601,-3.13918
-499.24,0.053601,-3.13915
-499.23,0.053601,-3.13911
-499.22,0.053601,-3.13908
-499.21,0.0536011,-3.13905
-499.2,0.0536011,-3.13902
-499.19,0.0536011,-3.13898
-499.18,0.0536011,-3.13895
-499.17,0.0536011,-3.13892
-499.16,0.0536011,-3.13889
-499.15,0.0536011,-3.13886
-499.14,0.0536011,-3.13882
-499.13,0.0536011,-3.13879
-499.12,0.0536011,-3.13876
-499.11,0.0536011,-3.13873
-499.1,0.0536011,-3.13869
-499.09,0.0536011,-3.13866
-499.08,0.0536011,-3.13863
-499.07,0.0536011,-3.1386
-499.06,0.0536011,-3.13857
-499.05,0.0536011,-3.13853
-499.04,0.0536011,-3.1385
-499.03,0.0536011,-3.13847
-499.02,0.0536011,-3.13844
-499.01,0.0536012,-3.1384
-499,0.0536012,-3.13837
-498.99,0.0536012,-3.13834
-498.98,0.0536012,-3.13831
-498.97,0.0536012,-3.13828
-498.96,0.0536012,-3.13824
-498.95,0.0536012,-3.13821
-498.94,0.0536012,-3.13818
-498.93,0.0536012,-3.13815
-498.92,0.0536012,-3.13811
-498.91,0.0536012,-3.13808
-498.9,0.0536012,-3.13805
-498.89,0.0536012,-3.13802
-498.88,0.0536012,-3.13799
-498.87,0.0536012,-3.13795
-498.86,0.0536012,-3.13792
-498.85,0.0536012,-3.13789
-498.84,0.0536013,-3.13786
-498.83,0.0536013,-3.13783
-498.82,0.0536013,-3.13779
-498.81,0.0536013,-3.13776
-498.8,0.0536013,-3.13773
-498.79,0.0536013,-3.1377
-498.78,0.0536013,-3.13766
-498.77,0.0536013,-3.13763
-498.76,0.0536013,-3.1376
-498.75,0.0536013,-3.13757
-498.74,0.0536013,-3.13754
-498.73,0.0536013,-3.1375
-498.72,0.0536013,-3.13747
-498.71,0.0536013,-3.13744
-498.7,0.0536013,-3.13741
-498.69,0.0536014,-3.13737
-498.68,0.0536014,-3.13734
-498.67,0.0536014,-3.13731
-498.66,0.0536014,-3.13728
-498.65,0.0536014,-3.13725
-498.64,0.0536014,-3.13721
-498.63,0.0536014,-3.13718
-498.62,0.0536014,-3.13715
-498.61,0.0536014,-3.13712
-498.6,0.0536014,-3.13708
-498.59,0.0536014,-3.13705
-498.58,0.0536014,-3.13702
-498.57,0.0536014,-3.13699
-498.56,0.0536015,-3.13696
-498.55,0.0536015,-3.13692
-498.54,0.0536015,-3.13689
-498.53,0.0536015,-3.13686
-498.52,0.0536015,-3.13683
-498.51,0.0536015,-3.13679
-498.5,0.0536015,-3.13676
-498.49,0.0536015,-3.13673
-498.48,0.0536015,-3.1367
-498.47,0.0536015,-3.13667
-498.46,0.0536015,-3.13663
-498.45,0.0536015,-3.1366
-498.44,0.0536016,-3.13657
-498.43,0.0536016,-3.13654
-498.42,0.0536016,-3.1365
-498.41,0.0536016,-3.13647
-498.4,0.0536016,-3.13644
-498.39,0.0536016,-3.13641
