Frequency,Magnitude,Phase
-500,0.0267992,-3.14159
-499.99,0.0267992,-3.14156
-499.98,0.0267992,-3.14153
-499.97,0.0267992,-3.1415
-499.96,0.0267992,-3.14147
-499.95,0.0267992,-3.14143
-499.94,0.0267992,-3.1414
-499.93,0.0267992,-3.14137
-499.92,0.0267992,-3.14134
-499.91,0.0267992,-3.14131
-499.9,0.0267992,-3.14128
-499.89,0.0267992,-3.14125
-499.88,0.0267992,-3.14121
-499.87,0.0267992,-3.14118
-499.86,0.0267992,-3.14115
-499.85,0.0267992,-3.14112
-499.84,0.0267992,-3.14109
-499.83,0.0267992,-3.14106
-499.82,0.0267992,-3.14102
-499.81,0.0267992,-3.14099
-499.8,0.0267992,-3.14096
-499.79,0.0267992,-3.14093
-499.78,0.0267992,-3.1409
-499.77,0.0267992,-3.14087
-499.76,0.0267992,-3.14084
-499.75,0.0267992,-3.1408
-499.74,0.0267992,-3.14077
-499.73,0.0267992,-3.14074
-499.72,0.0267992,-3.14071
-499.71,0.0267992,-3.14068
-499.7,0.0267992,-3.14065
-499.69,0.0267992,-3.14061
-499.68,0.0267993,-3.14058
-499.67,0.0267993,-3.14055
-499.66,0.0267993,-3.14052
-499.65,0.0267993,-3.14049
-499.64,0.0267993,-3.14046
-499.63,0.0267993,-3.14043
-499.62,0.0267993,-3.14039
-499.61,0.0267993,-3.14036
-499.6,0.0267993,-3.14033
-499.59,0.0267993,-3.1403
-499.58,0.0267993,-3.14027
-499.57,0.0267993,-3.14024
-499.56,0.0267993,-3.1402
-499.55,0.0267993,-3.14017
-499.54,0.0267993,-3.14014
-499.53,0.0267993,-3.14011
-499.52,0.0267993,-3.14008
-499.51,0.0267993,-3.14005
-499.5,0.0267993,-3.14002
-499.49,0.0267993,-3.13998
-499.48,0.0267993,-3.13995
-499.47,0.0267993,-3.13992
-499.46,0.0267993,-3.13989
-499.45,0.0267993,-3.13986
-499.44,0.0267993,-3.13983
-499.43,0.0267993,-3.13979
-499.42,0.0267993,-3.13976
-499.41,0.0267993,-3.13973
-499.4,0.0267993,-3.1397
-499.39,0.0267993,-3.13967
-499.38,0.0267993,-3.13964
-499.37,0.0267993,-3.13961
-499.36,0.0267993,-3.13957
-499.35,0.0267993,-3.13954
-499.34,0.0267993,-3.13951
-499.33,0.0267993,-3.13948
-499.32,0.0267993,-3.13945
-499.31,0.0267993,-3.13942
-499.3,0.0267993,-3.13939
-499.29,0.0267993,-3.13935
-499.28,0.0267993,-3.13932
-499.27,0.0267993,-3.13929
-499.26,0.0267993,-3.13926
-499.25,0.0267993,-3.13923
-499.24,0.0267993,-3.1392
-499.23,0.0267993,-3.13916
-499.22,0.0267993,-3.13913
-499.21,0.0267993,-3.1391
-499.2,0.0267993,-3.13907
-499.19,0.0267993,-3.13904
-499.18,0.0267993,-3.13901
-499.17,0.0267993,-3.13898
-499.16,0.0267993,-3.13894
-499.15,0.0267993,-3.13891
-499.14,0.0267993,-3.13888
-499.13,0.0267993,-3.13885
-499.12,0.0267993,-3.13882
-499.11,0.0267993,-3.13879
-499.1,0.0267993,-3.13875
-499.09,0.0267993,-3.13872
-499.08,0.0267993,-3.13869
-499.07,0.0267994,-3.13866
-499.06,0.0267994,-3.13863
-499.05,0.0267994,-3.1386
-499.04,0.0267994,-3.13857
-499.03,0.0267994,-3.13853
-499.02,0.0267994,-3.1385
-499.01,0.0267994,-3.13847
-499,0.0267994,-3.13844
-498.99,0.0267994,-3.13841
-498.98,0.0267994,-3.13838
-498.97,0.0267994,-3.13834
-498.96,0.0267994,-3.13831
-498.95,0.0267994,-3.13828
-498.94,0.0267994,-3.13825
-498.93,0.0267994,-3.13822
-498.92,0.0267994,-3.13819
-498.91,0.0267994,-3.13816
-498.9,0.0267994,-3.13812
-498.89,0.0267994,-3.13809
-498.88,0.0267994,-3.13806
-498.87,0.0267994,-3.13803
-498.86,0.0267994,-3.138
-498.85,0.0267994,-3.13797
-498.84,0.0267994,-3.13793
-498.83,0.0267994,-3.1379
-498.82,0.0267994,-3.13787
-498.81,0.0267994,-3.13784
