Frequency,Magnitude,Phase
-500,0.241007,-3.14159
-499.99,0.241007,-3.14156
-499.98,0.241007,-3.14153
-499.97,0.241007,-3.1415
-499.96,0.241007,-3.14147
-499.95,0.241007,-3.14144
-499.94,0.241007,-3.1414
-499.93,0.241007,-3.14137
-499.92,0.241007,-3.14134
-499.91,0.241007,-3.14131
-499.9,0.241007,-3.14128
-499.89,0.241007,-3.14125
-499.88,0.241007,-3.14122
-499.87,0.241007,-3.14118
-499.86,0.241007,-3.14115
-499.85,0.241007,-3.14112
-499.84,0.241007,-3.14109
-499.83,0.241007,-3.14106
-499.82,0.241007,-3.14103
-499.81,0.241007,-3.141
-499.8,0.241007,-3.14096
-499.79,0.241007,-3.14093
-499.78,0.241007,-3.1409
-499.77,0.241007,-3.14087
-499.76,0.241007,-3.14084
-499.75,0.241007,-3.14081
-499.74,0.241007,-3.14078
-499.73,0.241007,-3.14074
-499.72,0.241007,-3.14071
-499.71,0.241007,-3.14068
-499.7,0.241007,-3.14065
-499.69,0.241007,-3.14062
-499.68,0.241007,-3.14059
-499.67,0.241007,-3.14056
-499.66,0.241007,-3.14052
-499.65,0.241007,-3.14049
-499.64,0.241007,-3.14046
-499.63,0.241007,-3.14043
-499.62,0.241007,-3.1404
-499.61,0.241007,-3.14037
-499.6,0.241007,-3.14034
-499.59,0.241007,-3.1403
-499.58,0.241007,-3.14027
-499.57,0.241007,-3.14024
-499.56,0.241007,-3.14021
-499.55,0.241007,-3.14018
-499.54,0.241007,-3.14015
-499.53,0.241007,-3.14012
-499.52,0.241007,-3.14008
-499.51,0.241007,-3.14005
-499.5,0.241007,-3.14002
-499.49,0.241007,-3.13999
-499.48,0.241007,-3.13996
-499.47,0.241007,-3.13993
-499.46,0.241007,-3.1399
-499.45,0.241007,-3.13986
-499.44,0.241007,-3.13983
-499.43,0.241007,-3.1398
-499.42,0.241007,-3.13977
-499.41,0.241007,-3.13974
-499.4,0.241007,-3.13971
-499.39,0.241007,-3.13968
-499.38,0.241007,-3.13964
-499.37,0.241007,-3.13961
-499.36,0.241007,-3.13958
-499.35,0.241007,-3.13955
-499.34,0.241007,-3.13952
-499.33,0.241007,-3.13949
-499.32,0.241007,-3.13946
-499.31,0.241007,-3.13942
-499.3,0.241007,-3.13939
-499.29,0.241007,-3.13936
-499.28,0.241007,-3.13933
-499.27,0.241007,-3.1393
-499.26,0.241007,-3.13927
-499.25,0.241007,-3.13924
-499.24,0.241007,-3.13921
-499.23,0.241007,-3.13917
-499.22,0.241007,-3.13914
-499.21,0.241007,-3.13911
-499.2,0.241007,-3.13908
-499.19,0.241007,-3.13905
-499.18,0.241007,-3.13902
-499.17,0.241007,-3.13899
-499.16,0.241007,-3.13895
-499.15,0.241007,-3.13892
-499.14,0.241007,-3.13889
-499.13,0.241007,-3.13886
-499.12,0.241007,-3.13883
-499.11,0.241007,-3.1388
-499.1,0.241007,-3.13877
-499.09,0.241007,-3.13873
-499.08,0.241008,-3.1387
-499.07,0.241008,-3.13867
-499.06,0.241008,-3.13864
-499.05,0.241008,-3.13861
-499.04,0.241008,-3.13858
-499.03,0.241008,-3.13855
-499.02,0.241008,-3.13851
-499.01,0.241008,-3.13848
-499,0.241008,-3.13845
-498.99,0.241008,-3.13842
-498.98,0.241008,-3.13839
-498.97,0.241008,-3.13836
-498.96,0.241008,-3.13833
-498.95,0.241008,-3.13829
-498.94,0.241008,-3.13826
-498.93,0.241008,-3.13823
-498.92,0.241008,-3.1382
-498.91,0.241008,-3.13817
-498.9,0.241008,-3.13814
-498.89,0.241008,-3.13811
-498.88,0.241008,-3.13807
-498.87,0.241008,-3.13804
-498.86,0.241008,-3.13801
-498.85,0.241008,-3.13798
-498.84,0.241008,-3.13795
-498.83,0.241008,-3.13792
-498.82,0.241008,-3.13789
-498.81,0.241008,-3.13785
-498.8,0.241008,-3.13782
-498.79,0.241008,-3.13779
-498.78,0.241008,-3.13776
-498.77,0.241008,-3.13773
-498.76,0.241008,-3.1377
-498.75,0.241008,-3.13767
-498.74,0.241008,-3.13763
-498.73,0.241008,-3.1376
-498.72,0.241008,-3.13757
-498.71,0.241008,-3.13754
-498.7,0.241009,-3.13751
-498.69,0.241009,-3.13748
-498.68,0.241009,-3.13745
-498.67,0.241009,-3.13741
-498.66,0.241009,-3.13738
-498.65,0.241009,-3.13735
-498.64,0.241009,-3.13732
-498.63,0.241009,-3.13729
-498.62,0.241009,-3.13726
-498.61,0.241009,-3.13723
-498.6,0.241009,-3.13719
-498.59,0.241009,-3.13716
-498.58,0.241009,-3.13713
-498.57,0.241009,-3.1371
-498.56,0.241009,-3.13707
-498.55,0.241009,-3.13704
-498.54,0.241009,-3.13701
-498.53,0.241009,-3.13697
-498.52,0.241009,-3.13694
-498.51,0.241009,-3.13691
-498.5,0.241009,-3.13688
-498.49,0.241009,-3.13685
-498.48,0.241009,-3.13682
-498.47,0.241009,-3.13679
-498.46,0.241009,-3.13675
-498.45,0.241009,-3.13672
-498.44,0.241009,-3.13669
-498.43,0.241009,-3.13666
-498.42,0.241009,-3.13663
-498.41,0.24101,-3.1366
-498.4,0.24101,-3.13657
-498.39,0.24101,-3.13653
-498.38,0.24101,-3.1365
-498.37,0.24101,-3.13647
-498.36,0.24101,-3.13644
-498.35,0.24101,-3.13641
-498.34,0.24101,-3.13638
-498.33,0.24101,-3.13635
-498.32,0.24101,-3.13631
-498.31,0.24101,-3.13628
-498.3,0.24101,-3.13625
-498.29,0.24101,-3.13622
-498.28,0.24101,-3.13619
-498.27,0.24101,-3.13616
-498.26,0.24101,-3.13613
-498.25,0.24101,-3.13609
-498.24,0.24101,-3.13606
-498.23,0.24101,-3.13603
-498.22,0.24101,-3.136
-498.21,0.24101,-3.13597
-498.2,0.24101,-3.13594
-498.19,0.24101,-3.13591
-498.18,0.24101,-3.13587
-498.17,0.24101,-3.13584
-498.16,0.241011,-3.13581
-498.15,0.241011,-3.13578
-498.14,0.241011,-3.13575
-498.13,0.241011,-3.13572
-498.12,0.241011,-3.13569
-498.11,0.241011,-3.13566
-498.1,0.241011,-3.13562
-498.09,0.241011,-3.13559
-498.08,0.241011,-3.13556
-498.07,0.241011,-3.13553
-498.06,0.241011,-3.1355
-498.05,0.241011,-3.13547
-498.04,0.241011,-3.13544
-498.03,0.241011,-3.1354
-498.02,0.241011,-3.13537
-498.01,0.241011,-3.13534
-498,0.241011,-3.13531
-497.99,0.241011,-3.13528
-497.98,0.241011,-3.13525
-497.97,0.241011,-3.13522
-497.96,0.241011,-3.13518
-497.95,0.241011,-3.13515
-497.94,0.241012,-3.13512
-497.93,0.241012,-3.13509
-497.92,0.241012,-3.13506
-497.91,0.241012,-3.13503
-497.9,0.241012,-3.135
-497.89,0.241012,-3.13496
-497.88,0.241012,-3.13493
-497.87,0.241012,-3.1349
-497.86,0.241012,-3.13487
-497.85,0.241012,-3.13484
-497.84,0.241012,-3.13481
-497.83,0.241012,-3.13478
-497.82,0.241012,-3.13474
-497.81,0.241012,-3.13471
-497.8,0.241012,-3.13468
-497.79,0.241012,-3.13465
-497.78,0.241012,-3.13462
-497.77,0.241012,-3.13459
-497.76,0.241012,-3.13456
-497.75,0.241013,-3.13452
-497.74,0.241013,-3.13449
-497.73,0.241013,-3.13446
-497.72,0.241013,-3.13443
-497.71,0.241013,-3.1344
-497.7,0.241013,-3.13437
-497.69,0.241013,-3.13434
-497.68,0.241013,-3.1343
-497.67,0.241013,-3.13427
-497.66,0.241013,-3.13424
-497.65,0.241013,-3.13421
-497.64,0.241013,-3.13418
-497.63,0.241013,-3.13415
-497.62,0.241013,-3.13412
-497.61,0.241013,-3.13408
-497.6,0.241013,-3.13405
-497.59,0.241013,-3.13402
-497.58,0.241013,-3.13399
-497.57,0.241014,-3.13396
-497.56,0.241014,-3.13393
-497.55,0.241014,-3.1339
-497.54,0.241014,-3.13386
-497.53,0.241014,-3.13383
-497.52,0.241014,-3.1338
-497.51,0.241014,-3.13377
-497.5,0.241014,-3.13374
-497.49,0.241014,-3.13371
-497.48,0.241014,-3.13368
-497.47,0.241014,-3.13364
-497.46,0.241014,-3.13361
-497.45,0.241014,-3.13358
-497.44,0.241014,-3.13355
-497.43,0.241014,-3.13352
-497.42,0.241014,-3.13349
-497.41,0.241014,-3.13346
-497.4,0.241015,-3.13342
-497.39,0.241015,-3.13339
-497.38,0.241015,-3.13336
-497.37,0.241015,-3.13333
-497.36,0.241015,-3.1333
-497.35,0.241015,-3.13327
-497.34,0.241015,-3.13324
-497.33,0.241015,-3.1332
-497.32,0.241015,-3.13317
-497.31,0.241015,-3.13314
