Frequency,Magnitude,Phase
-500,3.03043e-10,1.57202
-499.99,3.78256e-10,1.75533
-499.98,2.13865e-09,-1.7061
-499.97,7.07732e-10,0.492547
-499.96,1.71735e-10,0.297334
-499.95,1.24035e-10,1.3536
-499.94,1.92156e-10,1.15573
-499.93,2.08962e-10,-2.49658
-499.92,6.5433e-10,2.19909
-499.91,1.25314e-09,-0.734126
-499.9,5.43946e-10,2.98126
-499.89,5.13155e-10,-2.30241
-499.88,1.29994e-09,-1.46824
-499.87,6.90597e-10,1.21122
-499.86,1.44699e-10,-1.45518
-499.85,2.71242e-10,2.28748
-499.84,1.02642e-10,-0.929384
-499.83,1.09441e-09,0.745871
-499.82,9.96065e-10,0.326593
-499.81,1.34687e-10,-2.46578
-499.8,2.91451e-09,2.86623
-499.79,3.25896e-10,-1.07917
-499.78,5.23721e-10,2.29232
-499.77,2.78363e-10,2.55771
-499.76,2.20111e-10,1.53893
-499.75,1.40535e-08,-0.428751
-499.74,7.55041e-11,-1.96883
-499.73,2.09902e-10,-2.27626
-499.72,2.02869e-09,-3.04653
-499.71,7.37804e-10,1.79517
-499.7,2.96134e-10,-2.66712
-499.69,4.54897e-10,2.61546
-499.68,1.80209e-10,-0.927327
-499.67,2.11155e-08,-0.264802
-499.66,3.48553e-10,-2.83829
-499.65,1.5487e-10,3.12628
-499.64,4.93413e-10,-1.49366
-499.63,1.84179e-09,0.915425
-499.62,2.74726e-10,-0.616589
-499.61,2.11647e-10,2.81254
-499.6,3.08124e-10,1.14225
-499.59,1.87882e-10,0.506266
-499.58,4.5133e-11,-1.71609
-499.57,1.82662e-10,0.447892
-499.56,8.7251e-10,2.19948
-499.55,3.7646e-10,-2.57385
-499.54,1.07586e-10,-0.467817
-499.53,9.83364e-11,-1.96657
-499.52,3.57021e-10,1.44658
-499.51,5.78166e-10,1.26807
-499.5,1.1597e-10,-2.15411
-499.49,7.45422e-10,3.09283
-499.48,4.31608e-11,-1.91269
-499.47,3.19509e-10,-0.460714
-499.46,1.29524e-09,-0.30224
-499.45,3.7827e-10,-0.59345
-499.44,3.6458e-10,-0.747935
-499.43,1.65382e-10,-2.6808
-499.42,3.96377e-10,-2.33626
-499.41,1.76575e-10,-1.5071
-499.4,5.567e-10,-0.939789
-499.39,2.26568e-10,1.32538
-499.38,5.63842e-10,-0.3823
-499.37,8.21404e-11,1.35294
-499.36,9.37359e-11,-2.4544
-499.35,6.24336e-10,2.16883
-499.34,1.57728e-09,-0.137225
-499.33,3.59538e-10,-1.91048
-499.32,5.27432e-11,0.400171
-499.31,3.4001e-10,-2.71247
-499.3,3.65595e-10,2.1953
-499.29,2.58734e-09,-0.686753
-499.28,5.60605e-10,-2.64728
-499.27,1.61692e-10,-2.65965
-499.26,2.32521e-10,1.64281
-499.25,1.83428e-09,-1.35499
-499.24,2.57176e-10,-2.70778
-499.23,6.5178e-10,1.26289
-499.22,2.27491e-09,1.72342
-499.21,5.85176e-10,2.99018
-499.2,2.62727e-10,-0.497653
-499.19,7.95743e-10,-0.366247
-499.18,3.76194e-10,-0.999775
-499.17,4.74754e-10,0.757734
-499.16,3.13016e-10,-2.80234
-499.15,1.47149e-10,3.07009
-499.14,7.44781e-10,1.66606
-499.13,3.31474e-10,-2.81018
-499.12,1.82302e-10,-1.27528
-499.11,7.03149e-10,3.04657
-499.1,4.5155e-10,-1.69638
-499.09,2.62238e-10,-2.43993
-499.08,4.34467e-10,0.459743
-499.07,4.19499e-10,-2.36608
-499.06,5.45265e-10,2.12523
-499.05,1.91854e-09,1.55085
-499.04,2.15991e-10,0.789456
-499.03,1.43283e-11,-1.82101
-499.02,3.96698e-10,-0.838904
-499.01,3.50099e-10,2.43857
-499,3.1381e-10,-2.17038
-498.99,5.34265e-10,1.76041
-498.98,2.78785e-10,-0.869141
-498.97,3.80093e-10,1.97895
-498.96,1.77445e-09,-2.40476
-498.95,8.81767e-10,-1.09076
