Frequency,Magnitude,Phase
-500,5.31948e-09,-1.48181
-499.99,1.68119e-09,1.56696
-499.98,2.65968e-09,1.58195
-499.97,1.23599e-09,0.578817
-499.96,6.08919e-09,0.551075
-499.95,8.13296e-10,1.31497
-499.94,1.19804e-09,2.93318
-499.93,3.67373e-10,-1.13113
-499.92,2.43871e-09,2.96562
-499.91,7.59512e-10,1.13719
-499.9,1.64779e-09,3.09093
-499.89,1.95786e-09,-0.329876
-499.88,4.20788e-10,-2.0377
-499.87,7.14715e-10,-1.89707
-499.86,8.1725e-10,0.494459
-499.85,1.59008e-09,-1.74242
-499.84,2.19782e-09,-0.799235
-499.83,4.85257e-09,-1.04469
-499.82,4.49819e-10,1.1523
-499.81,2.89357e-09,0.785516
-499.8,2.52308e-09,-0.145226
-499.79,1.94026e-10,-2.08964
-499.78,7.55077e-10,1.53841
-499.77,6.45298e-09,0.874375
-499.76,9.33947e-09,-3.03937
-499.75,8.95849e-09,3.10476
-499.74,2.40066e-09,-2.87432
-499.73,1.68785e-09,-0.998281
-499.72,2.89216e-09,-1.58196
-499.71,1.31954e-09,1.72047
-499.7,3.44208e-08,0.497649
-499.69,5.05334e-09,-2.21985
-499.68,6.15743e-09,-3.07022
-499.67,3.19113e-09,1.1899
-499.66,5.58071e-09,-1.25248
-499.65,7.43855e-10,-1.7751
-499.64,1.29451e-09,2.879
-499.63,2.28366e-08,-0.178645
-499.62,1.03279e-08,-2.65544
-499.61,3.58829e-09,1.37504
-499.6,1.12751e-09,0.884428
-499.59,2.55832e-09,0.460147
-499.58,1.56062e-09,2.74059
-499.57,1.26217e-09,1.76915
-499.56,3.18559e-10,-2.05913
-499.55,3.7255e-09,0.61937
-499.54,8.72712e-10,-0.333759
-499.53,2.91691e-10,0.868935
-499.52,2.82855e-09,2.37725
-499.51,3.78632e-09,-1.79722
-499.5,1.70117e-09,1.08381
-499.49,1.19183e-09,-0.878465
-499.48,1.83682e-09,-0.693623
-499.47,1.52047e-09,0.412473
-499.46,3.12925e-09,-1.32339
-499.45,4.42495e-09,0.0761901
-499.44,1.33272e-09,2.67791
-499.43,7.30004e-10,-1.98751
-499.42,7.19202e-09,-1.00629
-499.41,5.00303e-09,-2.77244
-499.4,9.13189e-10,-2.64333
-499.39,5.58986e-09,-0.903956
-499.38,2.28853e-09,-2.15555
-499.37,3.12269e-10,2.66357
-499.36,1.34424e-09,1.29784
-499.35,3.09981e-09,-0.451774
-499.34,1.14554e-09,2.20182
-499.33,1.56321e-09,-1.59238
-499.32,1.49605e-09,0.650486
-499.31,5.86517e-09,1.27137
-499.3,1.8441e-09,-0.916152
-499.29,9.10237e-09,1.6279
-499.28,8.79876e-10,-1.91073
-499.27,1.58949e-09,3.09008
-499.26,8.70998e-10,-2.74948
-499.25,9.81145e-10,-3.09667
-499.24,1.4566e-09,1.72049
-499.23,1.35669e-09,1.068
-499.22,1.30055e-09,1.59813
-499.21,1.12027e-09,-1.83069
-499.2,1.56914e-09,1.8316
-499.19,1.50524e-09,-1.54684
-499.18,8.66143e-10,-0.34811
-499.17,9.02103e-10,-0.542033
-499.16,2.51045e-09,0.677366
-499.15,2.00221e-09,2.45479
-499.14,1.03167e-09,-2.75077
-499.13,1.782e-09,-0.305316
-499.12,3.46311e-09,0.75578
-499.11,2.42249e-09,-1.31274
-499.1,3.15373e-09,0.718769
-499.09,3.99767e-09,2.42001
-499.08,1.31182e-09,1.14147
-499.07,2.18964e-09,-2.11866
-499.06,2.36243e-09,-1.12437
-499.05,1.20496e-09,-0.849763
-499.04,5.36426e-09,-0.318375
-499.03,3.51035e-09,-2.10374
-499.02,2.18109e-09,2.8989
-499.01,2.02524e-09,1.52123
-499,1.19079e-09,1.13003
-498.99,2.39038e-09,1.11273
-498.98,1.51469e-09,0.675342
-498.97,1.11787e-09,1.99059
-498.96,1.3797e-09,-0.554419
-498.95,5.51139e-10,2.67641
-498.94,7.1485e-10,0.85939
-498.93,1.6312e-09,-3.07216
-498.92,1.20411e-09,0.263348
-498.91,3.03479e-09,2.7807
-498.9,2.0441e-09,0.990888
-498.89,5.2834e-09,2.97455
-498.88,3.64014e-09,2.06135
-498.87,4.71293e-10,3.0271
-498.86,1.47626e-09,-2.74287
-498.85,8.46472e-10,-1.79612
-498.84,1.90991e-09,2.72213
-498.83,1.39476e-09,-1.37381
-498.82,7.73786e-10,2.49441
-498.81,3.26366e-09,2.64686
-498.8,2.28774e-09,1.48086
-498.79,4.58278e-10,-1.28178
-498.78,8.22075e-10,1.03991
-498.77,6.29778e-10,0.733848
-498.76,1.64044e-09,-1.84498
-498.75,1.59136e-09,0.693221
-498.74,1.3033e-08,0.0835637
-498.73,1.57991e-09,2.50389
-498.72,1.25245e-09,-2.69481
-498.71,8.55985e-10,1.59301
-498.7,7.73302e-09,0.16996
-498.69,4.22146e-10,-0.314492
-498.68,1.11705e-09,-3.07998
-498.67,5.24479e-09,-2.82619
-498.66,1.997e-09,-1.22269
-498.65,7.5512e-10,2.16023
-498.64,3.4607e-10,-2.96636
-498.63,6.70256e-09,1.78884
-498.62,1.5484e-09,0.719075
-498.61,8.84854e-10,-1.12716
-498.6,5.28721e-09,2.37169
-498.59,1.72848e-09,0.160085
-498.58,4.20226e-10,2.76869
-498.57,5.51659e-10,-2.33003
-498.56,1.9126e-09,-2.73821
-498.55,2.2401e-09,3.07373
-498.54,3.07492e-10,-1.15691
-498.53,3.08404e-09,1.53344
-498.52,8.64501e-10,-1.27234
-498.51,8.47423e-10,-0.33442
-498.5,1.26916e-09,-1.99329
-498.49,7.59837e-10,-1.49602
-498.48,3.45137e-09,0.503133
-498.47,1.45668e-09,0.12158
-498.46,1.0627e-09,0.337116
-498.45,5.22148e-10,-0.26739
-498.44,1.61845e-09,-0.766657
-498.43,3.44615e-09,-1.34118
-498.42,8.65964e-09,-1.42453
-498.41,2.39702e-09,1.01541
-498.4,2.13973e-09,2.95072
-498.39,1.88899e-09,-0.814578
-498.38,5.78061e-09,2.61288
-498.37,3.57866e-10,1.49882
-498.36,3.81854e-09,-2.11869
-498.35,1.22687e-09,-1.06801
-498.34,6.48154e-09,-1.13073
-498.33,8.54602e-09,2.90819
-498.32,3.03216e-09,-0.515179
-498.31,6.20835e-10,-0.193317
-498.3,1.90933e-10,-2.78452
-498.29,2.46771e-10,2.2784
-498.28,2.12886e-09,-0.73221
-498.27,1.04877e-09,1.65698
-498.26,1.80292e-09,2.777
-498.25,2.3861e-09,1.81513
-498.24,7.22019e-10,1.62459
-498.23,9.73801e-09,1.5415
-498.22,6.23007e-09,1.26765
-498.21,1.65608e-09,-1.5399
-498.2,8.69202e-09,3.06163
-498.19,1.85865e-09,2.56189
-498.18,1.30079e-09,-0.503697
-498.17,1.78773e-09,-2.96382
-498.16,5.99809e-09,1.03208
-498.15,2.06594e-09,-1.75399
-498.14,1.16074e-09,-1.40127
-498.13,1.61439e-09,-1.88115
-498.12,1.32271e-09,-1.87734
-498.11,1.33446e-09,2.59369
-498.1,1.05977e-09,-1.93677
-498.09,5.26615e-10,-1.6933
-498.08,1.22904e-09,2.6464
-498.07,8.6599e-10,-1.31221
-498.06,8.19275e-10,3.07978
-498.05,3.02219e-09,-1.07435
-498.04,2.61507e-09,-1.7029
-498.03,1.2992e-09,-2.66885
-498.02,1.83908e-09,1.50724
-498.01,1.40985e-09,-0.9629
-498,1.59214e-09,-1.38173
-497.99,1.09895e-09,-2.98399
-497.98,1.90691e-09,2.49671
-497.97,2.35276e-09,1.52334
-497.96,2.98289e-09,2.32277
-497.95,2.36685e-09,0.409012
-497.94,4.30975e-09,0.968233
-497.93,1.27278e-09,0.122537
-497.92,4.30334e-09,0.573524
-497.91,7.10768e-10,-1.01974
-497.9,1.19918e-09,3.0784
-497.89,6.722e-10,-1.85906
-497.88,7.20059e-09,-0.839454
-497.87,1.05488e-09,0.767997
-497.86,8.33531e-10,-1.02755
-497.85,7.2978e-10,-2.19919
-497.84,1.35938e-09,0.703748
-497.83,5.39726e-10,-0.45668
-497.82,2.38619e-10,0.371066
-497.81,2.20253e-09,-2.73607
-497.8,9.71209e-10,-0.476786
-497.79,2.63713e-09,-1.538
-497.78,7.7343e-09,1.30174
