Frequency,Magnitude,Phase
-500,0.0536009,-3.14159
-499.99,0.0536009,-3.14156
-499.98,0.0536009,-3.14153
-499.97,0.0536009,-3.14149
-499.96,0.0536009,-3.14146
-499.95,0.0536009,-3.14143
-499.94,0.0536009,-3.14139
-499.93,0.0536009,-3.14136
-499.92,0.0536009,-3.14133
-499.91,0.0536009,-3.1413
-499.9,0.0536009,-3.14126
-499.89,0.0536009,-3.14123
-499.88,0.0536009,-3.1412
-499.87,0.0536009,-3.14116
-499.86,0.0536009,-3.14113
-499.85,0.0536009,-3.1411
-499.84,0.0536009,-3.14106
-499.83,0.0536009,-3.14103
-499.82,0.0536009,-3.141
-499.81,0.0536009,-3.14096
-499.8,0.0536009,-3.14093
-499.79,0.0536009,-3.1409
-499.78,0.0536009,-3.14087
-499.77,0.0536009,-3.14083
-499.76,0.0536009,-3.1408
-499.75,0.0536009,-3.14077
-499.74,0.0536009,-3.14073
-499.73,0.0536009,-3.1407
-499.72,0.0536009,-3.14067
-499.71,0.0536009,-3.14063
-499.7,0.0536009,-3.1406
-499.69,0.0536009,-3.14057
-499.68,0.0536009,-3.14053
-499.67,0.0536009,-3.1405
-499.66,0.0536009,-3.14047
-499.65,0.0536009,-3.14044
-499.64,0.0536009,-3.1404
-499.63,0.0536009,-3.14037
-499.62,0.0536009,-3.14034
-499.61,0.0536009,-3.1403
-499.6,0.0536009,-3.14027
-499.59,0.0536009,-3.14024
-499.58,0.0536009,-3.1402
-499.57,0.0536009,-3.14017
-499.56,0.0536009,-3.14014
-499.55,0.0536009,-3.1401
-499.54,0.0536009,-3.14007
-499.53,0.0536009,-3.14004
-499.52,0.0536009,-3.14001
-499.51,0.0536009,-3.13997
-499.5,0.0536009,-3.13994
-499.49,0.0536009,-3.13991
-499.48,0.0536009,-3.13987
-499.47,0.0536009,-3.13984
-499.46,0.0536009,-3.13981
-499.45,0.053601,-3.13977
-499.44,0.053601,-3.13974
-499.43,0.053601,-3.13971
-499.42,0.053601,-3.13967
-499.41,0.053601,-3.13964
-499.4,0.053601,-3.13961
-499.39,0.053601,-3.13958
-499.38,0.053601,-3.13954
-499.37,0.053601,-3.13951
-499.36,0.053601,-3.13948
-499.35,0.053601,-3.13944
-499.34,0.053601,-3.13941
-499.33,0.053601,-3.13938
-499.32,0.053601,-3.13934
-499.31,0.053601,-3.13931
-499.3,0.053601,-3.13928
-499.29,0.053601,-3.13924
-499.28,0.053601,-3.13921
-499.27,0.053601,-3.13918
-499.26,0.053601,-3.13915
-499.25,0.053601,-3.13911
-499.24,0.053601,-3.13908
-499.23,0.053601,-3.13905
-499.22,0.053601,-3.13901
-499.21,0.053601,-3.13898
-499.2,0.0536011,-3.13895
-499.19,0.0536011,-3.13891
-499.18,0.0536011,-3.13888
-499.17,0.0536011,-3.13885
-499.16,0.0536011,-3.13881
-499.15,0.0536011,-3.13878
-499.14,0.0536011,-3.13875
-499.13,0.0536011,-3.13872
-499.12,0.0536011,-3.13868
-499.11,0.0536011,-3.13865
-499.1,0.0536011,-3.13862
-499.09,0.0536011,-3.13858
-499.08,0.0536011,-3.13855
-499.07,0.0536011,-3.13852
-499.06,0.0536011,-3.13848
-499.05,0.0536011,-3.13845
-499.04,0.0536011,-3.13842
-499.03,0.0536011,-3.13838
-499.02,0.0536011,-3.13835
-499.01,0.0536012,-3.13832
-499,0.0536012,-3.13829
-498.99,0.0536012,-3.13825
-498.98,0.0536012,-3.13822
-498.97,0.0536012,-3.13819
-498.96,0.0536012,-3.13815
-498.95,0.0536012,-3.13812
-498.94,0.0536012,-3.13809
-498.93,0.0536012,-3.13805
-498.92,0.0536012,-3.13802
-498.91,0.0536012,-3.13799
-498.9,0.0536012,-3.13795
-498.89,0.0536012,-3.13792
-498.88,0.0536012,-3.13789
-498.87,0.0536012,-3.13786
-498.86,0.0536012,-3.13782
-498.85,0.0536013,-3.13779
-498.84,0.0536013,-3.13776
-498.83,0.0536013,-3.13772
-498.82,0.0536013,-3.13769
-498.81,0.0536013,-3.13766
-498.8,0.0536013,-3.13762
-498.79,0.0536013,-3.13759
-498.78,0.0536013,-3.13756
-498.77,0.0536013,-3.13752
-498.76,0.0536013,-3.13749
-498.75,0.0536013,-3.13746
-498.74,0.0536013,-3.13743
-498.73,0.0536013,-3.13739
-498.72,0.0536013,-3.13736
-498.71,0.0536014,-3.13733
-498.7,0.0536014,-3.13729
-498.69,0.0536014,-3.13726
-498.68,0.0536014,-3.13723
-498.67,0.0536014,-3.13719
-498.66,0.0536014,-3.13716
-498.65,0.0536014,-3.13713
-498.64,0.0536014,-3.13709
-498.63,0.0536014,-3.13706
-498.62,0.0536014,-3.13703
-498.61,0.0536014,-3.137
-498.6,0.0536014,-3.13696
-498.59,0.0536014,-3.13693
-498.58,0.0536015,-3.1369
-498.57,0.0536015,-3.13686
-498.56,0.0536015,-3.13683
-498.55,0.0536015,-3.1368
-498.54,0.0536015,-3.13676
-498.53,0.0536015,-3.13673
-498.52,0.0536015,-3.1367
-498.51,0.0536015,-3.13667
-498.5,0.0536015,-3.13663
-498.49,0.0536015,-3.1366
-498.48,0.0536015,-3.13657
-498.47,0.0536015,-3.13653
-498.46,0.0536016,-3.1365
-498.45,0.0536016,-3.13647
-498.44,0.0536016,-3.13643
-498.43,0.0536016,-3.1364
-498.42,0.0536016,-3.13637
-498.41,0.0536016,-3.13633
-498.4,0.0536016,-3.1363
-498.39,0.0536016,-3.13627
