Frequency,Magnitude,Phase
-500,0.0267992,-3.14159
-499.99,0.0267992,-3.14156
-499.98,0.0267992,-3.14153
-499.97,0.0267992,-3.1415
-499.96,0.0267992,-3.14147
-499.95,0.0267992,-3.14143
-499.94,0.0267992,-3.1414
-499.93,0.0267992,-3.14137
-499.92,0.0267992,-3.14134
-499.91,0.0267992,-3.14131
-499.9,0.0267992,-3.14128
-499.89,0.0267992,-3.14124
-499.88,0.0267992,-3.14121
-499.87,0.0267992,-3.14118
-499.86,0.0267992,-3.14115
-499.85,0.0267992,-3.14112
-499.84,0.0267992,-3.14109
-499.83,0.0267992,-3.14105
-499.82,0.0267992,-3.14102
-499.81,0.0267992,-3.14099
-499.8,0.0267992,-3.14096
-499.79,0.0267992,-3.14093
-499.78,0.0267992,-3.1409
-499.77,0.0267992,-3.14086
-499.76,0.0267992,-3.14083
-499.75,0.0267992,-3.1408
-499.74,0.0267992,-3.14077
-499.73,0.0267992,-3.14074
-499.72,0.0267992,-3.14071
-499.71,0.0267992,-3.14067
-499.7,0.0267992,-3.14064
-499.69,0.0267992,-3.14061
-499.68,0.0267992,-3.14058
-499.67,0.0267993,-3.14055
-499.66,0.0267992,-3.14052
-499.65,0.0267993,-3.14048
-499.64,0.0267993,-3.14045
-499.63,0.0267993,-3.14042
-499.62,0.0267993,-3.14039
-499.61,0.0267993,-3.14036
-499.6,0.0267993,-3.14033
-499.59,0.0267993,-3.14029
-499.58,0.0267993,-3.14026
-499.57,0.0267993,-3.14023
-499.56,0.0267993,-3.1402
-499.55,0.0267993,-3.14017
-499.54,0.0267993,-3.14014
-499.53,0.0267993,-3.1401
-499.52,0.0267993,-3.14007
-499.51,0.0267993,-3.14004
-499.5,0.0267993,-3.14001
-499.49,0.0267993,-3.13998
-499.48,0.0267993,-3.13995
-499.47,0.0267993,-3.13991
-499.46,0.0267993,-3.13988
-499.45,0.0267993,-3.13985
-499.44,0.0267993,-3.13982
-499.43,0.0267993,-3.13979
-499.42,0.0267993,-3.13976
-499.41,0.0267993,-3.13972
-499.4,0.0267993,-3.13969
-499.39,0.0267993,-3.13966
-499.38,0.0267993,-3.13963
-499.37,0.0267993,-3.1396
-499.36,0.0267993,-3.13957
-499.35,0.0267993,-3.13953
-499.34,0.0267993,-3.1395
-499.33,0.0267993,-3.13947
-499.32,0.0267993,-3.13944
-499.31,0.0267993,-3.13941
-499.3,0.0267993,-3.13938
-499.29,0.0267993,-3.13934
-499.28,0.0267993,-3.13931
-499.27,0.0267993,-3.13928
-499.26,0.0267993,-3.13925
-499.25,0.0267993,-3.13922
-499.24,0.0267993,-3.13919
-499.23,0.0267993,-3.13915
-499.22,0.0267993,-3.13912
-499.21,0.0267993,-3.13909
-499.2,0.0267993,-3.13906
-499.19,0.0267993,-3.13903
-499.18,0.0267993,-3.139
-499.17,0.0267993,-3.13896
-499.16,0.0267993,-3.13893
-499.15,0.0267993,-3.1389
-499.14,0.0267993,-3.13887
-499.13,0.0267993,-3.13884
-499.12,0.0267993,-3.13881
-499.11,0.0267993,-3.13877
-499.1,0.0267993,-3.13874
-499.09,0.0267993,-3.13871
-499.08,0.0267993,-3.13868
-499.07,0.0267993,-3.13865
-499.06,0.0267994,-3.13862
-499.05,0.0267994,-3.13858
-499.04,0.0267994,-3.13855
-499.03,0.0267994,-3.13852
-499.02,0.0267994,-3.13849
-499.01,0.0267994,-3.13846
-499,0.0267994,-3.13843
-498.99,0.0267994,-3.13839
-498.98,0.0267994,-3.13836
-498.97,0.0267994,-3.13833
-498.96,0.0267994,-3.1383
-498.95,0.0267994,-3.13827
-498.94,0.0267994,-3.13824
-498.93,0.0267994,-3.1382
-498.92,0.0267994,-3.13817
-498.91,0.0267994,-3.13814
-498.9,0.0267994,-3.13811
-498.89,0.0267994,-3.13808
-498.88,0.0267994,-3.13805
-498.87,0.0267994,-3.13801
-498.86,0.0267994,-3.13798
-498.85,0.0267994,-3.13795
-498.84,0.0267994,-3.13792
-498.83,0.0267994,-3.13789
-498.82,0.0267994,-3.13786
-498.81,0.0267994,-3.13782
