Frequency,Magnitude,Phase
-500,6.85001e-11,1.22926
-499.98,3.12039e-10,2.18958
-499.96,1.63124e-10,2.32142
-499.94,1.43709e-10,-0.486108
-499.92,1.54826e-10,2.30067
-499.9,1.16779e-10,-0.502084
-499.88,5.5045e-11,-1.32495
-499.86,3.24991e-11,1.79187
-499.84,1.96082e-10,0.997387
-499.82,1.84641e-10,3.02261
-499.8,1.69857e-10,0.176897
-499.78,1.26635e-09,0.471682
-499.76,1.93996e-10,-0.569023
-499.74,2.11609e-10,0.669032
-499.72,4.75857e-11,2.8426
-499.7,5.28664e-11,1.01261
-499.68,2.76512e-10,0.594404
-499.66,6.4119e-11,-0.115379
-499.64,1.36686e-10,-0.381354
-499.62,1.6936e-10,0.602911
-499.6,1.44871e-10,1.06849
-499.58,4.56712e-10,1.5864
-499.56,7.36482e-11,2.28139
-499.54,4.82862e-10,-0.935902
-499.52,2.22328e-10,0.461309
-499.5,4.41946e-10,-2.03579
-499.48,2.60627e-10,0.313173
-499.46,1.20736e-10,-0.244539
-499.44,6.58893e-11,-0.0914688
-499.42,9.61021e-10,-1.00414
-499.4,5.07057e-10,-1.25356
-499.38,1.4045e-09,-0.370667
-499.36,1.445e-10,1.46751
-499.34,2.97354e-10,0.576657
-499.32,5.53114e-11,-2.35295
-499.3,1.63651e-10,0.0453446
-499.28,8.9746e-11,0.978647
-499.26,4.66851e-10,-2.85384
-499.24,1.4212e-10,-2.96822
-499.22,3.52868e-11,-0.634003
-499.2,9.40099e-11,-0.120806
-499.18,1.86287e-10,1.00939
-499.16,9.05549e-11,-0.603542
-499.14,7.35738e-10,-2.50249
-499.12,5.00813e-11,0.703796
-499.1,1.48169e-10,-1.30254
-499.08,1.30649e-10,0.926247
-499.06,5.71382e-11,-0.263595
-499.04,5.03561e-11,0.345502
-499.02,3.7302e-10,-0.768485
-499,2.40669e-10,-2.34397
-498.98,1.06063e-10,1.8096
-498.96,1.46147e-10,-2.13864
-498.94,3.27455e-10,-0.907525
-498.92,7.45838e-11,1.8939
-498.9,5.01335e-10,0.315759
-498.88,9.08167e-11,0.660726
-498.86,2.514e-10,-2.71848
-498.84,2.6366e-10,0.535711
-498.82,2.99592e-10,1.5452
-498.8,1.79559e-10,-0.766241
-498.78,1.39358e-09,2.56617
-498.76,2.74573e-10,-2.57837
-498.74,2.33179e-10,0.999918
-498.72,2.2807e-10,0.711709
-498.7,1.73154e-10,1.21688
-498.68,1.18521e-10,0.859959
-498.66,1.9377e-10,-0.818637
-498.64,1.6134e-10,-1.09104
-498.62,4.66481e-10,2.38847
-498.6,1.3584e-10,-1.45953
-498.58,3.34047e-10,-1.26322
-498.56,6.58203e-09,-2.14756
-498.54,1.1645e-10,2.91097
-498.52,5.50796e-11,1.11695
-498.5,5.6647e-10,-2.06379
-498.48,2.14911e-10,-0.842195
-498.46,2.85386e-11,-0.279829
-498.44,3.44437e-10,2.20022
-498.42,4.31964e-10,0.646448
-498.4,1.4585e-10,-2.72289
-498.38,9.48691e-11,-2.10645
-498.36,2.16899e-10,1.79501
-498.34,1.4816e-10,-0.568341
-498.32,2.73797e-10,-2.08338
-498.3,1.11642e-09,0.211522
-498.28,5.18801e-10,-0.107526
-498.26,2.40559e-10,-2.67775
-498.24,1.97236e-10,-1.01219
-498.22,1.32106e-10,1.5191
-498.2,2.2455e-10,-1.13567
-498.18,2.60908e-10,1.0718
-498.16,3.06577e-10,2.08633
-498.14,4.7494e-10,-1.97234
-498.12,5.87194e-11,1.32072
-498.1,2.53908e-10,1.61423
-498.08,1.37611e-10,0.911266
-498.06,2.3642e-10,-1.54135
-498.04,4.58959e-10,-1.03373
-498.02,2.10569e-10,-0.100014
-498,1.38011e-10,-2.28535
-497.98,2.53834e-10,-0.106479
-497.96,1.43577e-10,-0.444261
