Frequency,Magnitude,Phase
-500,8.36564e-11,1.53284
-499.99,1.59061e-10,0.77552
-499.98,3.90585e-10,2.55953
-499.97,8.33082e-10,-2.76747
-499.96,9.24611e-10,2.09747
-499.95,1.26643e-09,1.99643
-499.94,4.97518e-10,1.38058
-499.93,1.85456e-10,1.54139
-499.92,5.78158e-10,2.86634
-499.91,3.33002e-10,1.63929
-499.9,5.60474e-10,-0.22195
-499.89,1.69659e-09,-1.68004
-499.88,6.87542e-10,1.14086
-499.87,1.05696e-09,-0.768039
-499.86,4.4992e-10,2.56927
-499.85,6.2646e-10,-0.372737
-499.84,6.11817e-10,1.3073
-499.83,9.22422e-11,-0.357856
-499.82,3.31619e-10,-0.532856
-499.81,3.35044e-10,-1.16998
-499.8,7.0006e-09,1.51627
-499.79,4.78031e-10,-1.34748
-499.78,1.69651e-09,0.944446
-499.77,1.3919e-09,-0.772652
-499.76,5.47286e-10,-0.607804
-499.75,6.01268e-10,-0.28075
-499.74,4.05447e-10,3.01567
-499.73,1.85852e-10,-1.71961
-499.72,1.05478e-09,0.382108
-499.71,2.17931e-09,-2.65046
-499.7,7.14737e-10,-2.14643
-499.69,3.89432e-10,-2.09311
-499.68,7.91758e-10,0.289734
-499.67,1.6437e-10,-2.55419
-499.66,4.47795e-10,1.84388
-499.65,6.49881e-10,2.30852
-499.64,9.27808e-09,-2.8171
-499.63,2.55157e-10,1.95084
-499.62,5.31725e-10,-1.82486
-499.61,1.17311e-09,2.21637
-499.6,7.27748e-10,-1.61981
-499.59,1.25069e-10,-2.30448
-499.58,9.13921e-09,2.01027
-499.57,2.73964e-09,-1.32571
-499.56,1.57757e-10,1.01794
-499.55,1.97171e-10,-1.51448
-499.54,4.06017e-10,1.58153
-499.53,6.25396e-10,2.24028
-499.52,3.12893e-09,-1.324
-499.51,2.43152e-10,0.206109
-499.5,2.3782e-09,1.62147
-499.49,3.31166e-10,2.30921
-499.48,7.77105e-10,1.04223
-499.47,6.42241e-10,-0.0949339
-499.46,9.6174e-10,1.69284
-499.45,1.05731e-09,2.85472
-499.44,2.14992e-10,-0.519281
-499.43,7.68029e-10,-2.92474
-499.42,2.39628e-09,-1.16346
-499.41,9.77773e-10,-2.45692
-499.4,7.53767e-10,-0.0687928
-499.39,2.36409e-10,0.949583
-499.38,1.10685e-09,-2.96691
-499.37,2.40591e-10,0.680222
-499.36,1.56493e-08,-1.93599
-499.35,8.37384e-10,-2.02709
-499.34,2.7894e-09,1.98317
-499.33,2.80762e-09,-2.57068
-499.32,4.88359e-10,0.53458
-499.31,2.45954e-09,0.598014
-499.3,3.74969e-09,1.99369
-499.29,7.7075e-10,-1.57551
-499.28,6.73592e-10,0.892679
-499.27,4.01703e-10,-1.33808
-499.26,3.50465e-10,-3.1212
-499.25,4.74531e-09,-0.639755
-499.24,2.34674e-10,-1.95102
-499.23,1.80153e-10,0.134817
-499.22,1.45511e-09,-2.06022
-499.21,3.419e-09,1.77904
-499.2,1.5225e-10,-1.45648
-499.19,4.30699e-10,-1.77128
-499.18,3.98745e-10,1.99957
-499.17,5.54077e-10,1.85186
-499.16,4.72574e-09,0.49154
-499.15,9.07202e-10,-0.268615
-499.14,1.14017e-09,-2.93753
-499.13,3.94852e-10,-0.259115
-499.12,9.93233e-10,1.47219
-499.11,2.52637e-10,-1.09126
-499.1,4.45919e-10,-1.8785
-499.09,1.24915e-10,-0.910389
-499.08,1.07183e-10,-0.860534
-499.07,2.32215e-10,-2.16212
-499.06,3.05747e-10,-2.40402
-499.05,2.54246e-10,0.947808
-499.04,4.93387e-10,0.810394
-499.03,6.34961e-10,2.48434
-499.02,1.10798e-09,-1.67983
-499.01,7.8587e-10,-1.00886
-499,1.22404e-09,-2.80546
-498.99,1.09526e-09,0.730569
-498.98,2.5028e-10,2.83123
-498.97,3.57681e-10,2.38043
-498.96,2.68102e-09,2.47971
-498.95,3.93917e-10,-3.01522
-498.94,3.16553e-10,-2.27633
-498.93,2.50123e-10,3.0477
-498.92,4.54976e-10,-2.48643
-498.91,6.76926e-10,-1.17282
-498.9,7.11167e-10,-0.418395
-498.89,1.03357e-09,2.3248
-498.88,3.55062e-09,-0.353217
-498.87,1.79402e-09,1.0024
-498.86,6.08038e-10,2.9525
-498.85,6.05029e-10,-2.16257
-498.84,1.1411e-09,1.61021
-498.83,8.7394e-10,-1.67982
-498.82,6.53436e-10,-2.76644
-498.81,3.77488e-10,-1.73811
-498.8,1.71743e-10,-2.09551
-498.79,2.53496e-09,2.77873
-498.78,4.15506e-09,1.753
-498.77,1.74029e-09,-2.42895
-498.76,8.85805e-10,-2.07398
-498.75,8.16381e-10,2.81239
-498.74,1.15398e-10,-1.07896
-498.73,8.69146e-10,-2.67786
-498.72,5.85487e-10,0.795408
-498.71,1.04585e-09,-1.08781
-498.7,9.97136e-10,1.65662
-498.69,8.14516e-10,2.66156
-498.68,3.52925e-10,0.290871
-498.67,7.52347e-10,-3.06137
-498.66,1.95489e-10,-0.213185
-498.65,2.29936e-10,0.147612
-498.64,3.24409e-10,-2.66948
-498.63,3.04434e-10,-0.948216
-498.62,1.59618e-09,0.696116
-498.61,4.78908e-10,0.170613
-498.6,8.8063e-10,3.04039
-498.59,6.03554e-10,-1.21093
-498.58,1.54061e-09,-2.97733
-498.57,5.41856e-10,-0.414487
-498.56,1.37801e-08,-2.15809
-498.55,3.59245e-10,1.29308
-498.54,1.47236e-09,-2.54648
-498.53,9.10878e-10,-0.0182346
-498.52,7.72898e-10,-1.98844
-498.51,1.54967e-09,0.347928
-498.5,1.70369e-09,1.97446
-498.49,5.20202e-10,2.60727
-498.48,1.6744e-09,-0.734465
-498.47,2.47181e-10,0.707421
-498.46,1.92003e-10,-0.864386
-498.45,4.17534e-10,-1.9349
-498.44,6.83361e-10,2.33499
-498.43,3.80591e-10,0.520589
-498.42,6.9382e-10,1.07811
-498.41,2.10395e-09,-1.86173
-498.4,1.92513e-09,2.37321
-498.39,2.73263e-10,-3.00566
-498.38,2.09595e-10,-1.64755
-498.37,3.12113e-09,-2.54551
-498.36,5.71321e-10,2.29309
-498.35,5.1894e-10,-0.686398
-498.34,5.22052e-10,-0.166403
-498.33,6.33959e-10,-1.14101
-498.32,2.87871e-09,-1.01077
-498.31,7.49168e-10,3.00022
-498.3,1.30805e-09,-0.292542
-498.29,4.54784e-09,0.0576464
-498.28,8.04397e-10,-0.249737
-498.27,5.61055e-09,1.03779
-498.26,3.68707e-10,0.237194
-498.25,2.92985e-10,-2.40848
-498.24,3.89822e-10,1.52365
-498.23,7.11158e-10,0.0355614
-498.22,4.10446e-10,0.994639
-498.21,5.75461e-10,-0.27809
-498.2,5.56621e-09,-1.03433
-498.19,7.60842e-10,2.63049
-498.18,1.31736e-09,1.18685
-498.17,2.74402e-09,-2.48275
-498.16,7.8846e-10,1.771
-498.15,7.93284e-10,2.05284
-498.14,1.06491e-09,2.82204
-498.13,5.4565e-10,-1.40118
-498.12,6.78818e-10,0.0591815
-498.11,9.72059e-10,-0.826471
-498.1,1.08843e-09,1.38251
-498.09,8.10682e-10,0.254503
-498.08,4.49356e-10,1.16562
-498.07,2.72339e-09,2.62956
-498.06,1.74205e-09,-1.25775
-498.05,1.10898e-09,-1.0591
-498.04,2.87785e-10,-0.469939
-498.03,1.12125e-09,0.933392
-498.02,1.31336e-10,1.91762
-498.01,2.59237e-09,1.50046
-498,2.20947e-10,-1.99214
-497.99,8.23675e-10,0.864265
-497.98,8.20878e-11,1.39064
-497.97,8.80719e-10,-2.1067
-497.96,1.17619e-09,0.0834288
-497.95,1.50764e-09,-1.50613
-497.94,3.24782e-10,-1.67054
-497.93,2.39717e-09,0.0631249
-497.92,4.93433e-10,1.31889
-497.91,1.97975e-08,-2.69515
-497.9,1.64277e-09,2.76654
-497.89,3.56848e-10,-0.389537
-497.88,5.57245e-10,-0.474917
-497.87,4.9035e-10,-0.0956682
-497.86,1.47939e-10,0.22915
-497.85,4.30794e-10,2.83622
-497.84,6.01199e-10,2.94827
-497.83,2.13057e-10,0.166293
-497.82,5.10112e-10,-3.07032
-497.81,3.54956e-09,1.33125
-497.8,2.59611e-10,0.692851
-497.79,6.62465e-10,0.0241653
-497.78,6.88688e-11,-1.68403
-497.77,7.5038e-10,-0.790092
-497.76,6.34322e-10,0.496651
-497.75,7.15261e-10,-2.03815
-497.74,5.34866e-10,-0.66195
-497.73,2.21485e-09,2.07344
-497.72,1.6677e-10,2.24836
-497.71,2.06177e-09,0.761734
-497.7,2.79569e-10,-2.78043
-497.69,2.73555e-10,-0.766265
-497.68,3.66959e-10,-0.115861
