Frequency,Magnitude,Phase
0,0.999995,0
1,0.999995,3.14159
2,0.999995,7.54342e-11
3,0.999995,3.14159
4,0.999995,1.56689e-10
5,0.999995,3.14159
6,0.999995,2.50436e-10
7,0.999995,3.14159
8,0.999995,3.65258e-10
9,0.999995,3.14159
10,0.999995,5.13192e-10
11,0.999995,3.14159
12,0.999995,7.12225e-10
13,0.999995,3.14159
14,0.999995,9.90627e-10
15,0.999995,3.14159
16,0.999995,1.39488e-09
17,0.999995,3.14159
18,0.999995,2.00497e-09
19,0.999995,3.14159
20,0.999995,2.96551e-09
21,0.999995,3.14159
22,0.999995,4.55363e-09
23,0.999995,3.14159
24,0.999995,7.33823e-09
25,0.999995,3.14159
26,0.999995,1.25918e-08
27,0.999995,3.14159
28,0.999994,2.34902e-08
29,0.999996,3.14159
30,0.999994,4.92045e-08
31,0.999998,3.14159
32,0.99999,1.22286e-07
33,1,3.14159
34,0.999974,4.01721e-07
35,1.00005,3.14159
36,0.999822,2.28847e-06
37,1.00085,3.14158
38,0.979481,0.000146154
39,0.830134,-3.14063
40,0.499999,0.00256358
41,0.169863,-3.1369
42,0.0205145,0.00697829
43,0.000855057,0.010236
44,0.000172701,0.0132491
45,5.32281e-05,0.0162901
46,2.07556e-05,0.0193559
47,9.4394e-06,0.0224393
48,4.78976e-06,0.0255354
49,2.63887e-06,0.0286404
50,1.5503e-06,0.0317519
51,9.59001e-07,0.034868
52,6.18914e-07,0.0379876
53,4.13848e-07,0.0411095
54,2.85185e-07,0.044233
55,2.01677e-07,0.0473574
56,1.45868e-07,0.0504822
57,1.07607e-07,0.053607
58,8.07798e-08,0.0567314
59,6.15916e-08,0.059855
60,4.76208e-08,0.0629776
61,3.72849e-08,0.0660988
62,2.95269e-08,0.0692183
63,2.3627e-08,0.0723362
64,1.90861e-08,0.075452
65,1.55527e-08,0.0785652
66,1.27755e-08,0.0816767
67,1.05722e-08,0.0847848
68,8.80914e-09,0.087891
69,7.38707e-09,0.0909942
70,6.23149e-09,0.0940945
71,5.28595e-09,0.0971904
72,4.50723e-09,0.100284
73,3.86201e-09,0.103375
74,3.32434e-09,0.106463
75,2.87389e-09,0.109547
76,2.4946e-09,0.112625
77,2.1737e-09,0.115702
78,1.90098e-09,0.118775
79,1.66822e-09,0.121844
80,1.46874e-09,0.124913
81,1.29714e-09,0.12797
82,1.14898e-09,0.131032
83,1.02062e-09,0.134074
84,9.09019e-10,0.137124
85,8.11709e-10,0.140172
86,7.26584e-10,0.143203
87,6.51915e-10,0.146255
88,5.86227e-10,0.149288
89,5.28297e-10,0.152316
90,4.77067e-10,0.155343
91,4.31654e-10,0.158374
92,3.91321e-10,0.161389
93,3.55388e-10,0.164419
94,3.23337e-10,0.167423
95,2.94666e-10,0.170408
96,2.68971e-10,0.173437
97,2.45907e-10,0.176427
98,2.25169e-10,0.179408
99,2.06475e-10,0.182399
100,1.89607e-10,0.185387
101,1.74357e-10,0.18838
102,1.60529e-10,0.191385
103,1.48001e-10,0.194276
104,1.36608e-10,0.197249
105,1.26252e-10,0.200265
106,1.16816e-10,0.203175
107,1.08209e-10,0.206169
108,1.00336e-10,0.209129
109,9.31418e-11,0.212108
110,8.65532e-11,0.215106
111,8.0503e-11,0.217962
112,7.49659e-11,0.220922
113,6.98593e-11,0.223764
114,6.51705e-11,0.226831
115,6.08412e-11,0.229691
116,5.68479e-11,0.232915
117,5.31663e-11,0.235638
118,4.97646e-11,0.238536
119,4.66046e-11,0.241544
120,4.36993e-11,0.244655
121,4.10065e-11,0.247273
122,3.84968e-11,0.250272
123,3.61718e-11,0.253132
124,3.40019e-11,0.255993
125,3.19985e-11,0.25892
126,3.01288e-11,0.261865
127,2.83917e-11,0.264788
128,2.67578e-11,0.267826
129,2.52426e-11,0.270695
130,2.3825e-11,0.273477
131,2.25005e-11,0.276743
132,2.12679e-11,0.279265
133,2.01082e-11,0.281851
134,1.90221e-11,0.284886
135,1.80103e-11,0.287651
136,1.70654e-11,0.290654
137,1.61711e-11,0.293225
138,1.53289e-11,0.296617
139,1.4536e-11,0.299543
140,1.37987e-11,0.30258
141,1.31142e-11,0.305012
142,1.24476e-11,0.307807
143,1.18268e-11,0.311093
144,1.12468e-11,0.314219
145,1.06972e-11,0.31717
146,1.01755e-11,0.319806
147,9.70132e-12,0.322254
148,9.23486e-12,0.324593
149,8.79803e-12,0.32788
150,8.39135e-12,0.331129
151,7.99978e-12,0.333849
152,7.63606e-12,0.336413
153,7.27811e-12,0.339712
154,6.94522e-12,0.342734
155,6.64314e-12,0.345886
156,6.34489e-12,0.346591
157,6.06523e-12,0.350635
158,5.7925e-12,0.354444
159,5.54539e-12,0.355984
160,5.3046e-12,0.357073
161,5.07905e-12,0.360754
162,4.86845e-12,0.365448
163,4.65888e-12,0.36832
164,4.46066e-12,0.371387
165,4.26471e-12,0.377201
166,4.09541e-12,0.374589
167,3.91161e-12,0.377051
168,3.7905e-12,0.383691
169,3.63274e-12,0.384006
170,3.48889e-12,0.383132
171,3.33693e-12,0.391413
172,3.21265e-12,0.400412
173,3.07746e-12,0.398623
174,2.95638e-12,0.399088
175,2.83531e-12,0.405713
176,2.71704e-12,0.407215
177,2.6289e-12,0.4032
178,2.52759e-12,0.413291
179,2.43063e-12,0.411748
180,2.33748e-12,0.412687
181,2.24975e-12,0.417747
182,2.1629e-12,0.427259
183,2.07848e-12,0.423879
184,1.9883e-12,0.424874
185,1.94038e-12,0.429036
186,1.85727e-12,0.428102
187,1.80231e-12,0.444052
188,1.72164e-12,0.430288
189,1.68013e-12,0.450725
190,1.60614e-12,0.442773
191,1.56209e-12,0.432786
192,1.4997e-12,0.443964
193,1.44002e-12,0.454016
194,1.39364e-12,0.459368
195,1.33657e-12,0.468031
196,1.30387e-12,0.459188
197,1.27103e-12,0.462497
198,1.20712e-12,0.467341
199,1.17743e-12,0.455322
200,1.14647e-12,0.467026
201,1.09285e-12,0.477795
202,1.06338e-12,0.468543
203,1.02912e-12,0.483975
204,9.83914e-13,0.483243
205,9.54951e-13,0.489839
206,9.28484e-13,0.486643
207,8.79789e-13,0.472843
208,8.7529e-13,0.507314
209,8.49944e-13,0.504821
210,8.12977e-13,0.498851
211,8.12828e-13,0.489487
212,7.60429e-13,0.50655
213,7.57584e-13,0.50733
214,7.18022e-13,0.523606
215,6.90632e-13,0.512484
216,6.69545e-13,0.526828
217,6.51378e-13,0.516977
218,6.1115e-13,0.542171
219,6.04664e-13,0.523267
220,5.99354e-13,0.529037
221,5.76104e-13,0.536519
222,5.64151e-13,0.489903
223,5.48817e-13,0.542307
224,5.22363e-13,0.521373
225,5.07892e-13,0.530443
226,4.8779e-13,0.521757
227,4.80311e-13,0.5401
228,4.66923e-13,0.553873
229,4.39726e-13,0.573289
230,4.46195e-13,0.519557
231,4.20848e-13,0.55647
232,4.24191e-13,0.527966
233,3.959e-13,0.550037
234,3.91738e-13,0.562607
235,3.84949e-13,0.564604
236,3.80123e-13,0.533243
237,3.55218e-13,0.612386
238,3.5592e-13,0.565539
239,3.39612e-13,0.591295
240,3.38488e-13,0.614956
241,3.18885e-13,0.522849
242,3.13667e-13,0.604681
243,3.12973e-13,0.574113
244,2.75996e-13,0.590953
245,2.83668e-13,0.58489
246,2.79104e-13,0.603996
247,3.01574e-13,0.633465
248,2.83728e-13,0.620102
249,2.5968e-13,0.649547
250,2.48879e-13,0.619724
251,2.43948e-13,0.657339
252,2.35319e-13,0.619846
253,2.45823e-13,0.595542
254,2.22254e-13,0.600546
255,2.14543e-13,0.598335
256,2.17842e-13,0.644434
257,1.94009e-13,0.601393
258,2.15715e-13,0.689065
259,2.18415e-13,0.665769
260,1.8562e-13,0.68909
261,1.86692e-13,0.648761
262,1.86219e-13,0.744466
263,1.92019e-13,0.592685
264,1.7232e-13,0.542184
265,1.69677e-13,0.679631
266,1.4822e-13,0.706525
267,1.51828e-13,0.645227
268,1.60058e-13,0.676523
