Frequency,Magnitude,Phase
-499.5,4.5907e-14,1.54649
-498.501,4.57658e-14,-1.53506
-497.502,1.40279e-13,-1.57379
-496.503,2.27819e-13,-1.55461
-495.504,3.24174e-13,-1.55972
-494.505,4.16835e-13,-1.55391
-493.506,5.08003e-13,-1.55098
-492.507,6.06321e-13,-1.55229
-491.508,6.61401e-13,-1.54812
-490.509,7.87433e-13,-1.54239
-489.51,8.84976e-13,-1.54238
-488.511,9.86492e-13,-1.54644
-487.512,1.06659e-12,-1.53642
-486.513,1.16429e-12,-1.5343
-485.514,1.25823e-12,-1.52993
-484.515,1.35108e-12,-1.52501
-483.516,1.44642e-12,-1.52161
-482.517,1.54413e-12,-1.51998
-481.518,1.63574e-12,-1.52095
-480.519,1.73461e-12,-1.51408
-479.52,1.83132e-12,-1.51074
-478.521,1.92616e-12,-1.507
-477.522,2.02493e-12,-1.50298
-476.523,2.12508e-12,-1.50009
-475.524,2.23962e-12,-1.49788
-474.525,2.31802e-12,-1.49728
-473.526,2.42053e-12,-1.4895
-472.527,2.51799e-12,-1.48733
-471.528,2.61577e-12,-1.48594
-470.529,2.72026e-12,-1.47961
-469.53,2.81879e-12,-1.47739
-468.531,2.92992e-12,-1.47304
-467.532,3.02477e-12,-1.47127
-466.533,3.13922e-12,-1.46282
-465.534,3.23079e-12,-1.46528
-464.535,3.34111e-12,-1.46174
-463.536,3.44388e-12,-1.46002
-462.537,3.5485e-12,-1.45573
-461.538,3.65489e-12,-1.45274
-460.539,3.7685e-12,-1.44988
-459.54,3.87543e-12,-1.44681
-458.541,3.98967e-12,-1.44305
-457.542,4.10038e-12,-1.43956
-456.543,4.20393e-12,-1.43744
-455.544,4.31288e-12,-1.43479
-454.545,4.4344e-12,-1.4313
-453.546,4.54966e-12,-1.42804
-452.547,4.66302e-12,-1.42752
-451.548,4.78408e-12,-1.4219
-450.549,4.90158e-12,-1.41866
-449.55,5.01703e-12,-1.41575
-448.551,5.14284e-12,-1.41246
-447.552,5.26272e-12,-1.40945
-446.553,5.38425e-12,-1.40664
-445.554,5.50553e-12,-1.40269
-444.555,5.63357e-12,-1.4021
-443.556,5.76364e-12,-1.39671
-442.557,5.88137e-12,-1.39333
-441.558,6.01851e-12,-1.39064
-440.559,6.14578e-12,-1.38677
-439.56,6.2807e-12,-1.3839
-438.561,6.41157e-12,-1.3819
-437.562,6.54764e-12,-1.37772
-436.563,6.68152e-12,-1.37401
-435.564,6.81528e-12,-1.37178
-434.565,6.96298e-12,-1.3685
-433.566,7.10643e-12,-1.36533
-432.567,7.24536e-12,-1.36198
-431.568,7.38613e-12,-1.35882
-430.569,7.53452e-12,-1.3561
-429.57,7.68155e-12,-1.35288
-428.571,7.83452e-12,-1.34968
-427.572,7.99139e-12,-1.34787
-426.573,8.13803e-12,-1.34345
-425.574,8.2946e-12,-1.33991
-424.575,8.45122e-12,-1.33751
-423.576,8.61229e-12,-1.33363
-422.577,8.77228e-12,-1.32999
-421.578,8.93489e-12,-1.32756
-420.579,9.1046e-12,-1.324
-419.58,9.27156e-12,-1.32135
-418.581,9.44636e-12,-1.3179
-417.582,9.61098e-12,-1.31531
-416.583,9.78475e-12,-1.31197
-415.584,9.95732e-12,-1.30821
-414.585,1.01456e-11,-1.30578
-413.586,1.03336e-11,-1.3026
-412.587,1.05126e-11,-1.29898
-411.588,1.06883e-11,-1.29496
-410.589,1.08926e-11,-1.29296
-409.59,1.10777e-11,-1.28959
-408.591,1.12662e-11,-1.2864
-407.592,1.14589e-11,-1.28352
-406.593,1.16704e-11,-1.2806
-405.594,1.18637e-11,-1.27696
-404.595,1.20818e-11,-1.27538
-403.596,1.22815e-11,-1.27088
-402.597,1.24888e-11,-1.26825
-401.598,1.27039e-11,-1.26464
-400.599,1.29293e-11,-1.2615
-399.6,1.31436e-11,-1.25853
-398.601,1.33661e-11,-1.25478
-397.602,1.35902e-11,-1.25253
-396.603,1.38241e-11,-1.24886
-395.604,1.40484e-11,-1.24598
-394.605,1.42985e-11,-1.24292
-393.606,1.45369e-11,-1.23987
-392.607,1.47784e-11,-1.2369
-391.608,1.50346e-11,-1.23268
-390.609,1.52792e-11,-1.23033
-389.61,1.55327e-11,-1.22716
-388.611,1.57927e-11,-1.22394
-387.612,1.60423e-11,-1.22197
-386.613,1.63185e-11,-1.21778
-385.614,1.65833e-11,-1.21462
-384.615,1.68583e-11,-1.21156
-383.616,1.71341e-11,-1.20807
-382.617,1.74235e-11,-1.2052
-381.618,1.77075e-11,-1.2024
-380.619,1.80068e-11,-1.1988
-379.62,1.82945e-11,-1.19564
-378.621,1.86006e-11,-1.19235
-377.622,1.88971e-11,-1.18942
-376.623,1.92122e-11,-1.1864
-375.624,1.95294e-11,-1.1831
-374.625,1.98473e-11,-1.18038
-373.626,2.01742e-11,-1.17704
-372.627,2.04968e-11,-1.17361
-371.628,2.08387e-11,-1.17039
-370.629,2.11742e-11,-1.16778
-369.63,2.15282e-11,-1.16434
-368.631,2.18754e-11,-1.16152
-367.632,2.22337e-11,-1.15829
-366.633,2.2597e-11,-1.15501
-365.634,2.29623e-11,-1.15181
-364.635,2.33206e-11,-1.1485
-363.636,2.37166e-11,-1.14505
-362.637,2.41064e-11,-1.14251
-361.638,2.44997e-11,-1.1393
-360.639,2.48942e-11,-1.13635
-359.64,2.5305e-11,-1.13327
-358.641,2.57137e-11,-1.1298
-357.642,2.6134e-11,-1.1267
-356.643,2.65571e-11,-1.12371
-355.644,2.6954e-11,-1.12057
-354.645,2.74258e-11,-1.11743
-353.646,2.78789e-11,-1.11406
-352.647,2.83389e-11,-1.11115
-351.648,2.87874e-11,-1.10813
-350.649,2.92638e-11,-1.10483
-349.65,2.97399e-11,-1.10172
-348.651,3.02208e-11,-1.09835
-347.652,3.0715e-11,-1.09536
-346.653,3.12139e-11,-1.0923
-345.654,3.17212e-11,-1.08871
-344.655,3.22473e-11,-1.08587
-343.656,3.27619e-11,-1.08254
-342.657,3.33052e-11,-1.07952
-341.658,3.38461e-11,-1.07651
-340.659,3.44019e-11,-1.0734
-339.66,3.49615e-11,-1.07028
-338.661,3.55315e-11,-1.06718
-337.662,3.61212e-11,-1.06385
-336.663,3.67135e-11,-1.06083
-335.664,3.73118e-11,-1.05758
-334.665,3.7927e-11,-1.05454
-333.666,3.85046e-11,-1.05153
-332.667,3.91892e-11,-1.04819
-331.668,3.98298e-11,-1.04513
-330.669,4.04834e-11,-1.04186
-329.67,4.11504e-11,-1.03891
-328.671,4.18336e-11,-1.03587
-327.672,4.25183e-11,-1.03257
-326.673,4.32136e-11,-1.02949
-325.674,4.3953e-11,-1.02627
-324.675,4.46742e-11,-1.02328
-323.676,4.54036e-11,-1.01987
-322.677,4.61594e-11,-1.01687
-321.678,4.69326e-11,-1.01386
-320.679,4.77145e-11,-1.01066
-319.68,4.85009e-11,-1.00771
-318.681,4.93483e-11,-1.0048
-317.682,5.01401e-11,-1.00118
-316.683,5.0982e-11,-0.997964
-315.684,5.18303e-11,-0.994799
-314.685,5.26909e-11,-0.991839
-313.686,5.35786e-11,-0.989014
-312.687,5.44821e-11,-0.985501
-311.688,5.54007e-11,-0.982284
-310.689,5.6335e-11,-0.979286
-309.69,5.72767e-11,-0.976048
-308.691,5.82384e-11,-0.973085
-307.692,5.92296e-11,-0.969805
-306.693,6.023e-11,-0.966524
-305.694,6.1254e-11,-0.963508
-304.695,6.22926e-11,-0.960364
-303.696,6.33548e-11,-0.957206
-302.697,6.44423e-11,-0.954058
-301.698,6.55195e-11,-0.951054
-300.699,6.6641e-11,-0.947813
-299.7,6.77833e-11,-0.944853
-298.701,6.89468e-11,-0.941532
-297.702,7.01299e-11,-0.938394
-296.703,7.13336e-11,-0.935273
-295.704,7.25557e-11,-0.93211
-294.705,7.38123e-11,-0.929047
-293.706,7.50851e-11,-0.925959
-292.707,7.63808e-11,-0.922736
-291.708,7.7706e-11,-0.919603
-290.709,7.90565e-11,-0.91646
-289.71,8.04263e-11,-0.9132
-288.711,8.18327e-11,-0.910121
-287.712,8.32486e-11,-0.906926
-286.713,8.47122e-11,-0.90384
-285.714,8.61972e-11,-0.900748
-284.715,8.77024e-11,-0.897642
-283.716,8.92454e-11,-0.894499
-282.717,9.0835e-11,-0.891727
-281.718,9.24241e-11,-0.888151
-280.719,9.40519e-11,-0.885082
-279.72,9.57166e-11,-0.881954
-278.721,9.74176e-11,-0.878806
-277.722,9.91292e-11,-0.875631
-276.723,1.00918e-10,-0.872522
-275.724,1.02717e-10,-0.869388
-274.725,1.04552e-10,-0.866224
-273.726,1.06435e-10,-0.862995
-272.727,1.08342e-10,-0.859973
-271.728,1.10294e-10,-0.856838
-270.729,1.12276e-10,-0.853657
-269.73,1.14307e-10,-0.850508
-268.731,1.16381e-10,-0.847381
-267.732,1.18502e-10,-0.844236
-266.733,1.2064e-10,-0.841023
-265.734,1.22843e-10,-0.838007
-264.735,1.25088e-10,-0.834982
-263.736,1.27393e-10,-0.831709
-262.737,1.29718e-10,-0.828502
-261.738,1.32122e-10,-0.825487
-260.739,1.34555e-10,-0.822259
-259.74,1.3704e-10,-0.819136
-258.741,1.39582e-10,-0.816029
-257.742,1.42174e-10,-0.812874
-256.743,1.44831e-10,-0.809744
-255.744,1.47535e-10,-0.806547
-254.745,1.50286e-10,-0.803444
-253.746,1.53102e-10,-0.800296
-252.747,1.55994e-10,-0.79719
-251.748,1.58923e-10,-0.794104
-250.749,1.61932e-10,-0.790871
-249.75,1.65007e-10,-0.787752
-248.751,1.68139e-10,-0.784612
-247.752,1.71351e-10,-0.781481
-246.753,1.74625e-10,-0.77831
-245.754,1.77966e-10,-0.775216
-244.755,1.81413e-10,-0.772131
-243.756,1.84886e-10,-0.768933
-242.757,1.88457e-10,-0.765778
-241.758,1.92127e-10,-0.762705
-240.759,1.95842e-10,-0.759516
-239.76,1.99658e-10,-0.756369
-238.761,2.03557e-10,-0.753236
-237.762,2.0752e-10,-0.750026
-236.763,2.11633e-10,-0.746878
-235.764,2.15799e-10,-0.743795
-234.765,2.20062e-10,-0.740653
-233.766,2.24435e-10,-0.737527
-232.767,2.28892e-10,-0.734424
-231.768,2.33461e-10,-0.731268
-230.769,2.38127e-10,-0.728106
-229.77,2.4291e-10,-0.724978
-228.771,2.47798e-10,-0.721842
-227.772,2.52806e-10,-0.718649
-226.773,2.57929e-10,-0.715555
-225.774,2.63178e-10,-0.71243
-224.775,2.68534e-10,-0.709251
-223.776,2.74027e-10,-0.70611
-222.777,2.7965e-10,-0.703005
-221.778,2.85403e-10,-0.699888
-220.779,2.91276e-10,-0.696755
-219.78,2.97339e-10,-0.693614
-218.781,3.03526e-10,-0.690461
-217.782,3.09817e-10,-0.68748
-216.783,3.16362e-10,-0.684165
-215.784,3.23022e-10,-0.680955
-214.785,3.2975e-10,-0.678001
-213.786,3.36777e-10,-0.67477
-212.787,3.43936e-10,-0.67163
-211.788,3.51262e-10,-0.668481
-210.789,3.5877e-10,-0.665354
-209.79,3.66449e-10,-0.662236
-208.791,3.74375e-10,-0.659073
-207.792,3.8246e-10,-0.655935
-206.793,3.90766e-10,-0.652794
-205.794,3.99288e-10,-0.649675
-204.795,4.08011e-10,-0.646525
-203.796,4.16967e-10,-0.643385
-202.797,4.26162e-10,-0.64026
-201.798,4.35577e-10,-0.637104
-200.799,4.45251e-10,-0.633971
-199.8,4.55173e-10,-0.630824
-198.801,4.65363e-10,-0.627684
-197.802,4.75818e-10,-0.624553
-196.803,4.86548e-10,-0.621417
-195.804,4.9757e-10,-0.618269
-194.805,5.08884e-10,-0.615133
-193.806,5.20511e-10,-0.611997
-192.807,5.32437e-10,-0.60883
-191.808,5.44709e-10,-0.60571
-190.809,5.57302e-10,-0.602588
-189.81,5.70242e-10,-0.599437
-188.811,5.83546e-10,-0.596306
-187.812,5.97211e-10,-0.593174
-186.813,6.11262e-10,-0.590037
-185.814,6.25708e-10,-0.586888
-184.815,6.40537e-10,-0.583819
-183.816,6.55826e-10,-0.58062
-182.817,6.71529e-10,-0.577472
-181.818,6.87685e-10,-0.574328
-180.819,7.043e-10,-0.5712
-179.82,7.21394e-10,-0.568068
-178.821,7.38993e-10,-0.56492
-177.822,7.57094e-10,-0.561793
-176.823,7.75734e-10,-0.558641
-175.824,7.94921e-10,-0.55551
-174.825,8.14682e-10,-0.552374
-173.826,8.35025e-10,-0.549221
-172.827,8.55974e-10,-0.546092
-171.828,8.77562e-10,-0.542948
-170.829,8.99805e-10,-0.53981
-169.83,9.22709e-10,-0.536679
-168.831,9.46331e-10,-0.53354
-167.832,9.70688e-10,-0.530398
-166.833,9.95791e-10,-0.527253
-165.834,1.02167e-09,-0.524124
-164.835,1.04837e-09,-0.520982
-163.836,1.0759e-09,-0.517842
-162.837,1.10431e-09,-0.514704
-161.838,1.13363e-09,-0.511571
-160.839,1.16387e-09,-0.508427
-159.84,1.1951e-09,-0.505294
-158.841,1.22735e-09,-0.502148
-157.842,1.26062e-09,-0.498998
-156.843,1.29501e-09,-0.495881
-155.844,1.33056e-09,-0.492739
-154.845,1.36725e-09,-0.489595
-153.846,1.40519e-09,-0.486459
-152.847,1.44439e-09,-0.483304
-151.848,1.48494e-09,-0.480183
-150.849,1.52686e-09,-0.477043
-149.85,1.57021e-09,-0.4739
-148.851,1.61507e-09,-0.47077
-147.852,1.66148e-09,-0.467632
-146.853,1.70951e-09,-0.464491
-145.854,1.75923e-09,-0.461348
-144.855,1.81071e-09,-0.458215
-143.856,1.86404e-09,-0.455077
-142.857,1.91927e-09,-0.451937
-141.858,1.9765e-09,-0.448795
-140.859,2.03581e-09,-0.445663
-139.86,2.09729e-09,-0.442526
-138.861,2.16105e-09,-0.439388
-137.862,2.22718e-09,-0.43624
-136.863,2.29577e-09,-0.433108
-135.864,2.36695e-09,-0.429968
-134.865,2.44083e-09,-0.426829
-133.866,2.51756e-09,-0.423682
-132.867,2.5972e-09,-0.420552
-131.868,2.67995e-09,-0.417414
-130.869,2.76592e-09,-0.414276
-129.87,2.85529e-09,-0.411138
-128.871,2.94819e-09,-0.407999
-127.872,3.04482e-09,-0.404853
-126.873,3.14532e-09,-0.401722
