Frequency,Magnitude,Phase
-500,0.00272328,-1.43565e-07
-499.99,0.00272328,3.14441e-05
-499.98,0.00272328,6.32997e-05
-499.97,0.00272327,9.42639e-05
-499.96,0.00272328,0.000125741
-499.95,0.00272328,0.000157377
-499.94,0.00272328,0.000188666
-499.93,0.00272328,0.000220229
-499.92,0.00272328,0.000251485
-499.91,0.00272328,0.000283124
-499.9,0.00272328,0.000314845
-499.89,0.00272328,0.000345945
-499.88,0.00272328,0.000377914
-499.87,0.00272328,0.000408671
-499.86,0.00272328,0.000440313
-499.85,0.00272328,0.000470795
-499.84,0.00272328,0.000503123
-499.83,0.00272328,0.000534351
-499.82,0.00272328,0.000565955
-499.81,0.00272328,0.000597386
-499.8,0.00272328,0.000628654
-499.79,0.00272328,0.000660362
-499.78,0.00272328,0.000691763
-499.77,0.00272328,0.00072331
-499.76,0.00272328,0.00075455
-499.75,0.00272327,0.000787885
-499.74,0.00272328,0.000817505
-499.73,0.00272328,0.000849054
-499.72,0.00272328,0.0008805
-499.71,0.00272328,0.000911996
-499.7,0.00272328,0.000943432
-499.69,0.00272328,0.000974746
-499.68,0.00272328,0.0010063
-499.67,0.00272327,0.00103911
-499.66,0.00272328,0.00106907
-499.65,0.00272328,0.0011005
-499.64,0.00272328,0.00113212
-499.63,0.00272328,0.0011637
-499.62,0.00272328,0.001195
-499.61,0.00272328,0.00122638
-499.6,0.00272328,0.00125775
-499.59,0.00272328,0.00128926
-499.58,0.00272328,0.00132068
-499.57,0.00272328,0.00135219
-499.56,0.00272328,0.00138329
-499.55,0.00272328,0.00141504
-499.54,0.00272328,0.00144643
-499.53,0.00272328,0.00147791
-499.52,0.00272328,0.00150949
-499.51,0.00272328,0.00154068
-499.5,0.00272328,0.00157228
-499.49,0.00272328,0.00160372
-499.48,0.00272328,0.00163525
-499.47,0.00272328,0.00166658
-499.46,0.00272328,0.00169701
-499.45,0.00272328,0.00172952
-499.44,0.00272328,0.00176093
-499.43,0.00272328,0.00179239
-499.42,0.00272328,0.00182384
-499.41,0.00272328,0.00185532
-499.4,0.00272328,0.00188685
-499.39,0.00272328,0.0019181
-499.38,0.00272328,0.00194963
-499.37,0.00272328,0.001981
-499.36,0.00272328,0.00201251
-499.35,0.00272328,0.002044
-499.34,0.00272328,0.00207542
-499.33,0.00272328,0.00210687
-499.32,0.00272328,0.00213823
-499.31,0.00272328,0.00216977
-499.3,0.00272328,0.0022011
-499.29,0.00272328,0.00223295
