Frequency,Magnitude,Phase
-500,1.16272e-11,-1.56396
-499.98,1.85877e-11,2.32239
-499.96,5.12329e-12,-0.598371
-499.94,5.32003e-11,2.81618
-499.92,3.4372e-11,3.00068
-499.9,4.92339e-11,1.20299
-499.88,1.7108e-11,-1.47752
-499.86,3.48763e-11,1.36033
-499.84,9.24737e-12,0.0329482
-499.82,4.78443e-11,-0.105579
-499.8,1.01717e-11,-3.02957
-499.78,4.70397e-11,2.08281
-499.76,6.27968e-11,-1.85686
-499.74,6.36793e-12,1.72654
-499.72,1.36383e-11,1.21096
-499.7,1.20768e-10,-0.0418671
-499.68,1.84583e-11,-2.78174
-499.66,1.28503e-10,-2.57871
-499.64,2.801e-11,0.772869
-499.62,5.06622e-11,1.14035
-499.6,5.84256e-11,-1.25243
-499.58,2.02195e-11,1.23205
-499.56,2.45492e-11,0.598948
-499.54,6.37502e-11,-1.87363
-499.52,3.50793e-11,2.36398
-499.5,7.49155e-11,-2.17288
-499.48,7.1718e-11,1.02313
-499.46,5.2549e-10,-1.27157
-499.44,8.90595e-11,3.11907
-499.42,3.61796e-11,-2.52241
-499.4,3.15201e-10,-2.53682
-499.38,5.88288e-11,-0.265694
-499.36,7.61926e-11,-1.68558
-499.34,4.63007e-11,-0.749232
-499.32,8.60198e-12,-1.43189
-499.3,1.6016e-10,0.847459
-499.28,5.14738e-11,-1.58264
-499.26,3.76599e-11,2.70236
-499.24,6.28115e-11,2.73882
-499.22,4.43708e-11,-1.47179
-499.2,4.00135e-12,-2.1933
-499.18,4.33476e-11,-3.02927
-499.16,9.65447e-11,-2.16959
-499.14,2.92581e-11,-2.56357
-499.12,2.7535e-11,-0.481684
-499.1,5.32226e-11,-1.64761
-499.08,9.59164e-11,2.70038
-499.06,8.48704e-11,-0.969581
-499.04,1.48709e-11,1.41617
-499.02,6.57132e-11,1.79161
-499,3.57762e-11,1.15489
-498.98,1.12646e-11,1.49995
-498.96,9.767e-11,-2.24362
-498.94,7.84065e-12,-1.28704
-498.92,1.5639e-10,2.16689
-498.9,6.58905e-11,1.22479
-498.88,2.07203e-11,-0.0125399
-498.86,7.34749e-11,-2.06203
-498.84,5.6325e-11,-2.10913
-498.82,1.30424e-10,-3.02011
-498.8,4.80279e-11,-1.50474
-498.78,1.82907e-11,-2.00333
-498.76,1.3458e-10,1.67524
-498.74,6.83861e-11,-1.72557
-498.72,5.71309e-10,-0.673743
-498.7,8.76201e-10,0.565901
-498.68,2.44255e-11,-1.04929
-498.66,1.22104e-10,-2.85594
-498.64,9.20276e-11,-2.74015
-498.62,1.0139e-10,1.35637
-498.6,2.00425e-11,1.99953
-498.58,3.49153e-11,-0.57744
-498.56,9.32617e-11,0.836198
-498.54,1.79801e-11,-2.55066
-498.52,4.08082e-10,-0.603164
-498.5,3.53086e-10,-0.334946
-498.48,2.9884e-11,1.21153
-498.46,4.47441e-11,-0.616312
-498.44,1.95037e-11,-0.610517
-498.42,8.28967e-10,-2.145
-498.4,8.21824e-11,0.774999
-498.38,7.67816e-11,-0.585417
-498.36,9.60174e-11,0.296134
-498.34,7.59906e-11,1.64761
-498.32,3.7267e-10,-2.5476
-498.3,4.77031e-11,-0.965398
-498.28,9.35078e-11,-2.54926
-498.26,2.70506e-11,-0.757037
-498.24,5.96898e-11,-0.175141
-498.22,6.54587e-11,1.64416
-498.2,3.92177e-10,-1.53258
-498.18,3.17911e-11,2.14031
-498.16,4.15382e-10,2.30685
-498.14,4.45821e-11,0.0346083
-498.12,4.71323e-11,-2.65303
-498.1,8.95835e-11,1.70847
-498.08,2.96836e-10,0.143969
-498.06,6.03986e-11,-2.05483
-498.04,7.10218e-11,0.770029
-498.02,6.50948e-12,-1.78451
-498,7.24754e-11,2.58578
-497.98,5.91098e-11,-0.245268
-497.96,9.77233e-10,1.83372
-497.94,1.91117e-11,1.82482
-497.92,1.84086e-10,-0.984081
-497.9,2.63386e-11,-2.10593
-497.88,1.78817e-11,-1.32506
-497.86,4.21505e-11,-2.2536
-497.84,2.48876e-11,-2.55859
-497.82,3.19307e-11,-3.02999
-497.8,3.53009e-10,-0.363334
-497.78,5.61598e-11,-0.0849254
-497.76,5.0588e-11,-1.55787
-497.74,4.52017e-11,-1.41125
-497.72,2.06457e-11,1.32819
-497.7,1.36788e-10,-2.58402
-497.68,8.30663e-12,2.45906
-497.66,9.18431e-11,0.549791
-497.64,1.18466e-11,0.303584
-497.62,3.19862e-11,-0.375787
-497.6,1.31094e-10,1.79055
-497.58,3.03911e-09,1.95218
-497.56,4.36146e-11,0.0104711
-497.54,3.56246e-09,-1.59425
-497.52,8.33123e-11,3.01308
-497.5,3.98641e-11,2.47043
-497.48,7.13564e-11,-0.694841
-497.46,2.95016e-11,1.5307
-497.44,7.56998e-11,0.404947
-497.42,2.53475e-11,-1.9463
-497.4,3.4908e-11,1.8305
-497.38,5.63516e-11,-0.793361
-497.36,6.30966e-11,0.223198
