Frequency,Magnitude,Phase
-500,4.40348e-11,1.56946
-499.99,4.94551e-11,1.88917
-499.98,1.4042e-10,-2.75346
-499.97,4.82572e-11,-2.21838
-499.96,3.03183e-11,-0.867599
-499.95,1.64377e-10,1.32129
-499.94,1.01578e-11,-1.81001
-499.93,1.57459e-10,2.86449
-499.92,4.88556e-11,1.69453
-499.91,1.29741e-10,-0.075521
-499.9,2.37893e-10,-2.75842
-499.89,6.56849e-11,2.26295
-499.88,1.87604e-10,1.96735
-499.87,7.38581e-11,-0.841768
-499.86,2.09732e-11,0.313411
-499.85,2.7592e-10,-2.44682
-499.84,1.43035e-11,2.1889
-499.83,1.68315e-11,2.49118
-499.82,2.30942e-10,1.81346
-499.81,8.21703e-11,-2.80653
-499.8,7.68282e-12,-0.859156
-499.79,3.42462e-11,-1.84402
-499.78,5.03273e-11,2.65582
-499.77,4.70594e-11,2.16448
-499.76,7.26307e-11,2.8868
-499.75,1.05747e-09,-0.923828
-499.74,1.8977e-10,1.17256
-499.73,7.28149e-11,2.44278
-499.72,1.24557e-10,2.90917
-499.71,1.97474e-11,-2.64498
-499.7,2.07756e-10,2.42326
-499.69,1.50362e-11,0.950245
-499.68,4.14295e-11,1.98529
-499.67,1.65399e-11,-2.30629
-499.66,1.12543e-10,0.296358
-499.65,1.06823e-10,0.658761
-499.64,6.57218e-11,-0.00380405
-499.63,5.3131e-10,0.255392
-499.62,1.15738e-10,1.51154
-499.61,9.96416e-11,-2.1676
-499.6,3.79523e-11,2.04842
-499.59,3.54877e-11,1.56369
-499.58,4.10077e-11,0.26486
-499.57,2.38332e-11,-0.0899132
-499.56,8.53061e-11,-2.2261
-499.55,8.66668e-11,2.6705
-499.54,1.71964e-11,0.293704
-499.53,6.33595e-11,-1.88177
-499.52,1.04195e-10,1.59534
-499.51,1.14979e-10,-1.62562
-499.5,3.28044e-11,0.677974
-499.49,4.48906e-11,2.86791
-499.48,7.19495e-11,1.96086
-499.47,2.18228e-11,0.400242
-499.46,1.0373e-09,-1.49925
-499.45,6.63704e-11,-1.32259
-499.44,4.83828e-11,-2.54624
-499.43,5.41789e-11,0.355137
-499.42,1.09959e-10,2.74949
-499.41,2.85187e-11,-2.35014
-499.4,1.37126e-10,0.498877
-499.39,1.40708e-11,-1.99164
-499.38,2.48984e-11,-2.79686
-499.37,8.48e-11,1.68532
-499.36,3.87181e-11,-2.01573
-499.35,1.04525e-10,1.62268
-499.34,3.90193e-10,2.06077
-499.33,7.55717e-11,-2.96352
-499.32,3.99054e-11,-0.76307
-499.31,1.34316e-11,-1.66563
-499.3,7.80834e-11,-2.63262
-499.29,2.65094e-10,0.270658
-499.28,1.75089e-10,2.88782
-499.27,1.36838e-10,-1.07329
-499.26,3.39861e-11,1.67726
-499.25,2.17688e-10,-1.0393
-499.24,1.89422e-10,2.73145
-499.23,6.80807e-11,0.394336
-499.22,8.01123e-11,0.0545311
-499.21,1.03153e-10,1.34354
-499.2,1.19022e-11,0.0162251
-499.19,4.14758e-11,-2.28908
