Frequency,Magnitude,Phase
-500,1.28588e-09,0.019746
-499.99,9.37119e-10,1.36721
-499.98,5.9743e-10,-2.20834
-499.97,5.65311e-11,0.418277
-499.96,5.31414e-10,-0.326027
-499.95,7.86067e-10,1.4898
-499.94,1.02512e-09,3.11479
-499.93,3.04552e-10,1.89665
-499.92,4.58842e-10,2.3222
-499.91,7.61022e-10,0.0464966
-499.9,1.19042e-09,1.33913
-499.89,5.04965e-10,-3.08901
-499.88,4.04869e-10,1.19623
-499.87,8.07132e-10,-0.438468
-499.86,2.62031e-10,2.37423
-499.85,2.1031e-09,-1.94301
-499.84,2.32785e-10,-1.94
-499.83,4.14804e-10,2.98305
-499.82,3.87986e-10,0.731621
-499.81,7.09419e-10,1.89944
-499.8,1.30767e-09,3.06491
-499.79,2.18606e-10,-1.23024
-499.78,1.24116e-09,1.81344
-499.77,5.55596e-10,2.18644
-499.76,4.2941e-10,-2.14001
-499.75,6.05295e-09,-0.125052
-499.74,4.88678e-10,1.72113
-499.73,2.2316e-09,-0.922128
-499.72,1.17979e-09,-2.98234
-499.71,1.14535e-09,1.64479
-499.7,5.24282e-10,-2.959
-499.69,5.45108e-10,1.93809
-499.68,5.18079e-10,0.789515
-499.67,1.03247e-08,-0.170794
-499.66,3.12681e-10,-0.449834
-499.65,2.59149e-10,-1.51633
-499.64,1.63098e-10,0.847584
-499.63,4.00254e-09,0.58282
-499.62,6.31688e-10,-1.79557
-499.61,4.18685e-09,1.26761
-499.6,1.63644e-09,-1.48736
-499.59,7.44636e-10,1.80854
-499.58,8.24559e-11,2.3749
-499.57,3.31442e-10,2.40911
-499.56,2.41787e-10,-3.03591
-499.55,5.35951e-10,2.91009
-499.54,5.57879e-10,-2.21017
-499.53,8.65322e-10,0.582184
-499.52,8.76224e-10,1.38272
-499.51,2.16501e-09,-1.60295
-499.5,1.73054e-10,0.443456
-499.49,3.62467e-10,2.55776
-499.48,6.57094e-10,0.366411
-499.47,5.2796e-10,0.617069
-499.46,3.22642e-09,-1.20527
-499.45,6.60007e-10,-0.0164943
-499.44,2.76221e-10,0.415029
-499.43,3.08456e-10,0.348919
-499.42,8.52334e-09,-1.00738
-499.41,1.57364e-10,2.49599
-499.4,6.63536e-11,-0.312304
-499.39,5.05745e-09,-0.858174
-499.38,1.34598e-10,0.377974
-499.37,2.58507e-10,-0.469913
-499.36,2.2455e-10,-0.555907
-499.35,9.84071e-10,1.08918
-499.34,5.52422e-10,0.757044
-499.33,1.80623e-10,-2.49762
-499.32,3.22881e-10,-2.15254
-499.31,9.08296e-11,-2.74515
-499.3,8.10542e-10,2.45165
-499.29,1.64533e-09,-0.449606
-499.28,9.564e-10,-2.14513
-499.27,2.44828e-10,-1.85488
-499.26,3.2804e-10,-2.43299
-499.25,1.86e-09,-1.85254
-499.24,1.37038e-09,1.73392
-499.23,8.70391e-10,0.743477
-499.22,1.26868e-09,2.27905
-499.21,8.31716e-10,2.78806
-499.2,2.20089e-09,1.96139
-499.19,5.97609e-10,0.275175
-499.18,9.85088e-11,-1.71505
-499.17,8.21871e-10,0.308045
-499.16,4.45233e-10,1.7784
-499.15,8.33768e-10,-2.57005
-499.14,6.68898e-10,1.60764
-499.13,5.62671e-10,-2.91881
-499.12,2.08637e-10,-2.69412
-499.11,5.09773e-10,-0.265472
-499.1,3.82537e-10,-0.857571
-499.09,3.74561e-09,2.75283
-499.08,5.79499e-10,-0.531832
-499.07,2.93709e-10,-2.36558
-499.06,4.72945e-10,-0.29148
-499.05,2.37425e-10,2.03471
-499.04,4.94232e-10,0.96597
-499.03,5.20874e-10,-2.1791
-499.02,1.13074e-09,-2.90055
-499.01,5.7678e-10,-1.94981
-499,7.26694e-10,-0.269047
-498.99,5.07442e-10,-2.88418
-498.98,6.48101e-10,1.51954
-498.97,5.38121e-10,1.23775
-498.96,1.11871e-09,-2.53075
-498.95,2.74776e-10,-1.13434
-498.94,1.80208e-09,-0.809148
-498.93,5.76912e-10,-2.68404
-498.92,5.28366e-10,1.60313
-498.91,4.53188e-09,3.00254
-498.9,4.55676e-10,-1.78952
-498.89,4.42198e-10,1.82296
-498.88,4.26427e-09,1.5418
-498.87,6.83308e-10,0.174947
-498.86,2.58382e-10,-1.45503
-498.85,1.52429e-10,0.431726
-498.84,4.08597e-10,2.32769
-498.83,3.78728e-10,-0.92728
-498.82,5.47166e-10,-2.11257
-498.81,1.56023e-08,2.5241
-498.8,4.75341e-10,0.63526
-498.79,2.37561e-10,-1.11691
-498.78,6.32713e-10,2.57057
-498.77,9.60377e-10,1.14313
-498.76,2.39171e-10,1.84759
-498.75,4.28456e-10,0.511729
-498.74,2.45293e-09,-0.647523
-498.73,9.35453e-10,0.0383004
-498.72,9.49838e-10,2.27484
-498.71,5.61949e-10,1.1561
-498.7,1.5156e-09,0.912956
-498.69,6.74198e-10,-2.9087
-498.68,1.24929e-09,-2.44268
-498.67,8.07823e-10,0.359726
-498.66,1.09473e-09,2.55795
-498.65,4.06213e-10,2.71296
-498.64,2.13856e-10,1.76448
-498.63,1.67671e-09,1.37801
-498.62,6.1949e-11,2.65543
-498.61,4.47683e-10,-2.22207
-498.6,5.07901e-10,2.39981
-498.59,9.92191e-10,0.0207655
-498.58,8.56476e-10,-1.92144
-498.57,3.29399e-10,-2.39681
-498.56,8.4528e-10,-2.50385
-498.55,1.61093e-09,1.75573
-498.54,6.04911e-10,-1.65546
-498.53,2.66168e-10,0.791699
-498.52,1.41645e-09,0.714668
-498.51,1.79998e-09,-1.50553
-498.5,5.75886e-10,0.905073
-498.49,3.33891e-10,-0.182549
-498.48,9.24674e-10,-0.424024
-498.47,1.38455e-09,0.489399
-498.46,4.20118e-10,-1.22649
-498.45,3.33107e-11,0.670358
-498.44,2.46406e-10,-2.56468
-498.43,1.81716e-09,-1.05924
-498.42,2.41372e-09,3.00693
-498.41,1.86747e-09,1.06793
-498.4,6.33808e-10,1.73286
-498.39,1.31412e-10,-0.60957
-498.38,1.42955e-09,-0.562328
-498.37,3.33444e-10,2.84478
-498.36,1.88819e-10,1.51703
-498.35,3.7402e-10,2.90527
-498.34,4.25669e-09,0.176817
-498.33,3.80334e-10,-3.08463
-498.32,4.7406e-10,1.38803
-498.31,4.09009e-10,-0.674065
-498.3,2.03686e-10,2.28897
-498.29,8.84764e-10,1.25291
-498.28,4.99911e-10,1.50094
-498.27,7.31582e-10,-2.64528
-498.26,1.30544e-10,2.81187
-498.25,3.98807e-10,0.609747
-498.24,5.97281e-10,0.625628
-498.23,5.58621e-10,-0.00265617
-498.22,3.93099e-10,-2.27232
-498.21,9.5267e-11,2.958
-498.2,1.27275e-09,2.64523
-498.19,4.70207e-10,1.4489
-498.18,1.05902e-09,-0.464724
-498.17,1.08357e-09,0.342799
-498.16,7.74703e-10,2.77391
-498.15,2.04532e-09,0.687908
-498.14,8.6209e-11,-1.44381
-498.13,5.58406e-11,-1.50339
-498.12,8.77916e-11,2.39918
-498.11,5.95473e-10,-1.38118
-498.1,8.00223e-10,-1.94239
-498.09,2.12159e-10,-3.12967
-498.08,5.42714e-10,-0.850904
-498.07,3.66756e-10,1.93307
-498.06,5.76876e-10,1.87952
-498.05,1.23999e-09,1.50462
-498.04,9.49007e-10,-1.23887
-498.03,1.21287e-09,1.52487
-498.02,4.18891e-10,0.721106
-498.01,9.97174e-10,-1.46397
-498,2.49361e-10,2.11248
-497.99,2.07459e-10,1.66849
-497.98,3.46492e-10,2.5102
-497.97,1.11959e-10,-2.90797
-497.96,9.53206e-10,2.78608
-497.95,1.16071e-09,1.18557
-497.94,5.30766e-10,0.383513
-497.93,1.15189e-09,1.12472
-497.92,1.17781e-09,0.12211
-497.91,1.04161e-09,-1.20893
-497.9,7.99084e-10,-2.62966
-497.89,8.38888e-10,1.97257
-497.88,5.85378e-10,-0.59207
