Frequency,Magnitude,Phase
-500,1.76294e-11,1.50775
-499.99,1.53257e-10,1.91317
-499.98,3.29526e-10,1.65369
-499.97,3.66149e-10,3.05421
-499.96,1.31262e-10,-0.441282
-499.95,1.89428e-10,1.83239
-499.94,2.58043e-10,1.21917
-499.93,2.48064e-10,2.65043
-499.92,7.97013e-11,-2.1386
-499.91,8.97338e-11,1.70157
-499.9,2.00038e-10,3.04688
-499.89,3.92893e-11,2.10809
-499.88,1.59842e-10,1.87645
-499.87,1.60766e-10,3.14159
-499.86,1.06786e-10,0.456447
-499.85,3.2188e-10,-2.2131
-499.84,1.22051e-10,2.66521
-499.83,1.30107e-10,0.0838325
-499.82,1.57301e-10,-2.64457
-499.81,2.02433e-11,-1.14888
-499.8,5.91132e-11,-2.53103
-499.79,1.20502e-10,2.32218
-499.78,5.48534e-11,1.00428
-499.77,9.72391e-10,2.03498
-499.76,1.7401e-10,-1.24664
-499.75,1.09444e-09,1.58798
-499.74,1.51834e-10,1.50687
-499.73,1.66669e-10,-1.75624
-499.72,9.81197e-11,-0.464393
-499.71,9.13784e-11,-1.92091
-499.7,2.02379e-10,2.17888
-499.69,1.12899e-10,2.1875
-499.68,3.68542e-11,1.71536
-499.67,1.46084e-10,3.07517
-499.66,1.21055e-10,0.18868
-499.65,1.05797e-10,-2.99522
-499.64,7.71188e-11,1.33741
-499.63,3.80627e-10,-0.363523
-499.62,1.68153e-10,-0.133494
-499.61,4.48215e-11,-2.35646
-499.6,5.4973e-11,2.26613
-499.59,9.78565e-11,1.18486
-499.58,2.10242e-10,-0.0451756
-499.57,5.62236e-11,-3.0883
-499.56,6.74506e-11,-0.986528
-499.55,1.76163e-10,2.37419
-499.54,1.77927e-11,-3.00396
-499.53,6.75383e-11,2.70127
-499.52,1.05211e-10,1.72723
-499.51,1.37311e-10,-2.32121
-499.5,9.14375e-10,0.167021
-499.49,1.91539e-10,-0.125482
-499.48,2.73558e-10,1.8217
-499.47,2.86579e-11,-0.726771
-499.46,1.01743e-09,-1.53331
-499.45,6.18028e-11,-0.536871
-499.44,1.06151e-10,-2.73223
-499.43,7.27196e-11,0.577875
-499.42,3.57949e-11,1.20895
-499.41,3.15481e-11,3.06878
-499.4,5.80378e-11,-2.26865
-499.39,1.18641e-10,-2.87649
-499.38,6.92517e-11,1.69172
-499.37,4.50173e-11,1.70301
-499.36,1.85301e-10,-0.551946
-499.35,1.4329e-10,2.23908
-499.34,4.10474e-10,-1.16326
-499.33,1.03564e-10,0.51906
-499.32,3.95264e-11,-0.254985
-499.31,5.44893e-11,2.44554
-499.3,7.20282e-11,-1.8513
-499.29,6.97826e-10,1.87702
-499.28,1.22072e-10,2.15178
-499.27,9.59646e-11,-0.848159
-499.26,6.46098e-11,-2.29364
-499.25,2.72943e-10,2.23616
-499.24,9.32041e-10,2.1663
-499.23,8.83978e-11,-1.01162
-499.22,5.96749e-11,2.82362
-499.21,2.60401e-10,0.875058
-499.2,1.77773e-11,2.39927
-499.19,8.22717e-11,-1.5665
-499.18,5.76478e-11,2.99904
-499.17,4.27835e-11,2.10329
-499.16,1.36871e-10,-1.78076
-499.15,1.96536e-10,-0.259297
-499.14,4.00604e-11,-1.95975
-499.13,4.12963e-11,1.81605
-499.12,2.91258e-10,2.33232
-499.11,4.73529e-11,0.262327
-499.1,4.47437e-10,0.385514
-499.09,1.15149e-09,-0.395014
-499.08,2.0476e-10,2.64913
-499.07,9.58982e-11,1.82956
-499.06,1.31941e-10,0.529845
-499.05,1.88964e-10,-1.33567
-499.04,7.15265e-10,-0.630534
-499.03,2.84286e-10,-1.91108
-499.02,1.77042e-10,2.83102
-499.01,8.1258e-11,-0.635585
-499,6.08776e-11,0.378917
-498.99,8.24203e-10,0.916163
-498.98,2.5675e-10,1.27232
-498.97,8.5695e-11,-0.00085446
-498.96,2.57998e-10,1.51227
-498.95,2.08307e-10,2.43495
-498.94,8.7159e-12,1.5669
-498.93,1.76827e-10,2.636
-498.92,9.43035e-10,-1.11234
-498.91,1.59172e-10,-0.541305
-498.9,8.8885e-11,1.21946
-498.89,5.84099e-11,-2.97555
-498.88,1.53267e-11,-0.313641
-498.87,4.75383e-10,-2.68748
-498.86,4.77163e-11,-0.417418
-498.85,1.69852e-11,0.126733
-498.84,5.13884e-11,1.47178
-498.83,9.06478e-11,2.73126
-498.82,8.81032e-11,-3.09787
-498.81,9.20503e-10,-2.85528
-498.8,4.95908e-11,2.52557
-498.79,2.0927e-10,-0.800668
-498.78,1.3302e-10,0.22965
-498.77,2.00067e-10,3.03181
-498.76,1.639e-10,3.09087
-498.75,8.66492e-11,1.07186
-498.74,1.73362e-10,-0.718563
-498.73,1.42047e-10,-1.24951
-498.72,4.64927e-10,1.55971
-498.71,2.67135e-10,1.58637
-498.7,1.38982e-10,-2.0962
-498.69,1.38585e-09,2.26706
-498.68,3.27141e-10,-0.181967
-498.67,2.02309e-10,-1.14149
-498.66,1.77419e-10,-2.27341
-498.65,7.62647e-11,0.58661
-498.64,9.3335e-11,-0.685182
-498.63,5.14598e-10,2.23264
-498.62,8.86571e-11,-0.87937
-498.61,3.22122e-11,0.157338
-498.6,8.43193e-11,0.165432
-498.59,1.12805e-10,0.475031
-498.58,3.24097e-11,-0.66301
-498.57,6.50427e-11,-2.37344
-498.56,6.83493e-11,-0.3916
-498.55,5.84207e-10,1.84109
-498.54,3.10736e-11,-1.37308
-498.53,1.1553e-10,-0.66939
-498.52,4.78694e-10,-2.73515
-498.51,2.84288e-10,1.09244
-498.5,1.34595e-10,-2.3153
-498.49,2.83836e-10,-1.41789
-498.48,1.03236e-10,0.991092
-498.47,2.32968e-10,0.145972
-498.46,5.63352e-11,2.12553
-498.45,2.08734e-11,-2.79116
-498.44,4.9597e-11,0.682832
-498.43,6.22174e-11,-0.710605
-498.42,4.75645e-10,2.58521
-498.41,1.426e-10,-0.346488
-498.4,6.80516e-11,-1.04728
-498.39,1.09303e-10,-0.532773
-498.38,1.21487e-11,-0.273795
-498.37,1.12967e-10,-3.00273
-498.36,3.00713e-10,-0.336444
-498.35,1.33034e-10,2.90223
-498.34,1.21258e-09,-2.66653
-498.33,2.47661e-10,-1.10421
-498.32,1.21318e-10,-0.536168
-498.31,1.16121e-10,1.12715
-498.3,2.05529e-10,2.40354
-498.29,3.79663e-10,2.37913
-498.28,1.02126e-10,1.17453
-498.27,3.3437e-11,-2.33604
-498.26,5.32221e-11,2.67211
-498.25,1.27756e-10,-2.88902
-498.24,3.16776e-09,-1.31593
-498.23,6.27976e-11,-2.17668
-498.22,3.81453e-11,1.86272
-498.21,1.00139e-10,0.476005
-498.2,4.70272e-10,-2.277
-498.19,1.0831e-10,0.843743
-498.18,2.89933e-11,1.53329
-498.17,7.24613e-10,0.92057
-498.16,1.88839e-09,1.93627
-498.15,1.61606e-10,2.8666
-498.14,2.08879e-11,1.5142
-498.13,6.42366e-11,-0.990675
-498.12,7.56961e-11,1.35773
-498.11,2.17107e-10,1.0206
-498.1,1.99183e-10,-2.00634
-498.09,1.43721e-10,-1.62165
-498.08,1.23903e-09,-0.543141
-498.07,9.41673e-12,0.614152
-498.06,7.69116e-11,0.955214
-498.05,5.95152e-11,0.233491
-498.04,1.29758e-10,-2.26715
-498.03,5.03508e-11,2.74199
-498.02,2.22995e-11,-0.905326
-498.01,1.15831e-10,2.88622
-498,2.46663e-10,-1.98614
-497.99,1.54853e-10,2.1355
-497.98,2.09556e-10,-2.93339
