index,time,amplitude
0,0,1
1,0.001,0.809017
2,0.002,0.309017
3,0.003,-0.309017
4,0.004,-0.809017
5,0.005,-1
6,0.006,-0.809017
7,0.007,-0.309017
8,0.008,0.309017
9,0.009,0.809017
10,0.01,1
11,0.011,0.809017
12,0.012,0.309017
13,0.013,-0.309017
14,0.014,-0.809017
15,0.015,-1
16,0.016,-0.809017
17,0.017,-0.309017
18,0.018,0.309017
19,0.019,0.809017
20,0.02,1
21,0.021,0.809017
22,0.022,0.309017
23,0.023,-0.309017
24,0.024,-0.809017
25,0.025,-1
26,0.026,-0.809017
27,0.027,-0.309017
28,0.028,0.309017
29,0.029,0.809017
30,0.03,1
31,0.031,0.809017
32,0.032,0.309017
33,0.033,-0.309017
34,0.034,-0.809017
35,0.035,-1
36,0.036,-0.809017
37,0.037,-0.309017
38,0.038,0.309017
39,0.039,0.809017
40,0.04,1
41,0.041,0.809017
42,0.042,0.309017
43,0.043,-0.309017
44,0.044,-0.809017
45,0.045,-1
46,0.046,-0.809017
47,0.047,-0.309017
48,0.048,0.309017
49,0.049,0.809017
50,0.05,1
51,0.051,0.809017
52,0.052,0.309017
53,0.053,-0.309017
54,0.054,-0.809017
55,0.055,-1
56,0.056,-0.809017
57,0.057,-0.309017
58,0.058,0.309017
59,0.059,0.809017
60,0.06,1
61,0.061,0.809017
62,0.062,0.309017
63,0.063,-0.309017
64,0.064,-0.809017
65,0.065,-1
66,0.066,-0.809017
67,0.067,-0.309017
68,0.068,0.309017
69,0.069,0.809017
70,0.07,1
71,0.071,0.809017
72,0.072,0.309017
73,0.073,-0.309017
74,0.074,-0.809017
75,0.075,-1
76,0.076,-0.809017
77,0.077,-0.309017
78,0.078,0.309017
79,0.079,0.809017
80,0.08,1
81,0.081,0.809017
82,0.082,0.309017
83,0.083,-0.309017
84,0.084,-0.809017
85,0.085,-1
86,0.086,-0.809017
87,0.087,-0.309017
88,0.088,0.309017
89,0.089,0.809017
90,0.09,1
91,0.091,0.809017
92,0.092,0.309017
93,0.093,-0.309017
94,0.094,-0.809017
95,0.095,-1
96,0.096,-0.809017
97,0.097,-0.309017
98,0.098,0.309017
