index,time,amplitude
0,0,0
1,0.001,0
2,0.002,1.67922e-27
3,0.003,3.28997e-26
4,0.004,2.53267e-25
5,0.005,1.09656e-24
6,0.006,3.23331e-24
7,0.007,7.61318e-24
8,0.008,1.76515e-23
9,0.009,4.81637e-23
10,0.01,1.46569e-22
11,0.011,4.28302e-22
12,0.012,1.11955e-21
13,0.013,2.59017e-21
14,0.014,5.35603e-21
15,0.015,1.00411e-20
16,0.016,1.73175e-20
17,0.017,2.78784e-20
18,0.018,4.25182e-20
19,0.019,6.2387e-20
20,0.02,8.94212e-20
21,0.021,1.26866e-19
22,0.022,1.79718e-19
23,0.023,2.54885e-19
24,0.024,3.60951e-19
25,0.025,5.07596e-19
26,0.026,7.04945e-19
27,0.027,9.63279e-19
28,0.028,1.29355e-18
29,0.029,1.70892e-18
30,0.03,2.22706e-18
31,0.031,2.87266e-18
32,0.032,3.67926e-18
33,0.033,4.68943e-18
34,0.034,5.95328e-18
35,0.035,7.52558e-18
36,0.036,9.46286e-18
37,0.037,1.18222e-17
38,0.038,1.4663e-17
39,0.039,1.80522e-17
40,0.04,2.2072e-17
41,0.041,2.6827e-17
42,0.042,3.24498e-17
43,0.043,3.91005e-17
44,0.044,4.6961e-17
45,0.045,5.6227e-17
46,0.046,6.70984e-17
47,0.047,7.97765e-17
48,0.048,9.44682e-17
49,0.049,1.11399e-16
50,0.05,1.30834e-16
51,0.051,1.53091e-16
52,0.052,1.78557e-16
53,0.053,2.07684e-16
54,0.054,2.40974e-16
55,0.055,2.78959e-16
56,0.056,3.22182e-16
57,0.057,3.71187e-16
58,0.058,4.26526e-16
59,0.059,4.88793e-16
60,0.06,5.58662e-16
61,0.061,6.36918e-16
62,0.062,7.24487e-16
63,0.063,8.22422e-16
64,0.064,9.3188e-16
65,0.065,1.05407e-15
66,0.066,1.19023e-15
67,0.067,1.34158e-15
68,0.068,1.50937e-15
69,0.069,1.69491e-15
70,0.07,1.89967e-15
71,0.071,2.12531e-15
72,0.072,2.37376e-15
73,0.073,2.64716e-15
74,0.074,2.94786e-15
75,0.075,3.27827e-15
76,0.076,3.64086e-15
77,0.077,4.03806e-15
78,0.078,4.47234e-15
79,0.079,4.94628e-15
80,0.08,5.4627e-15
81,0.081,6.02478e-15
82,0.082,6.63609e-15
83,0.083,7.30062e-15
84,0.084,8.02262e-15
85,0.085,8.80652e-15
86,0.086,9.65673e-15
87,0.087,1.05777e-14
88,0.088,1.15738e-14
89,0.089,1.26497e-14
90,0.09,1.38103e-14
91,0.091,1.50611e-14
92,0.092,1.64084e-14
93,0.093,1.78589e-14
94,0.094,1.94198e-14
95,0.095,2.10985e-14
96,0.096,2.29025e-14
97,0.097,2.4839e-14
98,0.098,2.69155e-14
99,0.099,2.91396e-14
100,0.1,3.15195e-14
101,0.101,3.4064e-14
102,0.102,3.67832e-14
103,0.103,3.96877e-14
104,0.104,4.27891e-14
105,0.105,4.6099e-14
106,0.106,4.96291e-14
107,0.107,5.33909e-14
108,0.108,5.73959e-14
109,0.109,6.1656e-14
110,0.11,6.61838e-14
111,0.111,7.09929e-14
112,0.112,7.60984e-14
113,0.113,8.15165e-14
114,0.114,8.72645e-14
115,0.115,9.33598e-14
116,0.116,9.98198e-14
117,0.117,1.06662e-13
118,0.118,1.13902e-13
119,0.119,1.2156e-13
120,0.12,1.29651e-13
121,0.121,1.38198e-13
122,0.122,1.47221e-13
123,0.123,1.56743e-13
124,0.124,1.6679e-13
125,0.125,1.77387e-13
126,0.126,1.88558e-13
127,0.127,2.00327e-13
128,0.128,2.12718e-13
129,0.129,2.25757e-13
130,0.13,2.39468e-13
131,0.131,2.5388e-13
132,0.132,2.69023e-13
133,0.133,2.84928e-13
134,0.134,3.01631e-13
135,0.135,3.19164e-13
136,0.136,3.37562e-13
137,0.137,3.56858e-13
138,0.138,3.77085e-13
139,0.139,3.98275e-13
140,0.14,4.20462e-13
141,0.141,4.43686e-13
142,0.142,4.67984e-13
143,0.143,4.93401e-13
144,0.144,5.19981e-13
145,0.145,5.47769e-13
146,0.146,5.76811e-13
147,0.147,6.07148e-13
148,0.148,6.38824e-13
149,0.149,6.7188e-13
150,0.15,7.06364e-13
151,0.151,7.42321e-13
152,0.152,7.79803e-13
153,0.153,8.18867e-13
154,0.154,8.59569e-13
155,0.155,9.01967e-13
156,0.156,9.46118e-13
157,0.157,9.92075e-13
158,0.158,1.03989e-12
159,0.159,1.08962e-12
160,0.16,1.14133e-12
161,0.161,1.19506e-12
162,0.162,1.25088e-12
163,0.163,1.30887e-12
164,0.164,1.36909e-12
165,0.165,1.43162e-12
166,0.166,1.49652e-12
167,0.167,1.56386e-12
168,0.168,1.63371e-12
169,0.169,1.70613e-12
170,0.17,1.78118e-12
171,0.171,1.85895e-12
172,0.172,1.9395e-12
173,0.173,2.02292e-12
174,0.174,2.1093e-12
175,0.175,2.19872e-12
176,0.176,2.29127e-12
177,0.177,2.38701e-12
178,0.178,2.48603e-12
179,0.179,2.58841e-12
180,0.18,2.69422e-12
181,0.181,2.80354e-12
182,0.182,2.91647e-12
183,0.183,3.03311e-12
184,0.184,3.15355e-12
185,0.185,3.27788e-12
186,0.186,3.40622e-12
187,0.187,3.53864e-12
188,0.188,3.67523e-12
189,0.189,3.81608e-12
190,0.19,3.96127e-12
191,0.191,4.11091e-12
192,0.192,4.26508e-12
193,0.193,4.42391e-12
194,0.194,4.5875e-12
195,0.195,4.75596e-12
196,0.196,4.9294e-12
197,0.197,5.10792e-12
198,0.198,5.29161e-12
199,0.199,5.48057e-12
200,0.2,5.67489e-12
201,0.201,5.87466e-12
202,0.202,6.08001e-12
203,0.203,6.29105e-12
204,0.204,6.5079e-12
205,0.205,6.73069e-12
206,0.206,6.95952e-12
207,0.207,7.19451e-12
208,0.208,7.43574e-12
209,0.209,7.68332e-12
210,0.21,7.93734e-12
211,0.211,8.1979e-12
212,0.212,8.46513e-12
213,0.213,8.73915e-12
214,0.214,9.02008e-12
215,0.215,9.30806e-12
216,0.216,9.60319e-12
217,0.217,9.90559e-12
218,0.218,1.02153e-11
219,0.219,1.05326e-11
220,0.22,1.08573e-11
221,0.221,1.11897e-11
222,0.222,1.15299e-11
223,0.223,1.18779e-11
224,0.224,1.2234e-11
225,0.225,1.25982e-11
226,0.226,1.29707e-11
227,0.227,1.33515e-11
228,0.228,1.37408e-11
229,0.229,1.41386e-11
230,0.23,1.4545e-11
231,0.231,1.49601e-11
232,0.232,1.5384e-11
233,0.233,1.58169e-11
234,0.234,1.62587e-11
235,0.235,1.67098e-11
236,0.236,1.71701e-11
237,0.237,1.76398e-11
238,0.238,1.81189e-11
239,0.239,1.86075e-11
240,0.24,1.91057e-11
241,0.241,1.96134e-11
242,0.242,2.01309e-11
243,0.243,2.06582e-11
244,0.244,2.11954e-11
245,0.245,2.17427e-11
246,0.246,2.23e-11
247,0.247,2.28676e-11
248,0.248,2.34453e-11
249,0.249,2.40332e-11
250,0.25,2.46315e-11
251,0.251,2.524e-11
252,0.252,2.5859e-11
253,0.253,2.64884e-11
254,0.254,2.71283e-11
255,0.255,2.77789e-11
256,0.256,2.84401e-11
257,0.257,2.9112e-11
258,0.258,2.97945e-11
259,0.259,3.04878e-11
260,0.26,3.11917e-11
261,0.261,3.19063e-11
262,0.262,3.26316e-11
263,0.263,3.33676e-11
264,0.264,3.41144e-11
265,0.265,3.4872e-11
266,0.266,3.56405e-11
267,0.267,3.64197e-11
268,0.268,3.72096e-11
269,0.269,3.80103e-11
270,0.27,3.88215e-11
271,0.271,3.96433e-11
272,0.272,4.04756e-11
273,0.273,4.13185e-11
274,0.274,4.21718e-11
275,0.275,4.30357e-11
276,0.276,4.391e-11
277,0.277,4.47946e-11
278,0.278,4.56895e-11
279,0.279,4.65945e-11
280,0.28,4.75094e-11
281,0.281,4.84342e-11
282,0.282,4.93687e-11
283,0.283,5.03129e-11
284,0.284,5.12667e-11
285,0.285,5.22301e-11
286,0.286,5.32028e-11
287,0.287,5.41848e-11
288,0.288,5.51758e-11
289,0.289,5.61756e-11
290,0.29,5.71841e-11
291,0.291,5.82009e-11
292,0.292,5.92259e-11
293,0.293,6.02591e-11
294,0.294,6.13001e-11
295,0.295,6.23489e-11
296,0.296,6.34053e-11
297,0.297,6.4469e-11
298,0.298,6.55397e-11
299,0.299,6.66171e-11
300,0.3,6.77009e-11
301,0.301,6.87907e-11
302,0.302,6.98864e-11
303,0.303,7.09876e-11
304,0.304,7.20942e-11
305,0.305,7.32059e-11
306,0.306,7.43224e-11
307,0.307,7.54433e-11
308,0.308,7.65682e-11
309,0.309,7.76967e-11
310,0.31,7.88285e-11
311,0.311,7.99629e-11
312,0.312,8.10998e-11
313,0.313,8.22388e-11
314,0.314,8.33795e-11
315,0.315,8.45216e-11
316,0.316,8.56647e-11
317,0.317,8.68083e-11
318,0.318,8.79518e-11
319,0.319,8.90948e-11
320,0.32,9.02367e-11
321,0.321,9.1377e-11
322,0.322,9.25151e-11
323,0.323,9.36508e-11
324,0.324,9.47834e-11
325,0.325,9.59126e-11
326,0.326,9.70378e-11
327,0.327,9.81585e-11
328,0.328,9.92739e-11
329,0.329,1.00384e-10
330,0.33,1.01487e-10
331,0.331,1.02582e-10
332,0.332,1.0367e-10
333,0.333,1.0475e-10
334,0.334,1.05821e-10
335,0.335,1.06882e-10
336,0.336,1.07933e-10
337,0.337,1.08974e-10
338,0.338,1.10003e-10
339,0.339,1.11019e-10
340,0.34,1.12022e-10
341,0.341,1.13011e-10
342,0.342,1.13986e-10
343,0.343,1.14945e-10
344,0.344,1.15888e-10
345,0.345,1.16815e-10
346,0.346,1.17724e-10
347,0.347,1.18615e-10
348,0.348,1.19486e-10
349,0.349,1.20338e-10
350,0.35,1.21168e-10
351,0.351,1.21976e-10
352,0.352,1.22762e-10
353,0.353,1.23524e-10
354,0.354,1.24262e-10
355,0.355,1.24975e-10
356,0.356,1.25661e-10
357,0.357,1.26321e-10
358,0.358,1.26953e-10
359,0.359,1.27556e-10
360,0.36,1.28129e-10
361,0.361,1.28671e-10
362,0.362,1.2918e-10
363,0.363,1.29657e-10
364,0.364,1.30101e-10
365,0.365,1.30509e-10
366,0.366,1.30882e-10
367,0.367,1.31219e-10
368,0.368,1.31518e-10
369,0.369,1.31778e-10
370,0.37,1.31998e-10
371,0.371,1.32176e-10
372,0.372,1.32313e-10
373,0.373,1.32406e-10
374,0.374,1.32456e-10
375,0.375,1.3246e-10
376,0.376,1.32418e-10
377,0.377,1.3233e-10
378,0.378,1.32192e-10
379,0.379,1.32006e-10
380,0.38,1.31768e-10
381,0.381,1.31478e-10
382,0.382,1.31135e-10
383,0.383,1.30738e-10
384,0.384,1.30286e-10
385,0.385,1.29778e-10
386,0.386,1.29213e-10
387,0.387,1.28589e-10
388,0.388,1.27906e-10
389,0.389,1.27162e-10
390,0.39,1.26356e-10
391,0.391,1.25486e-10
392,0.392,1.24551e-10
393,0.393,1.23551e-10
394,0.394,1.22485e-10
395,0.395,1.21351e-10
396,0.396,1.20148e-10
397,0.397,1.18876e-10
398,0.398,1.17533e-10
399,0.399,1.16117e-10
400,0.4,1.14627e-10
401,0.401,1.13062e-10
402,0.402,1.11422e-10
403,0.403,1.09704e-10
404,0.404,1.07908e-10
405,0.405,1.06034e-10
406,0.406,1.04079e-10
407,0.407,1.02044e-10
408,0.408,9.99259e-11
409,0.409,9.77242e-11
410,0.41,9.54375e-11
411,0.411,9.30646e-11
412,0.412,9.06046e-11
413,0.413,8.80565e-11
414,0.414,8.54196e-11
415,0.415,8.26931e-11
416,0.416,7.98758e-11
417,0.417,7.69668e-11
418,0.418,7.39649e-11
419,0.419,7.08688e-11
420,0.42,6.76772e-11
421,0.421,6.43892e-11
422,0.422,6.1004e-11
423,0.423,5.75207e-11
424,0.424,5.39387e-11
425,0.425,5.02574e-11
426,0.426,4.64759e-11
427,0.427,4.25934e-11
428,0.428,3.86086e-11
429,0.429,3.45207e-11
430,0.43,3.03284e-11
431,0.431,2.6031e-11
432,0.432,2.16278e-11
433,0.433,1.71182e-11
434,0.434,1.2502e-11
435,0.435,7.77858e-12
436,0.436,2.94746e-12
437,0.437,-1.99211e-12
438,0.438,-7.04096e-12
439,0.439,-1.22e-11
440,0.44,-1.74699e-11
441,0.441,-2.28515e-11
442,0.442,-2.83449e-11
443,0.443,-3.39505e-11
444,0.444,-3.96684e-11
445,0.445,-4.54985e-11
446,0.446,-5.14412e-11
447,0.447,-5.7497e-11
448,0.448,-6.36662e-11
449,0.449,-6.99496e-11
450,0.45,-7.63475e-11
451,0.451,-8.28603e-11
452,0.452,-8.94879e-11
453,0.453,-9.62302e-11
454,0.454,-1.03087e-10
455,0.455,-1.10057e-10
456,0.456,-1.17142e-10
457,0.457,-1.2434e-10
458,0.458,-1.31653e-10
459,0.459,-1.39079e-10
460,0.46,-1.4662e-10
461,0.461,-1.54275e-10
462,0.462,-1.62043e-10
463,0.463,-1.69925e-10
464,0.464,-1.77918e-10
465,0.465,-1.86023e-10
466,0.466,-1.94238e-10
467,0.467,-2.02564e-10
468,0.468,-2.10999e-10
469,0.469,-2.19544e-10
470,0.47,-2.28198e-10
471,0.471,-2.3696e-10
472,0.472,-2.45829e-10
473,0.473,-2.54804e-10
474,0.474,-2.63884e-10
475,0.475,-2.73067e-10
476,0.476,-2.82352e-10
477,0.477,-2.91738e-10
478,0.478,-3.01223e-10
479,0.479,-3.10807e-10
480,0.48,-3.20489e-10
481,0.481,-3.30268e-10
482,0.482,-3.40141e-10
483,0.483,-3.50107e-10
484,0.484,-3.60164e-10
485,0.485,-3.70309e-10
486,0.486,-3.80541e-10
487,0.487,-3.90857e-10
488,0.488,-4.01257e-10
489,0.489,-4.11737e-10
490,0.49,-4.22298e-10
491,0.491,-4.32936e-10
492,0.492,-4.43649e-10
493,0.493,-4.54434e-10
494,0.494,-4.65288e-10
495,0.495,-4.76209e-10
496,0.496,-4.87193e-10
497,0.497,-4.98238e-10
498,0.498,-5.09341e-10
499,0.499,-5.205e-10
500,0.5,-5.31713e-10
501,0.501,-5.42975e-10
502,0.502,-5.54285e-10
503,0.503,-5.65638e-10
504,0.504,-5.7703e-10
505,0.505,-5.88458e-10
506,0.506,-5.99917e-10
507,0.507,-6.11404e-10
508,0.508,-6.22916e-10
509,0.509,-6.34449e-10
510,0.51,-6.45999e-10
511,0.511,-6.57564e-10
512,0.512,-6.69138e-10
513,0.513,-6.80717e-10
514,0.514,-6.92295e-10
515,0.515,-7.03868e-10
516,0.516,-7.1543e-10
517,0.517,-7.26978e-10
518,0.518,-7.38507e-10
519,0.519,-7.50011e-10
520,0.52,-7.61488e-10
521,0.521,-7.72932e-10
522,0.522,-7.84337e-10
523,0.523,-7.95697e-10
524,0.524,-8.07006e-10
525,0.525,-8.18258e-10
526,0.526,-8.29447e-10
527,0.527,-8.40568e-10
528,0.528,-8.51614e-10
529,0.529,-8.6258e-10
530,0.53,-8.7346e-10
531,0.531,-8.84249e-10
532,0.532,-8.94939e-10
533,0.533,-9.05524e-10
534,0.534,-9.15995e-10
535,0.535,-9.26345e-10
536,0.536,-9.36567e-10
537,0.537,-9.46655e-10
538,0.538,-9.566e-10
539,0.539,-9.66397e-10
540,0.54,-9.76039e-10
541,0.541,-9.85517e-10
542,0.542,-9.94824e-10
543,0.543,-1.00395e-09
544,0.544,-1.01289e-09
545,0.545,-1.02163e-09
546,0.546,-1.03017e-09
547,0.547,-1.03849e-09
548,0.548,-1.04658e-09
549,0.549,-1.05445e-09
550,0.55,-1.06208e-09
551,0.551,-1.06946e-09
552,0.552,-1.07658e-09
553,0.553,-1.08344e-09
554,0.554,-1.09001e-09
555,0.555,-1.0963e-09
556,0.556,-1.10229e-09
557,0.557,-1.10797e-09
558,0.558,-1.11333e-09
559,0.559,-1.11837e-09
560,0.56,-1.12307e-09
561,0.561,-1.12742e-09
562,0.562,-1.13141e-09
563,0.563,-1.13503e-09
564,0.564,-1.13827e-09
565,0.565,-1.14112e-09
566,0.566,-1.14355e-09
567,0.567,-1.14558e-09
568,0.568,-1.14717e-09
569,0.569,-1.14832e-09
570,0.57,-1.14902e-09
571,0.571,-1.14926e-09
572,0.572,-1.14903e-09
573,0.573,-1.1483e-09
574,0.574,-1.14708e-09
575,0.575,-1.14533e-09
576,0.576,-1.14306e-09
577,0.577,-1.14024e-09
578,0.578,-1.13687e-09
579,0.579,-1.13293e-09
