index,time,amplitude
0,0,0
1,0.001,2.38216e-10
2,0.002,2.12466e-09
3,0.003,8.33725e-09
4,0.004,2.24935e-08
5,0.005,4.87394e-08
6,0.006,9.1413e-08
7,0.007,1.54913e-07
8,0.008,2.4382e-07
9,0.009,3.6323e-07
10,0.01,5.19164e-07
11,0.011,7.18905e-07
12,0.012,9.71124e-07
13,0.013,1.28576e-06
14,0.014,1.67366e-06
15,0.015,2.14621e-06
16,0.016,2.71493e-06
17,0.017,3.39136e-06
18,0.018,4.18719e-06
19,0.019,5.11456e-06
20,0.02,6.18645e-06
21,0.021,7.41706e-06
22,0.022,8.82184e-06
23,0.023,1.04175e-05
24,0.024,1.22213e-05
25,0.025,1.42514e-05
26,0.026,1.65254e-05
27,0.027,1.90613e-05
28,0.028,2.18768e-05
29,0.029,2.49899e-05
30,0.03,2.84195e-05
31,0.031,3.21854e-05
32,0.032,3.63084e-05
33,0.033,4.08104e-05
34,0.034,4.5714e-05
35,0.035,5.10418e-05
36,0.036,5.68164e-05
37,0.037,6.306e-05
38,0.038,6.97945e-05
39,0.039,7.70421e-05
40,0.04,8.48251e-05
41,0.041,9.31669e-05
42,0.042,0.000102092
43,0.043,0.000111624
44,0.044,0.000121789
45,0.045,0.000132612
46,0.046,0.000144118
47,0.047,0.00015633
48,0.048,0.000169272
49,0.049,0.000182967
50,0.05,0.000197439
51,0.051,0.000212711
52,0.052,0.000228808
53,0.053,0.000245755
54,0.054,0.000263575
55,0.055,0.000282294
56,0.056,0.000301935
57,0.057,0.00032252
58,0.058,0.000344071
59,0.059,0.00036661
60,0.06,0.000390156
61,0.061,0.000414731
62,0.062,0.000440356
63,0.063,0.000467051
64,0.064,0.000494838
65,0.065,0.000523737
66,0.066,0.000553765
67,0.067,0.00058494
68,0.068,0.000617278
69,0.069,0.000650795
70,0.07,0.000685505
71,0.071,0.000721422
72,0.072,0.000758559
73,0.073,0.000796931
74,0.074,0.00083655
75,0.075,0.000877427
76,0.076,0.000919573
77,0.077,0.000962995
78,0.078,0.0010077
79,0.079,0.00105369
80,0.08,0.00110098
81,0.081,0.00114957
82,0.082,0.00119945
83,0.083,0.00125063
84,0.084,0.00130312
85,0.085,0.00135691
86,0.086,0.00141199
87,0.087,0.00146837
88,0.088,0.00152604
89,0.089,0.00158499
90,0.09,0.00164521
91,0.091,0.00170669
92,0.092,0.00176942
93,0.093,0.00183338
94,0.094,0.00189857
95,0.095,0.00196495
96,0.096,0.00203253
97,0.097,0.00210127
98,0.098,0.00217116
99,0.099,0.00224216
100,0.1,0.00231426
101,0.101,0.00238741
102,0.102,0.00246161
103,0.103,0.00253681
104,0.104,0.00261298
105,0.105,0.00269009
106,0.106,0.00276811
107,0.107,0.00284698
108,0.108,0.00292668
109,0.109,0.00300715
110,0.11,0.00308836
111,0.111,0.00317025
112,0.112,0.00325278
113,0.113,0.0033359
114,0.114,0.00341955
115,0.115,0.00350369
116,0.116,0.00358825
117,0.117,0.00367318
118,0.118,0.00375841
119,0.119,0.00384388
120,0.12,0.00392953
121,0.121,0.00401529
122,0.122,0.00410109
123,0.123,0.00418686
124,0.124,0.00427253
125,0.125,0.00435803
126,0.126,0.00444327
127,0.127,0.00452819
128,0.128,0.0046127
129,0.129,0.00469671
130,0.13,0.00478015
131,0.131,0.00486292
132,0.132,0.00494494
133,0.133,0.00502611
134,0.134,0.00510636
