index,time,amplitude
0,0,0
1,0.001,0
2,0.002,0
3,0.003,-1.05403e-45
4,0.004,-4.78223e-44
5,0.005,-6.32673e-43
6,0.006,-3.44721e-42
7,0.007,-4.27324e-42
8,0.008,3.86003e-41
9,0.009,1.05988e-40
10,0.01,-1.22938e-39
11,0.011,-1.29967e-38
12,0.012,-6.93129e-38
13,0.013,-2.62185e-37
14,0.014,-7.78354e-37
15,0.015,-1.90614e-36
16,0.016,-3.99042e-36
17,0.017,-7.44523e-36
18,0.018,-1.32533e-35
19,0.019,-2.48165e-35
20,0.02,-5.22298e-35
21,0.021,-1.19499e-34
22,0.022,-2.7355e-34
23,0.023,-5.91542e-34
24,0.024,-1.18172e-33
25,0.025,-2.1751e-33
26,0.026,-3.71226e-33
27,0.027,-5.93942e-33
28,0.028,-9.03488e-33
29,0.029,-1.3283e-32
30,0.03,-1.9193e-32
31,0.031,-2.76289e-32
32,0.032,-3.98961e-32
33,0.033,-5.77307e-32
34,0.034,-8.31848e-32
35,0.035,-1.18461e-31
36,0.036,-1.65793e-31
37,0.037,-2.27429e-31
38,0.038,-3.0564e-31
39,0.039,-4.02531e-31
40,0.04,-5.19314e-31
41,0.041,-6.54904e-31
42,0.042,-8.0405e-31
43,0.043,-9.55736e-31
44,0.044,-1.09281e-30
45,0.045,-1.19338e-30
46,0.046,-1.23329e-30
47,0.047,-1.18752e-30
48,0.048,-1.02701e-30
49,0.049,-7.08059e-31
50,0.05,-1.53647e-31
51,0.051,7.69534e-31
52,0.052,2.2709e-30
53,0.053,4.64366e-30
54,0.054,8.25493e-30
55,0.055,1.35204e-29
56,0.056,2.08758e-29
57,0.057,3.07636e-29
58,0.058,4.3652e-29
59,0.059,6.00929e-29
60,0.06,8.08063e-29
61,0.061,1.06765e-28
62,0.062,1.39243e-28
63,0.063,1.79809e-28
64,0.064,2.30258e-28
65,0.065,2.92515e-28
66,0.066,3.68553e-28
67,0.067,4.60353e-28
68,0.068,5.69919e-28
69,0.069,6.99309e-28
70,0.07,8.50638e-28
71,0.071,1.02599e-27
72,0.072,1.2273e-27
73,0.073,1.45615e-27
74,0.074,1.71376e-27
75,0.075,2.00101e-27
76,0.076,2.31863e-27
77,0.077,2.66725e-27
78,0.078,3.04714e-27
79,0.079,3.45733e-27
80,0.08,3.89423e-27
81,0.081,4.34988e-27
82,0.082,4.81059e-27
83,0.083,5.25647e-27
84,0.084,5.6622e-27
85,0.085,5.99895e-27
86,0.086,6.23645e-27
87,0.087,6.34388e-27
88,0.088,6.28821e-27
89,0.089,6.02956e-27
90,0.09,5.51402e-27
91,0.091,4.66617e-27
92,0.092,3.38379e-27
93,0.093,1.53725e-27
94,0.094,-1.02564e-27
95,0.095,-4.471e-27
96,0.096,-8.97028e-27
97,0.097,-1.46966e-26
98,0.098,-2.18301e-26
99,0.099,-3.05731e-26
100,0.1,-4.11725e-26
101,0.101,-5.3942e-26
102,0.102,-6.92762e-26
103,0.103,-8.76505e-26
104,0.104,-1.09605e-25
105,0.105,-1.35719e-25
106,0.106,-1.66585e-25
107,0.107,-2.02799e-25
108,0.108,-2.44975e-25
109,0.109,-2.93782e-25
110,0.11,-3.50004e-25
111,0.111,-4.14594e-25
112,0.112,-4.88708e-25
113,0.113,-5.73706e-25
114,0.114,-6.71102e-25
115,0.115,-7.82508e-25
116,0.116,-9.09565e-25
117,0.117,-1.05392e-24
118,0.118,-1.21725e-24
119,0.119,-1.40138e-24
120,0.12,-1.60838e-24
121,0.121,-1.84076e-24
122,0.122,-2.10147e-24
123,0.123,-2.39395e-24
124,0.124,-2.72202e-24
125,0.125,-3.0897e-24
126,0.126,-3.50107e-24
127,0.127,-3.96024e-24
128,0.128,-4.47138e-24
129,0.129,-5.03897e-24
130,0.13,-5.6681e-24
131,0.131,-6.36475e-24
132,0.132,-7.13604e-24
133,0.133,-7.99011e-24
134,0.134,-8.93596e-24
135,0.135,-9.98303e-24
136,0.136,-1.11409e-23
137,0.137,-1.24192e-23
138,0.138,-1.38277e-23
139,0.139,-1.53767e-23
140,0.14,-1.70779e-23
141,0.141,-1.89451e-23
142,0.142,-2.09941e-23
143,0.143,-2.32432e-23
144,0.144,-2.57122e-23
145,0.145,-2.84221e-23
146,0.146,-3.13939e-23
147,0.147,-3.46489e-23
148,0.148,-3.82082e-23
149,0.149,-4.20947e-23
150,0.15,-4.63335e-23
151,0.151,-5.09537e-23
152,0.152,-5.59888e-23
153,0.153,-6.14767e-23
154,0.154,-6.74586e-23
155,0.155,-7.39775e-23
156,0.156,-8.10769e-23
157,0.157,-8.87999e-23
158,0.158,-9.71904e-23
159,0.159,-1.06294e-22
160,0.16,-1.16162e-22
161,0.161,-1.26852e-22
162,0.162,-1.3843e-22
163,0.163,-1.5097e-22
164,0.164,-1.64552e-22
165,0.165,-1.79258e-22
166,0.166,-1.95173e-22
167,0.167,-2.12379e-22
168,0.168,-2.30961e-22
169,0.169,-2.51006e-22
170,0.17,-2.7261e-22
171,0.171,-2.95882e-22
172,0.172,-3.20945e-22
173,0.173,-3.47935e-22
174,0.174,-3.77e-22
175,0.175,-4.08292e-22
176,0.176,-4.41964e-22
177,0.177,-4.78169e-22
178,0.178,-5.1706e-22
179,0.179,-5.58795e-22
180,0.18,-6.0355e-22
181,0.181,-6.51518e-22
182,0.182,-7.0292e-22
183,0.183,-7.57999e-22
184,0.184,-8.17015e-22
185,0.185,-8.80238e-22
186,0.186,-9.47939e-22
187,0.187,-1.02038e-21
188,0.188,-1.09784e-21
189,0.189,-1.1806e-21
190,0.19,-1.26895e-21
191,0.191,-1.36323e-21
192,0.192,-1.46383e-21
193,0.193,-1.57116e-21
194,0.194,-1.68567e-21
195,0.195,-1.80782e-21
196,0.196,-1.93806e-21
197,0.197,-2.07686e-21
198,0.198,-2.22468e-21
199,0.199,-2.38197e-21
200,0.2,-2.54927e-21
201,0.201,-2.72712e-21
202,0.202,-2.91617e-21
203,0.203,-3.11711e-21
204,0.204,-3.33067e-21
205,0.205,-3.55761e-21
206,0.206,-3.7987e-21
207,0.207,-4.05468e-21
208,0.208,-4.3263e-21
209,0.209,-4.61433e-21
210,0.21,-4.9196e-21
211,0.211,-5.24304e-21
212,0.212,-5.58565e-21
213,0.213,-5.94855e-21
214,0.214,-6.33291e-21
215,0.215,-6.73995e-21
216,0.216,-7.17087e-21
217,0.217,-7.62686e-21
218,0.218,-8.10911e-21
219,0.219,-8.61883e-21
220,0.22,-9.15732e-21
221,0.221,-9.72603e-21
222,0.222,-1.03265e-20
223,0.223,-1.09606e-20
224,0.224,-1.16299e-20
225,0.225,-1.23365e-20
226,0.226,-1.30822e-20
227,0.227,-1.38687e-20
228,0.228,-1.4698e-20
229,0.229,-1.55718e-20
230,0.23,-1.64922e-20
231,0.231,-1.74614e-20
232,0.232,-1.84817e-20
233,0.233,-1.95557e-20
234,0.234,-2.06863e-20
235,0.235,-2.18761e-20
236,0.236,-2.3128e-20
237,0.237,-2.44448e-20
238,0.238,-2.58291e-20
239,0.239,-2.72837e-20
240,0.24,-2.88116e-20
241,0.241,-3.04159e-20
242,0.242,-3.21003e-20
243,0.243,-3.38686e-20
244,0.244,-3.57248e-20
245,0.245,-3.7673e-20
246,0.246,-3.97172e-20
247,0.247,-4.18616e-20
248,0.248,-4.411e-20
249,0.249,-4.64665e-20
250,0.25,-4.89353e-20
251,0.251,-5.15211e-20
252,0.252,-5.4229e-20
253,0.253,-5.70646e-20
254,0.254,-6.00335e-20
255,0.255,-6.31417e-20
256,0.256,-6.6395e-20
257,0.257,-6.97991e-20
258,0.258,-7.33595e-20
259,0.259,-7.7082e-20
260,0.26,-8.09727e-20
261,0.261,-8.5038e-20
262,0.262,-8.92852e-20
263,0.263,-9.37219e-20
264,0.264,-9.83562e-20
265,0.265,-1.03196e-19
266,0.266,-1.0825e-19
267,0.267,-1.13526e-19
268,0.268,-1.19032e-19
269,0.269,-1.24774e-19
270,0.27,-1.30763e-19
271,0.271,-1.37006e-19
272,0.272,-1.43514e-19
273,0.273,-1.50297e-19
274,0.274,-1.57365e-19
275,0.275,-1.64731e-19
276,0.276,-1.72405e-19
277,0.277,-1.80398e-19
278,0.278,-1.8872e-19
279,0.279,-1.97382e-19
280,0.28,-2.06395e-19
281,0.281,-2.15771e-19
282,0.282,-2.25523e-19
283,0.283,-2.35665e-19
284,0.284,-2.46212e-19
285,0.285,-2.57179e-19
286,0.286,-2.68579e-19
287,0.287,-2.80428e-19
288,0.288,-2.92739e-19
289,0.289,-3.05525e-19
290,0.29,-3.18802e-19
291,0.291,-3.32585e-19
292,0.292,-3.46891e-19
293,0.293,-3.61738e-19
294,0.294,-3.77146e-19
295,0.295,-3.93134e-19
296,0.296,-4.09721e-19
297,0.297,-4.26924e-19
298,0.298,-4.44761e-19
299,0.299,-4.63251e-19
300,0.3,-4.82411e-19
301,0.301,-5.02262e-19
302,0.302,-5.22825e-19
303,0.303,-5.44124e-19
304,0.304,-5.66183e-19
305,0.305,-5.89027e-19
306,0.306,-6.12679e-19
307,0.307,-6.37161e-19
308,0.308,-6.62497e-19
309,0.309,-6.88707e-19
310,0.31,-7.15816e-19
311,0.311,-7.43848e-19
312,0.312,-7.7283e-19
313,0.313,-8.02791e-19
314,0.314,-8.33762e-19
315,0.315,-8.65771e-19
316,0.316,-8.98849e-19
317,0.317,-9.33023e-19
318,0.318,-9.68319e-19
319,0.319,-1.00477e-18
320,0.32,-1.04239e-18
321,0.321,-1.08122e-18
322,0.322,-1.12129e-18
323,0.323,-1.16264e-18
324,0.324,-1.2053e-18
325,0.325,-1.2493e-18
326,0.326,-1.29469e-18
327,0.327,-1.34149e-18
328,0.328,-1.38974e-18
329,0.329,-1.43947e-18
330,0.33,-1.49071e-18
331,0.331,-1.54349e-18
332,0.332,-1.59786e-18
333,0.333,-1.65385e-18
334,0.334,-1.71151e-18
335,0.335,-1.77088e-18
336,0.336,-1.832e-18
337,0.337,-1.8949e-18
338,0.338,-1.95962e-18
339,0.339,-2.02621e-18
340,0.34,-2.09469e-18
341,0.341,-2.1651e-18
342,0.342,-2.23749e-18
343,0.343,-2.3119e-18
344,0.344,-2.38838e-18
345,0.345,-2.46698e-18
346,0.346,-2.54775e-18
347,0.347,-2.63071e-18
348,0.348,-2.71592e-18
349,0.349,-2.80342e-18
350,0.35,-2.89323e-18
351,0.351,-2.9854e-18
352,0.352,-3.07998e-18
353,0.353,-3.17703e-18
354,0.354,-3.27658e-18
355,0.355,-3.37869e-18
356,0.356,-3.48341e-18
357,0.357,-3.59079e-18
358,0.358,-3.70085e-18
359,0.359,-3.81365e-18
360,0.36,-3.92921e-18
361,0.361,-4.04758e-18
362,0.362,-4.16882e-18
363,0.363,-4.29296e-18
364,0.364,-4.42007e-18
365,0.365,-4.55019e-18
366,0.366,-4.68337e-18
367,0.367,-4.81966e-18
368,0.368,-4.95908e-18
369,0.369,-5.10167e-18
370,0.37,-5.24748e-18
371,0.371,-5.39653e-18
372,0.372,-5.54887e-18
373,0.373,-5.70456e-18
374,0.374,-5.86364e-18
375,0.375,-6.02615e-18
376,0.376,-6.19214e-18
377,0.377,-6.36164e-18
378,0.378,-6.53468e-18
379,0.379,-6.71128e-18
380,0.38,-6.89148e-18
381,0.381,-7.0753e-18
382,0.382,-7.26278e-18
383,0.383,-7.45395e-18
384,0.384,-7.64886e-18
385,0.385,-7.84754e-18
386,0.386,-8.05002e-18
387,0.387,-8.25631e-18
388,0.388,-8.46644e-18
389,0.389,-8.68041e-18
390,0.39,-8.89823e-18
391,0.391,-9.11991e-18
392,0.392,-9.34547e-18
393,0.393,-9.57494e-18
394,0.394,-9.80832e-18
395,0.395,-1.00456e-17
396,0.396,-1.02869e-17
397,0.397,-1.05321e-17
398,0.398,-1.07812e-17
399,0.399,-1.10343e-17
400,0.4,-1.12912e-17
401,0.401,-1.1552e-17
402,0.402,-1.18167e-17
403,0.403,-1.20852e-17
404,0.404,-1.23575e-17
405,0.405,-1.26337e-17
406,0.406,-1.29137e-17
407,0.407,-1.31975e-17
408,0.408,-1.34849e-17
409,0.409,-1.3776e-17
410,0.41,-1.40707e-17
411,0.411,-1.4369e-17
412,0.412,-1.46707e-17
413,0.413,-1.49758e-17
414,0.414,-1.52843e-17
415,0.415,-1.55962e-17
416,0.416,-1.59112e-17
417,0.417,-1.62294e-17
418,0.418,-1.65506e-17
419,0.419,-1.68747e-17
420,0.42,-1.72017e-17
421,0.421,-1.75313e-17
422,0.422,-1.78635e-17
423,0.423,-1.81981e-17
424,0.424,-1.85351e-17
425,0.425,-1.88742e-17
426,0.426,-1.92154e-17
427,0.427,-1.95585e-17
428,0.428,-1.99033e-17
429,0.429,-2.02497e-17
430,0.43,-2.05973e-17
431,0.431,-2.09461e-17
432,0.432,-2.12958e-17
433,0.433,-2.16463e-17
434,0.434,-2.19972e-17
435,0.435,-2.23485e-17
436,0.436,-2.26998e-17
437,0.437,-2.30509e-17
438,0.438,-2.34015e-17
439,0.439,-2.37513e-17
440,0.44,-2.41001e-17
441,0.441,-2.44475e-17
442,0.442,-2.47933e-17
443,0.443,-2.5137e-17
444,0.444,-2.54785e-17
445,0.445,-2.58173e-17
446,0.446,-2.6153e-17
447,0.447,-2.64854e-17
448,0.448,-2.68139e-17
449,0.449,-2.71383e-17
450,0.45,-2.7458e-17
451,0.451,-2.77727e-17
452,0.452,-2.80818e-17
453,0.453,-2.8385e-17
454,0.454,-2.86817e-17
455,0.455,-2.89715e-17
456,0.456,-2.92538e-17
457,0.457,-2.95282e-17
458,0.458,-2.97939e-17
459,0.459,-3.00506e-17
460,0.46,-3.02976e-17
461,0.461,-3.05344e-17
462,0.462,-3.07602e-17
463,0.463,-3.09745e-17
464,0.464,-3.11765e-17
465,0.465,-3.13657e-17
466,0.466,-3.15413e-17
467,0.467,-3.17025e-17
468,0.468,-3.18488e-17
469,0.469,-3.19792e-17
470,0.47,-3.20931e-17
471,0.471,-3.21896e-17
472,0.472,-3.22679e-17
473,0.473,-3.23272e-17
474,0.474,-3.23665e-17
475,0.475,-3.23849e-17
476,0.476,-3.23816e-17
477,0.477,-3.23556e-17
478,0.478,-3.23059e-17
479,0.479,-3.22316e-17
480,0.48,-3.21316e-17
481,0.481,-3.20049e-17
482,0.482,-3.18505e-17
483,0.483,-3.16672e-17
484,0.484,-3.14539e-17
485,0.485,-3.12094e-17
486,0.486,-3.09324e-17
487,0.487,-3.06219e-17
488,0.488,-3.02766e-17
489,0.489,-2.98952e-17
490,0.49,-2.94766e-17
491,0.491,-2.90193e-17
492,0.492,-2.85221e-17
493,0.493,-2.79834e-17
494,0.494,-2.74019e-17
495,0.495,-2.67761e-17
496,0.496,-2.61044e-17
497,0.497,-2.53853e-17
498,0.498,-2.46174e-17
499,0.499,-2.37992e-17
500,0.5,-2.29291e-17
501,0.501,-2.20054e-17
502,0.502,-2.10265e-17
503,0.503,-1.99907e-17
504,0.504,-1.88959e-17
505,0.505,-1.77406e-17
506,0.506,-1.65227e-17
507,0.507,-1.52405e-17
508,0.508,-1.38922e-17
509,0.509,-1.2476e-17
510,0.51,-1.09899e-17
511,0.511,-9.43197e-18
512,0.512,-7.8002e-18
513,0.513,-6.09239e-18
514,0.514,-4.30634e-18
515,0.515,-2.43981e-18
516,0.516,-4.90594e-19
517,0.517,1.54348e-18
518,0.518,3.66458e-18
519,0.519,5.87486e-18
520,0.52,8.17655e-18
521,0.521,1.0572e-17
522,0.522,1.30637e-17
523,0.523,1.56541e-17
524,0.524,1.8346e-17
525,0.525,2.1142e-17
526,0.526,2.40446e-17
527,0.527,2.70566e-17
528,0.528,3.01803e-17
529,0.529,3.34183e-17
530,0.53,3.67731e-17
531,0.531,4.02476e-17
532,0.532,4.38445e-17
533,0.533,4.75669e-17
534,0.534,5.1418e-17
535,0.535,5.54007e-17
536,0.536,5.95181e-17
537,0.537,6.37732e-17
538,0.538,6.81689e-17
539,0.539,7.2708e-17
540,0.54,7.73934e-17
541,0.541,8.22282e-17
542,0.542,8.72158e-17
543,0.543,9.23597e-17
544,0.544,9.76633e-17
545,0.545,1.0313e-16
546,0.546,1.08764e-16
547,0.547,1.14568e-16
548,0.548,1.20545e-16
549,0.549,1.26699e-16
550,0.55,1.33033e-16
551,0.551,1.3955e-16
552,0.552,1.46254e-16
553,0.553,1.53148e-16
554,0.554,1.60238e-16
555,0.555,1.67527e-16
556,0.556,1.75018e-16
