index,time,amplitude
0,0,0
1,0.001,0
2,0.002,-1.02688e-19
3,0.003,-1.50122e-18
4,0.004,-9.7407e-18
5,0.005,-3.86111e-17
6,0.006,-1.09229e-16
7,0.007,-2.45692e-16
8,0.008,-4.94774e-16
9,0.009,-1.03313e-15
10,0.01,-2.44005e-15
11,0.011,-6.17014e-15
12,0.012,-1.5149e-14
13,0.013,-3.42796e-14
14,0.014,-7.0583e-14
15,0.015,-1.32797e-13
16,0.016,-2.3056e-13
17,0.017,-3.73699e-13
18,0.018,-5.72451e-13
19,0.019,-8.39364e-13
20,0.02,-1.19312e-12
21,0.021,-1.66359e-12
22,0.022,-2.29658e-12
23,0.023,-3.15628e-12
24,0.024,-4.32398e-12
25,0.025,-5.89322e-12
26,0.026,-7.96324e-12
27,0.027,-1.06345e-11
28,0.028,-1.401e-11
29,0.029,-1.8205e-11
30,0.03,-2.33633e-11
31,0.031,-2.96777e-11
32,0.032,-3.74048e-11
33,0.033,-4.68708e-11
34,0.034,-5.84624e-11
35,0.035,-7.2607e-11
36,0.036,-8.97498e-11
37,0.037,-1.10339e-10
38,0.038,-1.34831e-10
39,0.039,-1.63715e-10
40,0.04,-1.97563e-10
41,0.041,-2.37071e-10
42,0.042,-2.83102e-10
43,0.043,-3.36689e-10
44,0.044,-3.99011e-10
45,0.045,-4.71338e-10
46,0.046,-5.54979e-10
47,0.047,-6.51248e-10
48,0.048,-7.61471e-10
49,0.049,-8.87045e-10
50,0.05,-1.02953e-09
51,0.051,-1.19075e-09
52,0.052,-1.37285e-09
53,0.053,-1.57832e-09
54,0.054,-1.80991e-09
55,0.055,-2.07056e-09
56,0.056,-2.36326e-09
57,0.057,-2.69102e-09
58,0.058,-3.05683e-09
59,0.059,-3.46383e-09
60,0.06,-3.91544e-09
61,0.061,-4.41553e-09
62,0.062,-4.96856e-09
63,0.063,-5.57953e-09
64,0.064,-6.25394e-09
65,0.065,-6.99755e-09
66,0.066,-7.81622e-09
67,0.067,-8.71579e-09
68,0.068,-9.70209e-09
69,0.069,-1.07812e-08
70,0.07,-1.19595e-08
71,0.071,-1.32443e-08
72,0.072,-1.46437e-08
73,0.073,-1.61669e-08
74,0.074,-1.78235e-08
75,0.075,-1.96237e-08
76,0.076,-2.1578e-08
77,0.077,-2.36965e-08
78,0.078,-2.59895e-08
79,0.079,-2.84674e-08
80,0.08,-3.11415e-08
81,0.081,-3.4024e-08
82,0.082,-3.71286e-08
83,0.083,-4.04705e-08
84,0.084,-4.40658e-08
85,0.085,-4.79311e-08
86,0.086,-5.20834e-08
87,0.087,-5.65393e-08
88,0.088,-6.13155e-08
89,0.089,-6.64287e-08
90,0.09,-7.1897e-08
91,0.091,-7.774e-08
92,0.092,-8.39791e-08
93,0.093,-9.06379e-08
94,0.094,-9.77414e-08
95,0.095,-1.05315e-07
96,0.096,-1.13386e-07
97,0.097,-1.21978e-07
98,0.098,-1.31117e-07
99,0.099,-1.40829e-07
100,0.1,-1.51141e-07
101,0.101,-1.62082e-07
102,0.102,-1.73684e-07
103,0.103,-1.85981e-07
104,0.104,-1.99012e-07
105,0.105,-2.12812e-07
106,0.106,-2.27419e-07
107,0.107,-2.42871e-07
108,0.108,-2.59203e-07
109,0.109,-2.76453e-07
110,0.11,-2.9466e-07
111,0.111,-3.13864e-07
112,0.112,-3.3411e-07
113,0.113,-3.55448e-07
114,0.114,-3.77928e-07
115,0.115,-4.01602e-07
116,0.116,-4.26523e-07
117,0.117,-4.5274e-07
118,0.118,-4.80303e-07
119,0.119,-5.09263e-07
120,0.12,-5.39672e-07
121,0.121,-5.71585e-07
122,0.122,-6.05064e-07
123,0.123,-6.40173e-07
124,0.124,-6.7698e-07
125,0.125,-7.15553e-07
126,0.126,-7.55961e-07
127,0.127,-7.9827e-07
128,0.128,-8.42545e-07
129,0.129,-8.8885e-07
130,0.13,-9.37254e-07
131,0.131,-9.87828e-07
132,0.132,-1.04065e-06
133,0.133,-1.0958e-06
134,0.134,-1.15337e-06
135,0.135,-1.21344e-06
136,0.136,-1.2761e-06
137,0.137,-1.34144e-06
138,0.138,-1.40952e-06
139,0.139,-1.48044e-06
140,0.14,-1.55428e-06
141,0.141,-1.63111e-06
142,0.142,-1.71105e-06
143,0.143,-1.79419e-06
144,0.144,-1.88064e-06
145,0.145,-1.97049e-06
146,0.146,-2.06386e-06
147,0.147,-2.16083e-06
148,0.148,-2.26152e-06
149,0.149,-2.36601e-06
150,0.15,-2.47439e-06
151,0.151,-2.58678e-06
152,0.152,-2.70329e-06
153,0.153,-2.82402e-06
154,0.154,-2.94911e-06
155,0.155,-3.07867e-06
156,0.156,-3.21282e-06
157,0.157,-3.35168e-06
158,0.158,-3.49534e-06
159,0.159,-3.64393e-06
160,0.16,-3.79754e-06
161,0.161,-3.95628e-06
162,0.162,-4.1203e-06
163,0.163,-4.2897e-06
164,0.164,-4.46463e-06
165,0.165,-4.64522e-06
166,0.166,-4.83159e-06
167,0.167,-5.02387e-06
168,0.168,-5.22217e-06
169,0.169,-5.4266e-06
170,0.17,-5.63727e-06
171,0.171,-5.8543e-06
172,0.172,-6.07782e-06
173,0.173,-6.30796e-06
174,0.174,-6.54487e-06
175,0.175,-6.78867e-06
176,0.176,-7.0395e-06
177,0.177,-7.29747e-06
178,0.178,-7.5627e-06
179,0.179,-7.83528e-06
180,0.18,-8.11534e-06
181,0.181,-8.40297e-06
182,0.182,-8.6983e-06
183,0.183,-9.00146e-06
184,0.184,-9.31258e-06
185,0.185,-9.63179e-06
186,0.186,-9.95921e-06
187,0.187,-1.02949e-05
188,0.188,-1.06391e-05
189,0.189,-1.09917e-05
190,0.19,-1.13529e-05
191,0.191,-1.17227e-05
192,0.192,-1.21014e-05
193,0.193,-1.24889e-05
194,0.194,-1.28854e-05
195,0.195,-1.3291e-05
196,0.196,-1.37057e-05
197,0.197,-1.41297e-05
198,0.198,-1.4563e-05
199,0.199,-1.50057e-05
200,0.2,-1.54578e-05
201,0.201,-1.59194e-05
202,0.202,-1.63905e-05
203,0.203,-1.68712e-05
204,0.204,-1.73615e-05
205,0.205,-1.78615e-05
206,0.206,-1.83714e-05
207,0.207,-1.88909e-05
208,0.208,-1.94203e-05
209,0.209,-1.99595e-05
210,0.21,-2.05084e-05
211,0.211,-2.10671e-05
212,0.212,-2.16355e-05
213,0.213,-2.22137e-05
214,0.214,-2.28016e-05
215,0.215,-2.33993e-05
216,0.216,-2.40068e-05
217,0.217,-2.46239e-05
218,0.218,-2.52505e-05
219,0.219,-2.58867e-05
220,0.22,-2.65323e-05
221,0.221,-2.71871e-05
222,0.222,-2.78512e-05
223,0.223,-2.85244e-05
224,0.224,-2.92067e-05
225,0.225,-2.98979e-05
226,0.226,-3.05979e-05
227,0.227,-3.13065e-05
228,0.228,-3.20235e-05
229,0.229,-3.27489e-05
230,0.23,-3.34822e-05
231,0.231,-3.42234e-05
232,0.232,-3.49722e-05
233,0.233,-3.57285e-05
234,0.234,-3.64919e-05
235,0.235,-3.72623e-05
236,0.236,-3.80394e-05
237,0.237,-3.88229e-05
238,0.238,-3.96125e-05
239,0.239,-4.04079e-05
240,0.24,-4.12086e-05
241,0.241,-4.20144e-05
242,0.242,-4.28249e-05
243,0.243,-4.36397e-05
244,0.244,-4.44585e-05
245,0.245,-4.52808e-05
246,0.246,-4.61063e-05
247,0.247,-4.69345e-05
248,0.248,-4.77648e-05
249,0.249,-4.85969e-05
250,0.25,-4.94301e-05
251,0.251,-5.0264e-05
252,0.252,-5.10979e-05
253,0.253,-5.19315e-05
254,0.254,-5.2764e-05
255,0.255,-5.3595e-05
256,0.256,-5.44238e-05
257,0.257,-5.52498e-05
258,0.258,-5.60722e-05
259,0.259,-5.68905e-05
260,0.26,-5.77038e-05
261,0.261,-5.85115e-05
262,0.262,-5.93128e-05
263,0.263,-6.0107e-05
264,0.264,-6.08932e-05
265,0.265,-6.16708e-05
266,0.266,-6.24388e-05
267,0.267,-6.31965e-05
268,0.268,-6.39428e-05
269,0.269,-6.4677e-05
270,0.27,-6.53981e-05
271,0.271,-6.61051e-05
272,0.272,-6.6797e-05
273,0.273,-6.74729e-05
274,0.274,-6.81319e-05
275,0.275,-6.87727e-05
276,0.276,-6.93945e-05
277,0.277,-6.99962e-05
278,0.278,-7.05765e-05
279,0.279,-7.11344e-05
280,0.28,-7.16687e-05
281,0.281,-7.21782e-05
282,0.282,-7.26617e-05
283,0.283,-7.3118e-05
284,0.284,-7.35458e-05
285,0.285,-7.3944e-05
286,0.286,-7.43112e-05
287,0.287,-7.4646e-05
288,0.288,-7.49472e-05
289,0.289,-7.52134e-05
290,0.29,-7.54431e-05
291,0.291,-7.56349e-05
292,0.292,-7.57875e-05
293,0.293,-7.58993e-05
294,0.294,-7.5969e-05
295,0.295,-7.59949e-05
296,0.296,-7.59756e-05
297,0.297,-7.59095e-05
298,0.298,-7.57951e-05
299,0.299,-7.56308e-05
300,0.3,-7.54149e-05
301,0.301,-7.51458e-05
302,0.302,-7.48219e-05
303,0.303,-7.44414e-05
304,0.304,-7.40028e-05
305,0.305,-7.35043e-05
306,0.306,-7.29442e-05
307,0.307,-7.23207e-05
308,0.308,-7.1632e-05
309,0.309,-7.08764e-05
310,0.31,-7.00522e-05
311,0.311,-6.91573e-05
312,0.312,-6.81902e-05
313,0.313,-6.71488e-05
314,0.314,-6.60313e-05
315,0.315,-6.48359e-05
316,0.316,-6.35607e-05
317,0.317,-6.22037e-05
318,0.318,-6.0763e-05
319,0.319,-5.92367e-05
320,0.32,-5.7623e-05
321,0.321,-5.59198e-05
322,0.322,-5.41253e-05
323,0.323,-5.22374e-05
324,0.324,-5.02542e-05
325,0.325,-4.81736e-05
326,0.326,-4.59936e-05
327,0.327,-4.37124e-05
328,0.328,-4.13279e-05
329,0.329,-3.88381e-05
330,0.33,-3.62411e-05
331,0.331,-3.35349e-05
332,0.332,-3.07175e-05
333,0.333,-2.77869e-05
334,0.334,-2.4741e-05
335,0.335,-2.15778e-05
336,0.336,-1.82954e-05
337,0.337,-1.48918e-05
338,0.338,-1.1365e-05
339,0.339,-7.71306e-06
340,0.34,-3.93415e-06
341,0.341,-2.63058e-08
342,0.342,4.01241e-06
343,0.343,8.18394e-06
344,0.344,1.24902e-05
345,0.345,1.69332e-05
346,0.346,2.15148e-05
347,0.347,2.62368e-05
348,0.348,3.1101e-05
349,0.349,3.61092e-05
350,0.35,4.1263e-05
351,0.351,4.65643e-05
352,0.352,5.20147e-05
353,0.353,5.7616e-05
354,0.354,6.337e-05
355,0.355,6.92783e-05
356,0.356,7.53426e-05
357,0.357,8.15644e-05
358,0.358,8.79453e-05
359,0.359,9.44866e-05
360,0.36,0.00010119
361,0.361,0.000108056
362,0.362,0.000115087
363,0.363,0.000122284
364,0.364,0.000129648
365,0.365,0.000137181
366,0.366,0.000144884
367,0.367,0.000152758
368,0.368,0.000160804
369,0.369,0.000169022
370,0.37,0.000177415
371,0.371,0.000185982
372,0.372,0.000194725
373,0.373,0.000203644
374,0.374,0.00021274
375,0.375,0.000222014
376,0.376,0.000231467
377,0.377,0.000241098
378,0.378,0.000250909
379,0.379,0.000260899
380,0.38,0.000271069
381,0.381,0.000281419
382,0.382,0.000291949
383,0.383,0.000302659
384,0.384,0.000313549
385,0.385,0.000324619
386,0.386,0.000335869
387,0.387,0.000347298
388,0.388,0.000358906
389,0.389,0.000370692
390,0.39,0.000382656
391,0.391,0.000394797
392,0.392,0.000407113
393,0.393,0.000419605
394,0.394,0.00043227
395,0.395,0.000445109
396,0.396,0.000458119
397,0.397,0.0004713
398,0.398,0.000484649
399,0.399,0.000498165
400,0.4,0.000511847
401,0.401,0.000525691
402,0.402,0.000539696
403,0.403,0.000553861
404,0.404,0.000568182
405,0.405,0.000582658
406,0.406,0.000597286
407,0.407,0.000612064
408,0.408,0.000626988
409,0.409,0.000642056
410,0.41,0.000657264
411,0.411,0.000672608
412,0.412,0.000688086
413,0.413,0.000703694
414,0.414,0.000719428
415,0.415,0.000735285
416,0.416,0.000751261
417,0.417,0.000767352
418,0.418,0.000783553
419,0.419,0.00079986
420,0.42,0.000816267
421,0.421,0.00083277
422,0.422,0.000849363
423,0.423,0.000866043
424,0.424,0.000882803
425,0.425,0.000899639
426,0.426,0.000916544
427,0.427,0.000933514
428,0.428,0.000950542
429,0.429,0.00096762
430,0.43,0.000984744
431,0.431,0.00100191
432,0.432,0.0010191
433,0.433,0.00103632
434,0.434,0.00105355
435,0.435,0.0010708
436,0.436,0.00108805
437,0.437,0.00110529
438,0.438,0.00112253
439,0.439,0.00113974
440,0.44,0.00115692
441,0.441,0.00117407
442,0.442,0.00119117
443,0.443,0.00120821
444,0.444,0.00122519
445,0.445,0.0012421
446,0.446,0.00125893
447,0.447,0.00127566
448,0.448,0.00129229
449,0.449,0.00130881
450,0.45,0.00132521
451,0.451,0.00134148
452,0.452,0.0013576
453,0.453,0.00137357
454,0.454,0.00138937
455,0.455,0.001405
456,0.456,0.00142044
457,0.457,0.00143568
458,0.458,0.00145071
459,0.459,0.00146552
460,0.46,0.0014801
461,0.461,0.00149442
462,0.462,0.00150848
463,0.463,0.00152228
464,0.464,0.00153578
465,0.465,0.00154899
466,0.466,0.00156188
467,0.467,0.00157445
468,0.468,0.00158668
469,0.469,0.00159856
470,0.47,0.00161007
471,0.471,0.00162119
472,0.472,0.00163192
473,0.473,0.00164224
474,0.474,0.00165213
475,0.475,0.00166157
476,0.476,0.00167057
477,0.477,0.00167909
478,0.478,0.00168712
479,0.479,0.00169465
480,0.48,0.00170166
481,0.481,0.00170813
482,0.482,0.00171406
483,0.483,0.00171941
484,0.484,0.00172417
485,0.485,0.00172834
486,0.486,0.00173189
487,0.487,0.0017348
488,0.488,0.00173706
489,0.489,0.00173865
490,0.49,0.00173955
491,0.491,0.00173974
492,0.492,0.00173921
493,0.493,0.00173793
494,0.494,0.0017359
495,0.495,0.00173309
496,0.496,0.00172948
497,0.497,0.00172506
498,0.498,0.00171981
499,0.499,0.0017137
500,0.5,0.00170672
501,0.501,0.00169885
502,0.502,0.00169008
503,0.503,0.00168037
504,0.504,0.00166972
505,0.505,0.0016581
506,0.506,0.00164549
507,0.507,0.00163188
508,0.508,0.00161725
509,0.509,0.00160157
510,0.51,0.00158483
511,0.511,0.00156701
512,0.512,0.00154808
513,0.513,0.00152802
514,0.514,0.00150683
515,0.515,0.00148447
516,0.516,0.00146093
517,0.517,0.00143619
518,0.518,0.00141023
519,0.519,0.00138303
520,0.52,0.00135456
521,0.521,0.00132481
522,0.522,0.00129376
523,0.523,0.00126139
524,0.524,0.00122768
525,0.525,0.00119261
526,0.526,0.00115616
527,0.527,0.00111831
528,0.528,0.00107905
529,0.529,0.00103834
530,0.53,0.000996176
531,0.531,0.000952534
532,0.532,0.000907395
533,0.533,0.00086074
534,0.534,0.000812551
535,0.535,0.00076281
536,0.536,0.000711498
537,0.537,0.000658597
538,0.538,0.000604087
539,0.539,0.00054795
540,0.54,0.000490167
541,0.541,0.000430719
542,0.542,0.00036959
543,0.543,0.000306762
544,0.544,0.000242219
545,0.545,0.000175943
546,0.546,0.000107919
547,0.547,3.81289e-05
548,0.548,-3.34437e-05
549,0.549,-0.000106816
550,0.55,-0.000182004
551,0.551,-0.000259025
552,0.552,-0.000337892
553,0.553,-0.000418622
554,0.554,-0.000501227
555,0.555,-0.000585723
556,0.556,-0.000672122
557,0.557,-0.00076044
558,0.558,-0.000850689
559,0.559,-0.000942885
560,0.56,-0.00103704
561,0.561,-0.00113317
562,0.562,-0.00123128
563,0.563,-0.00133138
564,0.564,-0.0014335
565,0.565,-0.00153763
566,0.566,-0.00164378
567,0.567,-0.00175197
568,0.568,-0.00186221
569,0.569,-0.0019745
570,0.57,-0.00208887
571,0.571,-0.0022053
572,0.572,-0.00232382
573,0.573,-0.00244442
574,0.574,-0.00256712
575,0.575,-0.00269192
576,0.576,-0.00281883
577,0.577,-0.00294785
578,0.578,-0.00307898
579,0.579,-0.00321223
580,0.58,-0.00334761
581,0.581,-0.00348512
582,0.582,-0.00362475
583,0.583,-0.00376652
584,0.584,-0.00391042
585,0.585,-0.00405645
586,0.586,-0.00420461
587,0.587,-0.0043549
588,0.588,-0.00450732
589,0.589,-0.00466187
590,0.59,-0.00481854
591,0.591,-0.00497734
592,0.592,-0.00513825
593,0.593,-0.00530127
594,0.594,-0.00546641
