index,time,amplitude
0,0,0
1,0.001,0
2,0.002,0
3,0.003,-1.27625e-54
4,0.004,-1.37148e-52
5,0.005,-4.10322e-51
6,0.006,-5.9359e-50
7,0.007,-5.21245e-49
8,0.008,-3.13288e-48
9,0.009,-1.38714e-47
10,0.01,-4.75389e-47
11,0.011,-1.30874e-46
12,0.012,-2.993e-46
13,0.013,-5.89742e-46
14,0.014,-1.03465e-45
15,0.015,-1.57293e-45
16,0.016,-1.41899e-45
17,0.017,3.4457e-45
18,0.018,2.74106e-44
19,0.019,1.11513e-43
20,0.02,3.55622e-43
21,0.021,9.78193e-43
22,0.022,2.42849e-42
23,0.023,5.60668e-42
24,0.024,1.23012e-41
25,0.025,2.60215e-41
26,0.026,5.34545e-41
27,0.027,1.06736e-40
28,0.028,2.06542e-40
29,0.029,3.85606e-40
30,0.03,6.91761e-40
31,0.031,1.18904e-39
32,0.032,1.95515e-39
33,0.033,3.07374e-39
34,0.034,4.62083e-39
35,0.035,6.6461e-39
36,0.036,9.15207e-39
37,0.037,1.20775e-38
38,0.038,1.52967e-38
39,0.039,1.86558e-38
40,0.04,2.20803e-38
41,0.041,2.58087e-38
42,0.042,3.08328e-38
43,0.043,3.9658e-38
44,0.044,5.7527e-38
45,0.045,9.42898e-38
46,0.046,1.67132e-37
47,0.047,3.04399e-37
48,0.048,5.50772e-37
49,0.049,9.74007e-37
50,0.05,1.67341e-36
51,0.051,2.78999e-36
52,0.052,4.51813e-36
53,0.053,7.118e-36
54,0.054,1.0928e-35
55,0.055,1.63761e-35
56,0.056,2.39879e-35
57,0.057,3.43921e-35
58,0.058,4.83202e-35
59,0.059,6.66023e-35
60,0.06,9.01579e-35
61,0.061,1.19984e-34
62,0.062,1.57137e-34
63,0.063,2.02715e-34
64,0.064,2.5783e-34
65,0.065,3.23564e-34
66,0.066,4.00915e-34
67,0.067,4.90691e-34
68,0.068,5.93365e-34
69,0.069,7.08851e-34
70,0.07,8.36177e-34
71,0.071,9.73052e-34
72,0.072,1.11529e-33
73,0.073,1.25609e-33
74,0.074,1.38519e-33
75,0.075,1.48789e-33
76,0.076,1.54401e-33
77,0.077,1.52681e-33
78,0.078,1.40204e-33
79,0.079,1.12705e-33
80,0.08,6.50214e-34
81,0.081,-8.93601e-35
82,0.082,-1.16166e-33
83,0.083,-2.64519e-33
84,0.084,-4.62592e-33
85,0.085,-7.19588e-33
86,0.086,-1.04514e-32
87,0.087,-1.44914e-32
88,0.088,-1.94159e-32
89,0.089,-2.53249e-32
90,0.09,-3.23182e-32
91,0.091,-4.04971e-32
92,0.092,-4.9967e-32
93,0.093,-6.08424e-32
94,0.094,-7.32545e-32
95,0.095,-8.73606e-32
96,0.096,-1.03356e-31
97,0.097,-1.21488e-31
98,0.098,-1.42071e-31
99,0.099,-1.65502e-31
100,0.1,-1.92278e-31
101,0.101,-2.23009e-31
102,0.102,-2.5843e-31
103,0.103,-2.99412e-31
104,0.104,-3.46965e-31
105,0.105,-4.02242e-31
106,0.106,-4.66529e-31
107,0.107,-5.41239e-31
108,0.108,-6.27898e-31
109,0.109,-7.28123e-31
110,0.11,-8.43604e-31
111,0.111,-9.76079e-31
112,0.112,-1.12731e-30
113,0.113,-1.29908e-30
114,0.114,-1.49314e-30
115,0.115,-1.71125e-30
116,0.116,-1.95516e-30
117,0.117,-2.22664e-30
118,0.118,-2.52753e-30
119,0.119,-2.8598e-30
120,0.12,-3.22564e-30
121,0.121,-3.62756e-30
122,0.122,-4.06857e-30
123,0.123,-4.55228e-30
124,0.124,-5.08311e-30
125,0.125,-5.66644e-30
126,0.126,-6.30881e-30
127,0.127,-7.01804e-30
128,0.128,-7.80337e-30
129,0.129,-8.67556e-30
130,0.13,-9.64691e-30
131,0.131,-1.07312e-29
132,0.132,-1.19437e-29
133,0.133,-1.33008e-29
134,0.134,-1.48202e-29
135,0.135,-1.652e-29
136,0.136,-1.84191e-29
137,0.137,-2.05366e-29
138,0.138,-2.28916e-29
139,0.139,-2.5503e-29
140,0.14,-2.83899e-29
141,0.141,-3.1571e-29
142,0.142,-3.50657e-29
143,0.143,-3.88944e-29
144,0.144,-4.30793e-29
145,0.145,-4.76454e-29
146,0.146,-5.26221e-29
147,0.147,-5.80443e-29
148,0.148,-6.39541e-29
149,0.149,-7.04025e-29
150,0.15,-7.74509e-29
151,0.151,-8.51724e-29
152,0.152,-9.36529e-29
153,0.153,-1.02992e-28
154,0.154,-1.13303e-28
155,0.155,-1.24713e-28
156,0.156,-1.37364e-28
157,0.157,-1.51406e-28
158,0.158,-1.67002e-28
159,0.159,-1.84323e-28
160,0.16,-2.03546e-28
161,0.161,-2.24851e-28
162,0.162,-2.4842e-28
163,0.163,-2.74434e-28
164,0.164,-3.03075e-28
165,0.165,-3.34521e-28
166,0.166,-3.6895e-28
167,0.167,-4.06542e-28
168,0.168,-4.47481e-28
169,0.169,-4.9196e-28
170,0.17,-5.40188e-28
171,0.171,-5.92398e-28
172,0.172,-6.4885e-28
173,0.173,-7.09847e-28
174,0.174,-7.75739e-28
175,0.175,-8.46931e-28
176,0.176,-9.23895e-28
177,0.177,-1.00717e-27
178,0.178,-1.09737e-27
179,0.179,-1.19519e-27
180,0.18,-1.30138e-27
181,0.181,-1.41678e-27
182,0.182,-1.54229e-27
183,0.183,-1.67885e-27
184,0.184,-1.82746e-27
185,0.185,-1.98913e-27
186,0.186,-2.16491e-27
187,0.187,-2.35582e-27
188,0.188,-2.56291e-27
189,0.189,-2.78721e-27
190,0.19,-3.02972e-27
191,0.191,-3.29145e-27
192,0.192,-3.57342e-27
193,0.193,-3.87666e-27
194,0.194,-4.20226e-27
195,0.195,-4.55138e-27
196,0.196,-4.92532e-27
197,0.197,-5.32551e-27
198,0.198,-5.75362e-27
199,0.199,-6.21154e-27
200,0.2,-6.70146e-27
201,0.201,-7.2259e-27
202,0.202,-7.7877e-27
203,0.203,-8.3901e-27
204,0.204,-9.03665e-27
205,0.205,-9.73131e-27
206,0.206,-1.04783e-26
207,0.207,-1.12822e-26
208,0.208,-1.21478e-26
209,0.209,-1.30801e-26
210,0.21,-1.4084e-26
211,0.211,-1.51649e-26
212,0.212,-1.63279e-26
213,0.213,-1.7578e-26
214,0.214,-1.89203e-26
215,0.215,-2.03599e-26
216,0.216,-2.19017e-26
217,0.217,-2.35506e-26
218,0.218,-2.53116e-26
219,0.219,-2.71899e-26
220,0.22,-2.91909e-26
221,0.221,-3.13206e-26
222,0.222,-3.35853e-26
223,0.223,-3.59923e-26
224,0.224,-3.85498e-26
225,0.225,-4.12669e-26
226,0.226,-4.4154e-26
227,0.227,-4.72227e-26
228,0.228,-5.0486e-26
229,0.229,-5.39581e-26
230,0.23,-5.76545e-26
231,0.231,-6.15918e-26
232,0.232,-6.57877e-26
233,0.233,-7.02607e-26
234,0.234,-7.50298e-26
235,0.235,-8.01144e-26
236,0.236,-8.55343e-26
237,0.237,-9.13089e-26
238,0.238,-9.74576e-26
239,0.239,-1.03999e-25
240,0.24,-1.10953e-25
241,0.241,-1.18337e-25
242,0.242,-1.2617e-25
243,0.243,-1.3447e-25
244,0.244,-1.43256e-25
245,0.245,-1.52548e-25
246,0.246,-1.62368e-25
247,0.247,-1.72739e-25
248,0.248,-1.83687e-25
249,0.249,-1.95241e-25
250,0.25,-2.07434e-25
251,0.251,-2.20302e-25
252,0.252,-2.33885e-25
253,0.253,-2.48229e-25
254,0.254,-2.63383e-25
255,0.255,-2.79401e-25
256,0.256,-2.96339e-25
257,0.257,-3.14257e-25
258,0.258,-3.33219e-25
259,0.259,-3.53288e-25
260,0.26,-3.74531e-25
261,0.261,-3.97013e-25
262,0.262,-4.20799e-25
263,0.263,-4.45954e-25
264,0.264,-4.72541e-25
265,0.265,-5.00624e-25
266,0.266,-5.30261e-25
267,0.267,-5.61514e-25
268,0.268,-5.94444e-25
269,0.269,-6.29111e-25
270,0.27,-6.6558e-25
271,0.271,-7.03918e-25
272,0.272,-7.442e-25
273,0.273,-7.86504e-25
274,0.274,-8.30921e-25
275,0.275,-8.77547e-25
276,0.276,-9.26494e-25
277,0.277,-9.77882e-25
278,0.278,-1.03184e-24
279,0.279,-1.08852e-24
280,0.28,-1.14808e-24
281,0.281,-1.21067e-24
282,0.282,-1.27648e-24
283,0.283,-1.34568e-24
284,0.284,-1.41845e-24
285,0.285,-1.49499e-24
286,0.286,-1.57549e-24
287,0.287,-1.66011e-24
288,0.288,-1.74905e-24
289,0.289,-1.84249e-24
290,0.29,-1.9406e-24
291,0.291,-2.04354e-24
292,0.292,-2.15148e-24
293,0.293,-2.26459e-24
294,0.294,-2.38304e-24
295,0.295,-2.507e-24
296,0.296,-2.63665e-24
297,0.297,-2.7722e-24
298,0.298,-2.91385e-24
299,0.299,-3.06184e-24
300,0.3,-3.21644e-24
301,0.301,-3.37793e-24
302,0.302,-3.54664e-24
303,0.303,-3.72291e-24
304,0.304,-3.90712e-24
305,0.305,-4.09968e-24
306,0.306,-4.30101e-24
307,0.307,-4.51158e-24
308,0.308,-4.73184e-24
309,0.309,-4.96226e-24
310,0.31,-5.20333e-24
311,0.311,-5.45553e-24
312,0.312,-5.71932e-24
313,0.313,-5.99516e-24
314,0.314,-6.2835e-24
315,0.315,-6.58479e-24
316,0.316,-6.89943e-24
317,0.317,-7.22784e-24
318,0.318,-7.57044e-24
319,0.319,-7.92763e-24
320,0.32,-8.29984e-24
321,0.321,-8.68751e-24
322,0.322,-9.09111e-24
323,0.323,-9.51115e-24
324,0.324,-9.9482e-24
325,0.325,-1.04029e-23
326,0.326,-1.08759e-23
327,0.327,-1.13679e-23
328,0.328,-1.18798e-23
329,0.329,-1.24124e-23
330,0.33,-1.29667e-23
331,0.331,-1.35437e-23
332,0.332,-1.41444e-23
333,0.333,-1.47698e-23
334,0.334,-1.54211e-23
335,0.335,-1.60993e-23
336,0.336,-1.68055e-23
337,0.337,-1.75408e-23
338,0.338,-1.83062e-23
339,0.339,-1.91026e-23
340,0.34,-1.99311e-23
341,0.341,-2.07926e-23
342,0.342,-2.16879e-23
343,0.343,-2.26179e-23
344,0.344,-2.35836e-23
345,0.345,-2.45858e-23
346,0.346,-2.56255e-23
347,0.347,-2.67036e-23
348,0.348,-2.78213e-23
349,0.349,-2.89798e-23
350,0.35,-3.01802e-23
351,0.351,-3.14242e-23
352,0.352,-3.27132e-23
353,0.353,-3.40489e-23
354,0.354,-3.54333e-23
355,0.355,-3.68682e-23
356,0.356,-3.83558e-23
357,0.357,-3.98982e-23
358,0.358,-4.14976e-23
359,0.359,-4.31562e-23
360,0.36,-4.48764e-23
361,0.361,-4.66602e-23
362,0.362,-4.851e-23
363,0.363,-5.04277e-23
364,0.364,-5.24154e-23
365,0.365,-5.44749e-23
366,0.366,-5.66082e-23
367,0.367,-5.88169e-23
368,0.368,-6.11029e-23
369,0.369,-6.34678e-23
370,0.37,-6.59133e-23
371,0.371,-6.84412e-23
372,0.372,-7.10535e-23
373,0.373,-7.37522e-23
374,0.374,-7.65395e-23
375,0.375,-7.94179e-23
376,0.376,-8.23901e-23
377,0.377,-8.54592e-23
378,0.378,-8.86283e-23
379,0.379,-9.19009e-23
380,0.38,-9.52808e-23
381,0.381,-9.87718e-23
382,0.382,-1.02378e-22
383,0.383,-1.06104e-22
384,0.384,-1.09953e-22
385,0.385,-1.1393e-22
386,0.386,-1.18038e-22
387,0.387,-1.22283e-22
388,0.388,-1.26667e-22
389,0.389,-1.31194e-22
390,0.39,-1.35867e-22
391,0.391,-1.40691e-22
392,0.392,-1.45667e-22
393,0.393,-1.50798e-22
394,0.394,-1.56089e-22
395,0.395,-1.61541e-22
396,0.396,-1.67157e-22
397,0.397,-1.72941e-22
398,0.398,-1.78896e-22
399,0.399,-1.85026e-22
400,0.4,-1.91335e-22
401,0.401,-1.97828e-22
402,0.402,-2.0451e-22
403,0.403,-2.11385e-22
404,0.404,-2.18462e-22
405,0.405,-2.25745e-22
406,0.406,-2.33241e-22
407,0.407,-2.40957e-22
408,0.408,-2.48901e-22
409,0.409,-2.5708e-22
410,0.41,-2.655e-22
411,0.411,-2.74168e-22
412,0.412,-2.83092e-22
413,0.413,-2.92276e-22
414,0.414,-3.01727e-22
415,0.415,-3.11451e-22
416,0.416,-3.21452e-22
417,0.417,-3.31734e-22
418,0.418,-3.42303e-22
419,0.419,-3.53163e-22
420,0.42,-3.64318e-22
421,0.421,-3.75772e-22
422,0.422,-3.87529e-22
423,0.423,-3.99596e-22
424,0.424,-4.11976e-22
425,0.425,-4.24678e-22
426,0.426,-4.37706e-22
427,0.427,-4.5107e-22
428,0.428,-4.64778e-22
429,0.429,-4.78838e-22
430,0.43,-4.93261e-22
431,0.431,-5.08056e-22
432,0.432,-5.23235e-22
433,0.433,-5.38808e-22
434,0.434,-5.54785e-22
435,0.435,-5.71178e-22
436,0.436,-5.87996e-22
437,0.437,-6.05249e-22
438,0.438,-6.22945e-22
439,0.439,-6.41094e-22
440,0.44,-6.59701e-22
441,0.441,-6.78773e-22
442,0.442,-6.98317e-22
443,0.443,-7.18338e-22
444,0.444,-7.38841e-22
445,0.445,-7.59829e-22
446,0.446,-7.8131e-22
447,0.447,-8.03287e-22
448,0.448,-8.25766e-22
449,0.449,-8.48755e-22
450,0.45,-8.72261e-22
451,0.451,-8.96293e-22
452,0.452,-9.2086e-22
453,0.453,-9.45974e-22
454,0.454,-9.71646e-22
455,0.455,-9.97891e-22
456,0.456,-1.02472e-21
457,0.457,-1.05215e-21
458,0.458,-1.08019e-21
459,0.459,-1.10886e-21
460,0.46,-1.13818e-21
461,0.461,-1.16815e-21
462,0.462,-1.19878e-21
463,0.463,-1.23009e-21
464,0.464,-1.26209e-21
465,0.465,-1.29478e-21
466,0.466,-1.32817e-21
467,0.467,-1.36226e-21
468,0.468,-1.39707e-21
469,0.469,-1.43258e-21
470,0.47,-1.46882e-21
471,0.471,-1.50577e-21
472,0.472,-1.54344e-21
473,0.473,-1.58185e-21
474,0.474,-1.62098e-21
475,0.475,-1.66085e-21
476,0.476,-1.70147e-21
477,0.477,-1.74284e-21
478,0.478,-1.78499e-21
479,0.479,-1.82791e-21
480,0.48,-1.87162e-21
481,0.481,-1.91615e-21
482,0.482,-1.9615e-21
483,0.483,-2.00769e-21
484,0.484,-2.05473e-21
485,0.485,-2.10264e-21
486,0.486,-2.15143e-21
487,0.487,-2.20111e-21
488,0.488,-2.25168e-21
489,0.489,-2.30317e-21
490,0.49,-2.35556e-21
491,0.491,-2.40886e-21
492,0.492,-2.46307e-21
493,0.493,-2.51819e-21
494,0.494,-2.57421e-21
495,0.495,-2.63113e-21
496,0.496,-2.68894e-21
497,0.497,-2.74765e-21
498,0.498,-2.80724e-21
499,0.499,-2.86771e-21
500,0.5,-2.92907e-21
501,0.501,-2.99131e-21
502,0.502,-3.05444e-21
503,0.503,-3.11846e-21
504,0.504,-3.18339e-21
505,0.505,-3.24921e-21
506,0.506,-3.31596e-21
507,0.507,-3.38363e-21
508,0.508,-3.45224e-21
509,0.509,-3.52179e-21
510,0.51,-3.59229e-21
511,0.511,-3.66374e-21
512,0.512,-3.73615e-21
513,0.513,-3.80951e-21
514,0.514,-3.88382e-21
515,0.515,-3.95907e-21
516,0.516,-4.03524e-21
517,0.517,-4.11232e-21
518,0.518,-4.19029e-21
519,0.519,-4.26914e-21
520,0.52,-4.34882e-21
521,0.521,-4.42934e-21
522,0.522,-4.51065e-21
523,0.523,-4.59274e-21
524,0.524,-4.67559e-21
525,0.525,-4.75917e-21
526,0.526,-4.84347e-21
527,0.527,-4.92847e-21
528,0.528,-5.01416e-21
529,0.529,-5.10052e-21
530,0.53,-5.18755e-21
531,0.531,-5.27524e-21
532,0.532,-5.36356e-21
533,0.533,-5.45252e-21
534,0.534,-5.5421e-21
535,0.535,-5.63229e-21
536,0.536,-5.72305e-21
537,0.537,-5.81437e-21
538,0.538,-5.90623e-21
539,0.539,-5.99858e-21
540,0.54,-6.09139e-21
541,0.541,-6.18462e-21
542,0.542,-6.27821e-21
543,0.543,-6.37212e-21
544,0.544,-6.46628e-21
545,0.545,-6.56065e-21
546,0.546,-6.65515e-21
547,0.547,-6.74974e-21
548,0.548,-6.84434e-21
549,0.549,-6.93891e-21
550,0.55,-7.03337e-21
551,0.551,-7.12768e-21
552,0.552,-7.22177e-21
553,0.553,-7.31559e-21
554,0.554,-7.40909e-21
