index,time,amplitude
0,0,0
1,0.001,0
2,0.002,-1.11746e-19
3,0.003,-1.85067e-18
4,0.004,-1.41809e-17
5,0.005,-6.96618e-17
6,0.006,-2.55095e-16
7,0.007,-7.56999e-16
8,0.008,-1.91606e-15
9,0.009,-4.27852e-15
10,0.01,-8.62874e-15
11,0.011,-1.59886e-14
12,0.012,-2.75765e-14
13,0.013,-4.4734e-14
14,0.014,-6.88457e-14
15,0.015,-1.01304e-13
16,0.016,-1.43591e-13
17,0.017,-1.97576e-13
18,0.018,-2.66131e-13
19,0.019,-3.54187e-13
20,0.02,-4.70332e-13
21,0.021,-6.29032e-13
22,0.022,-8.53525e-13
23,0.023,-1.17936e-12
24,0.024,-1.65852e-12
25,0.025,-2.36398e-12
26,0.026,-3.3944e-12
27,0.027,-4.87882e-12
28,0.028,-6.98084e-12
29,0.029,-9.90203e-12
30,0.03,-1.38842e-11
31,0.031,-1.92102e-11
32,0.032,-2.62032e-11
33,0.033,-3.52237e-11
34,0.034,-4.66659e-11
35,0.035,-6.09511e-11
36,0.036,-7.85215e-11
37,0.037,-9.98327e-11
38,0.038,-1.25347e-10
39,0.039,-1.55527e-10
40,0.04,-1.90833e-10
41,0.041,-2.31723e-10
42,0.042,-2.78654e-10
43,0.043,-3.32092e-10
44,0.044,-3.92524e-10
45,0.045,-4.60479e-10
46,0.046,-5.36547e-10
47,0.047,-6.21408e-10
48,0.048,-7.15863e-10
49,0.049,-8.20865e-10
50,0.05,-9.3755e-10
51,0.051,-1.06727e-09
52,0.052,-1.21161e-09
53,0.053,-1.37242e-09
54,0.054,-1.55181e-09
55,0.055,-1.75217e-09
56,0.056,-1.97615e-09
57,0.057,-2.22665e-09
58,0.058,-2.50679e-09
59,0.059,-2.81988e-09
60,0.06,-3.16935e-09
61,0.061,-3.55876e-09
62,0.062,-3.99172e-09
63,0.063,-4.47185e-09
64,0.064,-5.00275e-09
65,0.065,-5.58799e-09
66,0.066,-6.23109e-09
67,0.067,-6.93554e-09
68,0.068,-7.7048e-09
69,0.069,-8.5424e-09
70,0.07,-9.45193e-09
71,0.071,-1.04372e-08
72,0.072,-1.15022e-08
73,0.073,-1.26515e-08
74,0.074,-1.389e-08
75,0.075,-1.5223e-08
76,0.076,-1.66569e-08
77,0.077,-1.81985e-08
78,0.078,-1.98554e-08
79,0.079,-2.16361e-08
80,0.08,-2.355e-08
81,0.081,-2.5607e-08
82,0.082,-2.78179e-08
83,0.083,-3.01939e-08
84,0.084,-3.2747e-08
85,0.085,-3.54892e-08
86,0.086,-3.84329e-08
87,0.087,-4.15905e-08
88,0.088,-4.49743e-08
89,0.089,-4.85966e-08
90,0.09,-5.24693e-08
91,0.091,-5.66041e-08
92,0.092,-6.10127e-08
93,0.093,-6.57064e-08
94,0.094,-7.06965e-08
95,0.095,-7.59947e-08
96,0.096,-8.16128e-08
97,0.097,-8.75633e-08
98,0.098,-9.38595e-08
99,0.099,-1.00516e-07
100,0.1,-1.07548e-07
101,0.101,-1.14973e-07
102,0.102,-1.2281e-07
103,0.103,-1.31079e-07
104,0.104,-1.39804e-07
105,0.105,-1.49006e-07
106,0.106,-1.58714e-07
107,0.107,-1.68952e-07
108,0.108,-1.7975e-07
109,0.109,-1.91137e-07
110,0.11,-2.03141e-07
111,0.111,-2.15793e-07
112,0.112,-2.29121e-07
113,0.113,-2.43156e-07
114,0.114,-2.57925e-07
115,0.115,-2.73457e-07
116,0.116,-2.89777e-07
117,0.117,-3.06913e-07
118,0.118,-3.2489e-07
119,0.119,-3.43732e-07
120,0.12,-3.63466e-07
121,0.121,-3.84117e-07
122,0.122,-4.05712e-07
123,0.123,-4.28278e-07
124,0.124,-4.51845e-07
125,0.125,-4.76446e-07
126,0.126,-5.02115e-07
127,0.127,-5.2889e-07
128,0.128,-5.5681e-07
129,0.129,-5.8592e-07
130,0.13,-6.16265e-07
131,0.131,-6.47894e-07
132,0.132,-6.80859e-07
133,0.133,-7.1521e-07
134,0.134,-7.51002e-07
135,0.135,-7.88288e-07
136,0.136,-8.27121e-07
137,0.137,-8.67554e-07
138,0.138,-9.09637e-07
139,0.139,-9.5342e-07
140,0.14,-9.9895e-07
141,0.141,-1.04627e-06
142,0.142,-1.09543e-06
143,0.143,-1.14646e-06
144,0.144,-1.19941e-06
145,0.145,-1.25432e-06
146,0.146,-1.31122e-06
147,0.147,-1.37016e-06
148,0.148,-1.43118e-06
149,0.149,-1.49433e-06
150,0.15,-1.55964e-06
151,0.151,-1.62718e-06
152,0.152,-1.697e-06
153,0.153,-1.76916e-06
154,0.154,-1.84372e-06
155,0.155,-1.92075e-06
156,0.156,-2.00033e-06
157,0.157,-2.08251e-06
158,0.158,-2.16739e-06
159,0.159,-2.25503e-06
160,0.16,-2.3455e-06
161,0.161,-2.43889e-06
162,0.162,-2.53525e-06
163,0.163,-2.63466e-06
164,0.164,-2.73718e-06
165,0.165,-2.84286e-06
166,0.166,-2.95176e-06
167,0.167,-3.06394e-06
168,0.168,-3.17942e-06
169,0.169,-3.29827e-06
170,0.17,-3.42051e-06
171,0.171,-3.54619e-06
172,0.172,-3.67534e-06
173,0.173,-3.80802e-06
174,0.174,-3.94425e-06
175,0.175,-4.0841e-06
176,0.176,-4.22761e-06
177,0.177,-4.37483e-06
178,0.178,-4.52583e-06
179,0.179,-4.68067e-06
180,0.18,-4.83942e-06
181,0.181,-5.00214e-06
182,0.182,-5.16893e-06
183,0.183,-5.33983e-06
184,0.184,-5.51494e-06
185,0.185,-5.69431e-06
186,0.186,-5.87801e-06
187,0.187,-6.0661e-06
188,0.188,-6.25864e-06
189,0.189,-6.45566e-06
190,0.19,-6.6572e-06
191,0.191,-6.86329e-06
192,0.192,-7.07396e-06
193,0.193,-7.28922e-06
194,0.194,-7.50907e-06
195,0.195,-7.73352e-06
196,0.196,-7.96257e-06
197,0.197,-8.19622e-06
198,0.198,-8.43447e-06
199,0.199,-8.67732e-06
200,0.2,-8.92478e-06
201,0.201,-9.17684e-06
202,0.202,-9.43353e-06
203,0.203,-9.69485e-06
204,0.204,-9.96082e-06
205,0.205,-1.02315e-05
206,0.206,-1.05068e-05
207,0.207,-1.07868e-05
208,0.208,-1.10716e-05
209,0.209,-1.13611e-05
210,0.21,-1.16554e-05
211,0.211,-1.19544e-05
212,0.212,-1.22582e-05
213,0.213,-1.25667e-05
214,0.214,-1.28799e-05
215,0.215,-1.31977e-05
216,0.216,-1.35201e-05
217,0.217,-1.3847e-05
218,0.218,-1.41784e-05
219,0.219,-1.45141e-05
220,0.22,-1.4854e-05
221,0.221,-1.51981e-05
222,0.222,-1.55462e-05
223,0.223,-1.58982e-05
224,0.224,-1.62541e-05
225,0.225,-1.66136e-05
226,0.226,-1.69768e-05
227,0.227,-1.73434e-05
228,0.228,-1.77134e-05
229,0.229,-1.80867e-05
230,0.23,-1.84631e-05
231,0.231,-1.88426e-05
232,0.232,-1.9225e-05
233,0.233,-1.96103e-05
234,0.234,-1.99982e-05
235,0.235,-2.03887e-05
236,0.236,-2.07816e-05
237,0.237,-2.11768e-05
238,0.238,-2.1574e-05
239,0.239,-2.19731e-05
240,0.24,-2.23738e-05
241,0.241,-2.2776e-05
242,0.242,-2.31793e-05
243,0.243,-2.35836e-05
244,0.244,-2.39885e-05
245,0.245,-2.43938e-05
246,0.246,-2.47992e-05
247,0.247,-2.52043e-05
248,0.248,-2.5609e-05
249,0.249,-2.60128e-05
250,0.25,-2.64155e-05
251,0.251,-2.68168e-05
252,0.252,-2.72163e-05
253,0.253,-2.76137e-05
254,0.254,-2.80087e-05
255,0.255,-2.8401e-05
256,0.256,-2.87902e-05
257,0.257,-2.91761e-05
258,0.258,-2.95582e-05
259,0.259,-2.99362e-05
260,0.26,-3.03097e-05
261,0.261,-3.06784e-05
262,0.262,-3.10418e-05
263,0.263,-3.13995e-05
264,0.264,-3.17511e-05
265,0.265,-3.20961e-05
266,0.266,-3.2434e-05
267,0.267,-3.27644e-05
268,0.268,-3.30867e-05
269,0.269,-3.34004e-05
270,0.27,-3.37049e-05
271,0.271,-3.39998e-05
272,0.272,-3.42845e-05
273,0.273,-3.45584e-05
274,0.274,-3.4821e-05
275,0.275,-3.50716e-05
276,0.276,-3.53098e-05
277,0.277,-3.55348e-05
278,0.278,-3.57462e-05
279,0.279,-3.59433e-05
280,0.28,-3.61255e-05
281,0.281,-3.62922e-05
282,0.282,-3.64428e-05
283,0.283,-3.65766e-05
284,0.284,-3.6693e-05
285,0.285,-3.67913e-05
286,0.286,-3.68708e-05
287,0.287,-3.69309e-05
288,0.288,-3.69708e-05
289,0.289,-3.69897e-05
290,0.29,-3.69871e-05
291,0.291,-3.6962e-05
292,0.292,-3.69138e-05
293,0.293,-3.68417e-05
294,0.294,-3.67448e-05
295,0.295,-3.66224e-05
296,0.296,-3.64738e-05
297,0.297,-3.6298e-05
298,0.298,-3.60943e-05
299,0.299,-3.58619e-05
300,0.3,-3.55999e-05
301,0.301,-3.53075e-05
302,0.302,-3.49839e-05
303,0.303,-3.46281e-05
304,0.304,-3.42393e-05
305,0.305,-3.38167e-05
306,0.306,-3.33594e-05
307,0.307,-3.28664e-05
308,0.308,-3.23369e-05
309,0.309,-3.17699e-05
310,0.31,-3.11646e-05
311,0.311,-3.05199e-05
312,0.312,-2.9835e-05
313,0.313,-2.91089e-05
314,0.314,-2.83406e-05
315,0.315,-2.75293e-05
316,0.316,-2.6674e-05
317,0.317,-2.57737e-05
318,0.318,-2.48275e-05
319,0.319,-2.38345e-05
320,0.32,-2.27938e-05
321,0.321,-2.17043e-05
322,0.322,-2.05653e-05
323,0.323,-1.93756e-05
324,0.324,-1.81345e-05
325,0.325,-1.6841e-05
326,0.326,-1.5494e-05
327,0.327,-1.40928e-05
328,0.328,-1.26361e-05
329,0.329,-1.11232e-05
330,0.33,-9.55303e-06
331,0.331,-7.92454e-06
332,0.332,-6.23676e-06
333,0.333,-4.48869e-06
334,0.334,-2.67932e-06
335,0.335,-8.07652e-07
336,0.336,1.12729e-06
337,0.337,3.12649e-06
338,0.338,5.19089e-06
339,0.339,7.32143e-06
340,0.34,9.51901e-06
341,0.341,1.17845e-05
342,0.342,1.41188e-05
343,0.343,1.65227e-05
344,0.344,1.8997e-05
345,0.345,2.15425e-05
346,0.346,2.41599e-05
347,0.347,2.68501e-05
348,0.348,2.96137e-05
349,0.349,3.24515e-05
350,0.35,3.53642e-05
351,0.351,3.83527e-05
352,0.352,4.14176e-05
353,0.353,4.45596e-05
354,0.354,4.77796e-05
355,0.355,5.10784e-05
356,0.356,5.44566e-05
357,0.357,5.79151e-05
358,0.358,6.14545e-05
359,0.359,6.50757e-05
360,0.36,6.87793e-05
361,0.361,7.2566e-05
362,0.362,7.64364e-05
363,0.363,8.0391e-05
364,0.364,8.44304e-05
365,0.365,8.8555e-05
366,0.366,9.27652e-05
367,0.367,9.70612e-05
368,0.368,0.000101443
369,0.369,0.000105912
370,0.37,0.000110467
371,0.371,0.000115109
372,0.372,0.000119837
373,0.373,0.000124653
374,0.374,0.000129555
375,0.375,0.000134543
376,0.376,0.000139619
377,0.377,0.000144782
378,0.378,0.000150031
379,0.379,0.000155368
380,0.38,0.000160791
381,0.381,0.000166302
382,0.382,0.000171899
383,0.383,0.000177584
384,0.384,0.000183355
385,0.385,0.000189213
386,0.386,0.000195158
387,0.387,0.000201188
388,0.388,0.000207305
389,0.389,0.000213507
390,0.39,0.000219794
391,0.391,0.000226164
392,0.392,0.000232618
393,0.393,0.000239154
394,0.394,0.000245771
395,0.395,0.000252468
396,0.396,0.000259244
397,0.397,0.000266098
398,0.398,0.000273028
399,0.399,0.000280033
400,0.4,0.000287113
401,0.401,0.000294264
402,0.402,0.000301487
403,0.403,0.00030878
404,0.404,0.000316141
405,0.405,0.000323569
406,0.406,0.000331064
407,0.407,0.000338622
408,0.408,0.000346244
409,0.409,0.000353927
410,0.41,0.00036167
411,0.411,0.000369471
412,0.412,0.000377328
413,0.413,0.00038524
414,0.414,0.000393203
415,0.415,0.000401216
416,0.416,0.000409277
417,0.417,0.000417382
418,0.418,0.000425529
419,0.419,0.000433715
420,0.42,0.000441937
421,0.421,0.000450191
422,0.422,0.000458476
423,0.423,0.000466786
424,0.424,0.00047512
425,0.425,0.000483474
426,0.426,0.000491844
427,0.427,0.000500228
428,0.428,0.000508621
429,0.429,0.000517022
430,0.43,0.000525425
431,0.431,0.000533829
432,0.432,0.000542229
433,0.433,0.000550623
434,0.434,0.000559006
435,0.435,0.000567375
436,0.436,0.000575727
437,0.437,0.000584057
438,0.438,0.000592361
439,0.439,0.000600635
440,0.44,0.000608874
441,0.441,0.000617073
442,0.442,0.000625228
443,0.443,0.000633333
444,0.444,0.000641383
445,0.445,0.000649373
446,0.446,0.000657297
447,0.447,0.00066515
448,0.448,0.000672925
449,0.449,0.000680618
450,0.45,0.000688221
451,0.451,0.000695731
452,0.452,0.000703141
453,0.453,0.000710445
454,0.454,0.000717638
455,0.455,0.000724715
456,0.456,0.000731669
457,0.457,0.000738495
458,0.458,0.000745187
459,0.459,0.00075174
460,0.46,0.000758147
461,0.461,0.000764402
462,0.462,0.0007705
463,0.463,0.000776433
464,0.464,0.000782195
465,0.465,0.000787778
466,0.466,0.000793176
467,0.467,0.000798381
468,0.468,0.000803386
469,0.469,0.000808182
470,0.47,0.000812762
471,0.471,0.000817118
472,0.472,0.000821242
473,0.473,0.000825125
474,0.474,0.000828759
475,0.475,0.000832137
476,0.476,0.00083525
477,0.477,0.000838091
478,0.478,0.000840651
479,0.479,0.000842923
480,0.48,0.000844899
481,0.481,0.000846571
482,0.482,0.000847931
483,0.483,0.000848972
484,0.484,0.000849686
485,0.485,0.000850065
486,0.486,0.000850101
487,0.487,0.000849785
488,0.488,0.000849109
489,0.489,0.000848063
490,0.49,0.00084664
491,0.491,0.00084483
492,0.492,0.000842623
493,0.493,0.000840009
494,0.494,0.00083698
495,0.495,0.000833525
496,0.496,0.000829634
497,0.497,0.000825297
498,0.498,0.000820504
499,0.499,0.000815246
500,0.5,0.000809513
501,0.501,0.000803294
502,0.502,0.000796582
503,0.503,0.000789365
504,0.504,0.000781636
505,0.505,0.000773385
506,0.506,0.000764604
507,0.507,0.000755282
508,0.508,0.000745412
509,0.509,0.000734984
510,0.51,0.00072399
511,0.511,0.00071242
512,0.512,0.000700266
513,0.513,0.000687516
514,0.514,0.000674163
515,0.515,0.000660197
516,0.516,0.000645606
517,0.517,0.000630381
518,0.518,0.000614512
519,0.519,0.000597989
520,0.52,0.0005808
521,0.521,0.000562936
522,0.522,0.000544385
523,0.523,0.000525139
524,0.524,0.000505187
525,0.525,0.000484518
526,0.526,0.000463124
527,0.527,0.000440995
528,0.528,0.000418121
529,0.529,0.000394495
530,0.53,0.000370107
531,0.531,0.000344949
532,0.532,0.000319012
533,0.533,0.00029229
534,0.534,0.000264772
535,0.535,0.000236452
536,0.536,0.000207321
537,0.537,0.000177371
538,0.538,0.000146593
539,0.539,0.000114979
540,0.54,8.25212e-05
541,0.541,4.92098e-05
542,0.542,1.50365e-05
543,0.543,-2.00075e-05
544,0.544,-5.59312e-05
545,0.545,-9.27432e-05
546,0.546,-0.000130452
547,0.547,-0.000169067
548,0.548,-0.000208595
549,0.549,-0.000249045
550,0.55,-0.000290423
551,0.551,-0.000332739
552,0.552,-0.000375997
553,0.553,-0.000420205
554,0.554,-0.000465368
555,0.555,-0.000511493
556,0.556,-0.000558584
557,0.557,-0.000606647
558,0.558,-0.000655687
559,0.559,-0.000705708
560,0.56,-0.000756715
561,0.561,-0.000808712
562,0.562,-0.000861703
563,0.563,-0.000915694
564,0.564,-0.000970689
565,0.565,-0.00102669
566,0.566,-0.00108371
567,0.567,-0.00114174
568,0.568,-0.0012008
569,0.569,-0.00126088
570,0.57,-0.00132199
571,0.571,-0.00138413
572,0.572,-0.00144731
573,0.573,-0.00151154
574,0.574,-0.0015768
575,0.575,-0.00164311
576,0.576,-0.00171047
577,0.577,-0.00177888
578,0.578,-0.00184834
579,0.579,-0.00191884
580,0.58,-0.0019904
581,0.581,-0.002063
582,0.582,-0.00213665
583,0.583,-0.00221134
584,0.584,-0.00228708
585,0.585,-0.00236386
586,0.586,-0.00244168
587,0.587,-0.00252053
588,0.588,-0.00260042
589,0.589,-0.00268133
590,0.59,-0.00276328
591,0.591,-0.00284625
592,0.592,-0.00293024
593,0.593,-0.00301525
