index,time,amplitude
0,0,0
1,0.001,1.04168e-08
2,0.002,5.05545e-08
3,0.003,1.33121e-07
4,0.004,2.59508e-07
5,0.005,4.1939e-07
6,0.006,5.948e-07
7,0.007,7.67127e-07
8,0.008,9.24355e-07
9,0.009,1.06578e-06
10,0.01,1.20243e-06
11,0.011,1.35296e-06
12,0.012,1.53666e-06
13,0.013,1.76624e-06
14,0.014,2.04309e-06
15,0.015,2.35687e-06
16,0.016,2.68963e-06
17,0.017,3.02274e-06
18,0.018,3.34417e-06
19,0.019,3.65323e-06
20,0.02,3.96091e-06
21,0.021,4.28588e-06
22,0.022,4.64742e-06
23,0.023,5.05823e-06
24,0.024,5.51968e-06
25,0.025,6.02144e-06
26,0.026,6.54552e-06
27,0.027,7.0733e-06
28,0.028,7.59274e-06
29,0.029,8.10311e-06
30,0.03,8.61542e-06
31,0.031,9.14831e-06
32,0.032,9.72104e-06
33,0.033,1.03463e-05
34,0.034,1.10255e-05
35,0.035,1.17481e-05
36,0.036,1.24964e-05
37,0.037,1.32515e-05
38,0.038,1.40014e-05
39,0.039,1.47455e-05
40,0.04,1.54946e-05
41,0.041,1.62674e-05
42,0.042,1.70831e-05
43,0.043,1.79545e-05
44,0.044,1.88828e-05
45,0.045,1.98576e-05
46,0.046,2.0861e-05
47,0.047,2.18743e-05
48,0.048,2.28854e-05
49,0.049,2.38935e-05
50,0.05,2.49096e-05
51,0.051,2.59522e-05
52,0.052,2.70407e-05
53,0.053,2.81876e-05
54,0.054,2.93943e-05
55,0.055,3.06503e-05
56,0.056,3.19375e-05
57,0.057,3.32374e-05
58,0.058,3.45377e-05
59,0.059,3.58378e-05
60,0.06,3.71484e-05
61,0.061,3.84883e-05
62,0.062,3.98764e-05
63,0.063,4.13256e-05
64,0.064,4.2837e-05
65,0.065,4.44002e-05
66,0.066,4.59971e-05
67,0.067,4.7609e-05
68,0.068,4.92237e-05
69,0.069,5.08405e-05
70,0.07,5.24702e-05
71,0.071,5.41312e-05
72,0.072,5.58429e-05
73,0.073,5.76177e-05
74,0.074,5.94569e-05
75,0.075,6.135e-05
76,0.076,6.32789e-05
77,0.077,6.52247e-05
78,0.078,6.71755e-05
79,0.079,6.91301e-05
80,0.08,7.10996e-05
81,0.081,7.31023e-05
82,0.082,7.51575e-05
83,0.083,7.72775e-05
84,0.084,7.94637e-05
85,0.085,8.17055e-05
86,0.086,8.39847e-05
87,0.087,8.62825e-05
88,0.088,8.85867e-05
89,0.089,9.08964e-05
90,0.09,9.32223e-05
91,0.091,9.5583e-05
92,0.092,9.79974e-05
93,0.093,0.000100478
94,0.094,0.000103026
95,0.095,0.000105631
96,0.096,0.000108275
97,0.097,0.000110938
98,0.098,0.000113609
99,0.099,0.000116286
100,0.1,0.00011898
101,0.101,0.000121711
102,0.102,0.000124496
103,0.103,0.000127348
104,0.104,0.000130268
105,0.105,0.000133245
106,0.106,0.000136263
107,0.107,0.0001393
108,0.108,0.000142346
109,0.109,0.000145398
110,0.11,0.000148469
111,0.111,0.000151575
112,0.112,0.000154737
113,0.113,0.000157966
114,0.114,0.000161263
115,0.115,0.000164618
116,0.116,0.000168013
117,0.117,0.000171429
118,0.118,0.000174852
119,0.119,0.000178283
