Frequency,Magnitude,Phase
0,5.25e-12,-1.56976
1,1.29774e-11,-1.40933
2,1.13176e-11,-3.14091
3,1.34177e-11,1.4814
4,3.05029e-11,-0.149663
5,7.21217e-11,2.66801
6,1.34176e-11,2.98977
7,4.67964e-12,1.02959
8,1.46937e-11,-2.98001
9,8.44978e-12,0.0779878
10,1.3311e-11,1.83713
11,7.11067e-12,3.0428
12,1.64968e-11,-0.607097
13,4.43036e-12,-1.79633
14,1.39207e-11,-0.698819
15,1.37947e-11,-1.85515
16,2.31553e-11,-0.101462
17,1.34675e-11,0.729394
18,1.78218e-11,-2.72838
19,5.66172e-11,1.94122
20,1.28694e-11,-0.979875
21,5.39853e-12,2.83662
22,1.16254e-11,-2.57902
23,4.235e-11,-2.18915
24,1.46387e-10,-1.89657
25,1.82092e-11,-0.72955
26,1.06134e-11,0.124459
27,1.76738e-11,1.93647
28,1.18569e-11,1.44236
29,2.31882e-11,-0.943471
30,1.91909e-11,-3.04169
31,1.46619e-11,3.11562
32,2.48416e-12,0.0148214
33,4.7174e-12,-3.00724
34,2.36018e-11,0.144616
35,6.51429e-12,-2.32123
36,6.93021e-12,1.97366
37,2.35227e-11,-0.542991
38,1.46152e-11,0.67638
39,1.08454e-11,-2.99362
40,2.65366e-12,3.1245
41,3.7414e-11,-1.7749
42,3.62196e-11,-2.77565
43,9.98451e-12,-2.93695
44,1.11512e-10,1.22675
45,2.65816e-11,-3.1203
46,7.94052e-12,0.970621
47,7.80679e-12,-1.77945
48,5.12769e-11,-2.2728
49,1.06237e-11,1.74757
50,1.34373e-11,1.55144
51,2.82132e-11,-0.726342
52,8.28762e-12,-2.57532
53,2.65048e-12,-0.157451
54,7.56327e-12,2.27745
55,1.3452e-11,2.06181
56,9.8756e-12,2.92153
57,1.20245e-11,-1.76394
58,5.55602e-10,-1.73724
59,1.67567e-11,-0.172282
60,3.78486e-11,-1.32621
61,1.16696e-11,1.03122
62,2.15426e-12,-0.833463
63,4.36077e-11,-2.62938
64,1.00995e-11,-1.45949
