index,time,amplitude
0,0,-1
1,0.001,-1
2,0.002,-1
3,0.003,-1
4,0.004,-1
5,0.005,-1
6,0.006,-1
7,0.007,-1
8,0.008,-1
9,0.009,-0.999999
10,0.01,-0.999999
11,0.011,-0.999999
12,0.012,-0.999998
13,0.013,-0.999997
14,0.014,-0.999997
15,0.015,-0.999996
16,0.016,-0.999995
17,0.017,-0.999993
18,0.018,-0.999992
19,0.019,-0.99999
20,0.02,-0.999988
21,0.021,-0.999985
22,0.022,-0.999982
23,0.023,-0.999979
24,0.024,-0.999976
25,0.025,-0.999971
26,0.026,-0.999967
27,0.027,-0.999962
28,0.028,-0.999956
29,0.029,-0.99995
30,0.03,-0.999943
31,0.031,-0.999936
32,0.032,-0.999927
33,0.033,-0.999918
34,0.034,-0.999909
35,0.035,-0.999898
36,0.036,-0.999886
37,0.037,-0.999874
38,0.038,-0.99986
39,0.039,-0.999846
40,0.04,-0.99983
41,0.041,-0.999814
42,0.042,-0.999796
43,0.043,-0.999777
44,0.044,-0.999756
45,0.045,-0.999735
46,0.046,-0.999712
47,0.047,-0.999687
48,0.048,-0.999661
49,0.049,-0.999634
50,0.05,-0.999605
51,0.051,-0.999575
52,0.052,-0.999542
53,0.053,-0.999508
54,0.054,-0.999473
55,0.055,-0.999435
56,0.056,-0.999396
57,0.057,-0.999355
58,0.058,-0.999312
59,0.059,-0.999267
60,0.06,-0.99922
61,0.061,-0.999171
62,0.062,-0.999119
63,0.063,-0.999066
64,0.064,-0.99901
65,0.065,-0.998953
66,0.066,-0.998892
67,0.067,-0.99883
68,0.068,-0.998765
69,0.069,-0.998698
70,0.07,-0.998629
71,0.071,-0.998557
72,0.072,-0.998483
73,0.073,-0.998406
74,0.074,-0.998327
75,0.075,-0.998245
76,0.076,-0.998161
77,0.077,-0.998074
78,0.078,-0.997985
79,0.079,-0.997893
80,0.08,-0.997798
81,0.081,-0.997701
82,0.082,-0.997601
83,0.083,-0.997499
84,0.084,-0.997394
85,0.085,-0.997286
86,0.086,-0.997176
87,0.087,-0.997063
88,0.088,-0.996948
89,0.089,-0.99683
90,0.09,-0.99671
91,0.091,-0.996587
92,0.092,-0.996461
93,0.093,-0.996333
94,0.094,-0.996203
95,0.095,-0.99607
96,0.096,-0.995935
97,0.097,-0.995797
98,0.098,-0.995658
99,0.099,-0.995516
100,0.1,-0.995371
101,0.101,-0.995225
102,0.102,-0.995077
103,0.103,-0.994926
104,0.104,-0.994774
105,0.105,-0.99462
106,0.106,-0.994464
107,0.107,-0.994306
108,0.108,-0.994147
109,0.109,-0.993986
110,0.11,-0.993823
111,0.111,-0.993659
112,0.112,-0.993494
113,0.113,-0.993328
114,0.114,-0.993161
115,0.115,-0.992993
116,0.116,-0.992824
117,0.117,-0.992654
118,0.118,-0.992483
119,0.119,-0.992312
120,0.12,-0.992141
121,0.121,-0.991969
122,0.122,-0.991798
123,0.123,-0.991626
124,0.124,-0.991455
125,0.125,-0.991284
126,0.126,-0.991113
127,0.127,-0.990944
128,0.128,-0.990775
129,0.129,-0.990607
130,0.13,-0.99044
131,0.131,-0.990274
132,0.132,-0.99011
133,0.133,-0.989948
134,0.134,-0.989787
135,0.135,-0.989629
136,0.136,-0.989473
137,0.137,-0.989319
138,0.138,-0.989168
139,0.139,-0.989019
140,0.14,-0.988874
141,0.141,-0.988732
142,0.142,-0.988593
143,0.143,-0.988458
144,0.144,-0.988327
145,0.145,-0.9882
146,0.146,-0.988078
147,0.147,-0.98796
148,0.148,-0.987846
149,0.149,-0.987738
150,0.15,-0.987635
151,0.151,-0.987537
152,0.152,-0.987445
153,0.153,-0.987359
154,0.154,-0.987279
155,0.155,-0.987205
156,0.156,-0.987139
157,0.157,-0.987079
158,0.158,-0.987026
159,0.159,-0.98698
160,0.16,-0.986942
161,0.161,-0.986912
162,0.162,-0.98689
163,0.163,-0.986877
164,0.164,-0.986872
165,0.165,-0.986876
166,0.166,-0.986889
167,0.167,-0.986911
168,0.168,-0.986943
169,0.169,-0.986985
170,0.17,-0.987037
171,0.171,-0.9871
172,0.172,-0.987173
173,0.173,-0.987257
174,0.174,-0.987352
175,0.175,-0.987458
176,0.176,-0.987576
177,0.177,-0.987706
178,0.178,-0.987848
179,0.179,-0.988002
180,0.18,-0.988168
181,0.181,-0.988348
182,0.182,-0.98854
183,0.183,-0.988746
184,0.184,-0.988965
185,0.185,-0.989198
186,0.186,-0.989445
187,0.187,-0.989706
188,0.188,-0.989981
189,0.189,-0.990271
190,0.19,-0.990575
191,0.191,-0.990895
192,0.192,-0.991229
193,0.193,-0.991579
194,0.194,-0.991944
195,0.195,-0.992325
196,0.196,-0.992722
197,0.197,-0.993135
198,0.198,-0.993564
199,0.199,-0.99401
200,0.2,-0.994472
201,0.201,-0.99495
202,0.202,-0.995446
203,0.203,-0.995958
204,0.204,-0.996487
205,0.205,-0.997034
206,0.206,-0.997598
207,0.207,-0.998179
208,0.208,-0.998777
209,0.209,-0.999393
210,0.21,-1.00003
211,0.211,-1.00068
212,0.212,-1.00135
213,0.213,-1.00203
214,0.214,-1.00274
215,0.215,-1.00346
216,0.216,-1.0042
217,0.217,-1.00496
218,0.218,-1.00574
219,0.219,-1.00653
220,0.22,-1.00735
221,0.221,-1.00818
222,0.222,-1.00902
223,0.223,-1.00989
224,0.224,-1.01077
225,0.225,-1.01168
226,0.226,-1.0126
227,0.227,-1.01353
228,0.228,-1.01449
229,0.229,-1.01546
230,0.23,-1.01645
231,0.231,-1.01745
232,0.232,-1.01848
233,0.233,-1.01952
234,0.234,-1.02057
235,0.235,-1.02165
236,0.236,-1.02274
237,0.237,-1.02384
238,0.238,-1.02496
239,0.239,-1.0261
240,0.24,-1.02725
241,0.241,-1.02842
242,0.242,-1.0296
243,0.243,-1.0308
244,0.244,-1.03201
245,0.245,-1.03324
246,0.246,-1.03448
247,0.247,-1.03573
248,0.248,-1.037
249,0.249,-1.03828
250,0.25,-1.03957
251,0.251,-1.04087
252,0.252,-1.04219
253,0.253,-1.04351
254,0.254,-1.04485
255,0.255,-1.04619
256,0.256,-1.04755
257,0.257,-1.04892
258,0.258,-1.05029
259,0.259,-1.05168
260,0.26,-1.05307
261,0.261,-1.05447
262,0.262,-1.05587
263,0.263,-1.05728
