index,time,amplitude
0,0,0
1,0.01,0.00628314
2,0.02,0.012566
3,0.03,0.0188484
4,0.04,0.0251301
5,0.05,0.0314108
6,0.06,0.0376902
7,0.07,0.0439681
8,0.08,0.0502443
9,0.09,0.0565185
10,0.1,0.0627905
11,0.11,0.06906
12,0.12,0.0753268
13,0.13,0.0815906
14,0.14,0.0878512
15,0.15,0.0941083
16,0.16,0.100362
17,0.17,0.106611
18,0.18,0.112856
19,0.19,0.119097
20,0.2,0.125333
21,0.21,0.131564
22,0.22,0.13779
23,0.23,0.144011
24,0.24,0.150226
25,0.25,0.156434
26,0.26,0.162637
27,0.27,0.168833
28,0.28,0.175023
29,0.29,0.181206
30,0.3,0.187381
31,0.31,0.193549
32,0.32,0.19971
33,0.33,0.205863
34,0.34,0.212007
35,0.35,0.218143
36,0.36,0.224271
37,0.37,0.230389
38,0.38,0.236499
39,0.39,0.242599
40,0.4,0.24869
41,0.41,0.254771
42,0.42,0.260842
43,0.43,0.266902
44,0.44,0.272952
45,0.45,0.278991
46,0.46,0.285019
47,0.47,0.291036
48,0.48,0.297042
49,0.49,0.303035
50,0.5,0.309017
51,0.51,0.314987
52,0.52,0.320944
53,0.53,0.326888
54,0.54,0.33282
55,0.55,0.338738
56,0.56,0.344643
57,0.57,0.350534
58,0.58,0.356412
59,0.59,0.362275
60,0.6,0.368125
61,0.61,0.373959
62,0.62,0.379779
63,0.63,0.385584
64,0.64,0.391374
65,0.65,0.397148
66,0.66,0.402906
67,0.67,0.408649
68,0.68,0.414376
69,0.69,0.420086
70,0.7,0.425779
71,0.71,0.431456
72,0.72,0.437116
73,0.73,0.442758
74,0.74,0.448383
75,0.75,0.45399
76,0.76,0.45958
77,0.77,0.465151
78,0.78,0.470704
79,0.79,0.476238
80,0.8,0.481754
81,0.81,0.48725
82,0.82,0.492727
83,0.83,0.498185
84,0.84,0.503623
85,0.85,0.509041
86,0.86,0.51444
87,0.87,0.519817
88,0.88,0.525175
89,0.89,0.530511
90,0.9,0.535827
91,0.91,0.541121
92,0.92,0.546394
93,0.93,0.551646
94,0.94,0.556876
95,0.95,0.562083
96,0.96,0.567269
97,0.97,0.572432
98,0.98,0.577573
99,0.99,0.58269
100,1,0.587785
101,1.01,0.592857
102,1.02,0.597905
103,1.03,0.60293
104,1.04,0.60793
105,1.05,0.612907
106,1.06,0.61786
107,1.07,0.622788
108,1.08,0.627691
109,1.09,0.63257
110,1.1,0.637424
111,1.11,0.642253
112,1.12,0.647056
113,1.13,0.651834
114,1.14,0.656586
115,1.15,0.661312
116,1.16,0.666012
117,1.17,0.670686
118,1.18,0.675333
119,1.19,0.679953
120,1.2,0.684547
121,1.21,0.689114
122,1.22,0.693653
123,1.23,0.698165
124,1.24,0.70265
125,1.25,0.707107
126,1.26,0.711536
127,1.27,0.715936
128,1.28,0.720309
129,1.29,0.724653
130,1.3,0.728969
131,1.31,0.733255
132,1.32,0.737513
133,1.33,0.741742
134,1.34,0.745941
135,1.35,0.750111
136,1.36,0.754251
137,1.37,0.758362
138,1.38,0.762443
139,1.39,0.766493
140,1.4,0.770513
141,1.41,0.774503
142,1.42,0.778462
143,1.43,0.782391
144,1.44,0.786288
145,1.45,0.790155
146,1.46,0.79399
147,1.47,0.797794
148,1.48,0.801567
149,1.49,0.805308
150,1.5,0.809017
151,1.51,0.812694
152,1.52,0.816339
153,1.53,0.819952
154,1.54,0.823533
155,1.55,0.827081
156,1.56,0.830596
157,1.57,0.834078
158,1.58,0.837528
159,1.59,0.840945
160,1.6,0.844328
161,1.61,0.847678
162,1.62,0.850994
163,1.63,0.854277
164,1.64,0.857527
165,1.65,0.860742
166,1.66,0.863923
167,1.67,0.867071
168,1.68,0.870184
169,1.69,0.873262
170,1.7,0.876307
171,1.71,0.879316
172,1.72,0.882291
173,1.73,0.885231
174,1.74,0.888136
175,1.75,0.891007
176,1.76,0.893841
177,1.77,0.896641
178,1.78,0.899405
179,1.79,0.902134
180,1.8,0.904827
181,1.81,0.907484
182,1.82,0.910106
183,1.83,0.912692
184,1.84,0.915241
185,1.85,0.917755
186,1.86,0.920232
187,1.87,0.922673
188,1.88,0.925077
189,1.89,0.927445
190,1.9,0.929776
191,1.91,0.932071
192,1.92,0.934329
193,1.93,0.93655
194,1.94,0.938734
195,1.95,0.940881
196,1.96,0.942991
197,1.97,0.945063
198,1.98,0.947098
199,1.99,0.949096
200,2,0.951057
201,2.01,0.952979
202,2.02,0.954865
203,2.03,0.956712
204,2.04,0.958522
205,2.05,0.960294
206,2.06,0.962028
207,2.07,0.963724
208,2.08,0.965382
