index,time,amplitude
0,0,1
1,0.01,0.998027
2,0.02,0.992115
3,0.03,0.982287
4,0.04,0.968583
5,0.05,0.951057
6,0.06,0.929776
7,0.07,0.904827
8,0.08,0.876307
9,0.09,0.844328
10,0.1,0.809017
11,0.11,0.770513
12,0.12,0.728969
13,0.13,0.684547
14,0.14,0.637424
15,0.15,0.587785
16,0.16,0.535827
17,0.17,0.481754
18,0.18,0.425779
19,0.19,0.368125
20,0.2,0.309017
21,0.21,0.24869
22,0.22,0.187381
23,0.23,0.125333
24,0.24,0.0627905
25,0.25,6.12323e-17
26,0.26,-0.0627905
27,0.27,-0.125333
28,0.28,-0.187381
29,0.29,-0.24869
30,0.3,-0.309017
31,0.31,-0.368125
32,0.32,-0.425779
33,0.33,-0.481754
34,0.34,-0.535827
35,0.35,-0.587785
36,0.36,-0.637424
37,0.37,-0.684547
38,0.38,-0.728969
39,0.39,-0.770513
40,0.4,-0.809017
41,0.41,-0.844328
42,0.42,-0.876307
43,0.43,-0.904827
44,0.44,-0.929776
45,0.45,-0.951057
46,0.46,-0.968583
47,0.47,-0.982287
48,0.48,-0.992115
49,0.49,-0.998027
50,0.5,-1
51,0.51,-0.998027
52,0.52,-0.992115
53,0.53,-0.982287
54,0.54,-0.968583
55,0.55,-0.951057
56,0.56,-0.929776
57,0.57,-0.904827
58,0.58,-0.876307
59,0.59,-0.844328
60,0.6,-0.809017
61,0.61,-0.770513
62,0.62,-0.728969
63,0.63,-0.684547
64,0.64,-0.637424
65,0.65,-0.587785
66,0.66,-0.535827
67,0.67,-0.481754
68,0.68,-0.425779
69,0.69,-0.368125
70,0.7,-0.309017
71,0.71,-0.24869
72,0.72,-0.187381
73,0.73,-0.125333
74,0.74,-0.0627905
75,0.75,-1.83697e-16
76,0.76,0.0627905
77,0.77,0.125333
78,0.78,0.187381
79,0.79,0.24869
80,0.8,0.309017
81,0.81,0.368125
82,0.82,0.425779
83,0.83,0.481754
84,0.84,0.535827
85,0.85,0.587785
86,0.86,0.637424
87,0.87,0.684547
88,0.88,0.728969
89,0.89,0.770513
90,0.9,0.809017
91,0.91,0.844328
92,0.92,0.876307
93,0.93,0.904827
94,0.94,0.929776
95,0.95,0.951057
96,0.96,0.968583
97,0.97,0.982287
98,0.98,0.992115
99,0.99,0.998027
100,1,1
101,1.01,0.998027
102,1.02,0.992115
103,1.03,0.982287
104,1.04,0.968583
105,1.05,0.951057
106,1.06,0.929776
107,1.07,0.904827
108,1.08,0.876307
109,1.09,0.844328
110,1.1,0.809017
111,1.11,0.770513
112,1.12,0.728969
113,1.13,0.684547
114,1.14,0.637424
115,1.15,0.587785
116,1.16,0.535827
117,1.17,0.481754
118,1.18,0.425779
119,1.19,0.368125
120,1.2,0.309017
121,1.21,0.24869
122,1.22,0.187381
123,1.23,0.125333
124,1.24,0.0627905
125,1.25,3.06162e-16
126,1.26,-0.0627905
127,1.27,-0.125333
128,1.28,-0.187381
129,1.29,-0.24869
130,1.3,-0.309017
131,1.31,-0.368125
132,1.32,-0.425779
133,1.33,-0.481754
134,1.34,-0.535827
135,1.35,-0.587785
136,1.36,-0.637424
137,1.37,-0.684547
138,1.38,-0.728969
139,1.39,-0.770513
140,1.4,-0.809017
141,1.41,-0.844328
142,1.42,-0.876307
143,1.43,-0.904827
144,1.44,-0.929776
145,1.45,-0.951057
146,1.46,-0.968583
147,1.47,-0.982287
148,1.48,-0.992115
149,1.49,-0.998027
150,1.5,-1
151,1.51,-0.998027
152,1.52,-0.992115
153,1.53,-0.982287
154,1.54,-0.968583
155,1.55,-0.951057
156,1.56,-0.929776
157,1.57,-0.904827
158,1.58,-0.876307
159,1.59,-0.844328
160,1.6,-0.809017
161,1.61,-0.770513
162,1.62,-0.728969
163,1.63,-0.684547
164,1.64,-0.637424
165,1.65,-0.587785
166,1.66,-0.535827
167,1.67,-0.481754
168,1.68,-0.425779
169,1.69,-0.368125
170,1.7,-0.309017
171,1.71,-0.24869
172,1.72,-0.187381
173,1.73,-0.125333
174,1.74,-0.0627905
175,1.75,-4.28626e-16
176,1.76,0.0627905
177,1.77,0.125333
178,1.78,0.187381
179,1.79,0.24869
180,1.8,0.309017
181,1.81,0.368125
182,1.82,0.425779
183,1.83,0.481754
184,1.84,0.535827
185,1.85,0.587785
186,1.86,0.637424
187,1.87,0.684547
188,1.88,0.728969
189,1.89,0.770513
190,1.9,0.809017
191,1.91,0.844328
192,1.92,0.876307
193,1.93,0.904827
194,1.94,0.929776
195,1.95,0.951057
196,1.96,0.968583
197,1.97,0.982287
198,1.98,0.992115
199,1.99,0.998027
200,2,1
201,2.01,0.998027
202,2.02,0.992115
203,2.03,0.982287
204,2.04,0.968583
205,2.05,0.951057
206,2.06,0.929776
207,2.07,0.904827
208,2.08,0.876307
209,2.09,0.844328
210,2.1,0.809017
211,2.11,0.770513
212,2.12,0.728969
213,2.13,0.684547
214,2.14,0.637424
215,2.15,0.587785
216,2.16,0.535827
217,2.17,0.481754
218,2.18,0.425779
219,2.19,0.368125
220,2.2,0.309017
221,2.21,0.24869
222,2.22,0.187381
223,2.23,0.125333
224,2.24,0.0627905
225,2.25,5.51091e-16
226,2.26,-0.0627905
227,2.27,-0.125333
228,2.28,-0.187381
229,2.29,-0.24869
230,2.3,-0.309017
231,2.31,-0.368125
232,2.32,-0.425779
233,2.33,-0.481754
234,2.34,-0.535827
235,2.35,-0.587785
236,2.36,-0.637424
237,2.37,-0.684547
238,2.38,-0.728969
239,2.39,-0.770513
240,2.4,-0.809017
241,2.41,-0.844328
242,2.42,-0.876307
243,2.43,-0.904827
244,2.44,-0.929776
245,2.45,-0.951057
246,2.46,-0.968583
247,2.47,-0.982287
248,2.48,-0.992115
249,2.49,-0.998027
250,2.5,-1
251,2.51,-0.998027
252,2.52,-0.992115
253,2.53,-0.982287
254,2.54,-0.968583
255,2.55,-0.951057
256,2.56,-0.929776
257,2.57,-0.904827
258,2.58,-0.876307
259,2.59,-0.844328
260,2.6,-0.809017
261,2.61,-0.770513
262,2.62,-0.728969
263,2.63,-0.684547
264,2.64,-0.637424
265,2.65,-0.587785
266,2.66,-0.535827
267,2.67,-0.481754
268,2.68,-0.425779
269,2.69,-0.368125
270,2.7,-0.309017
271,2.71,-0.24869
272,2.72,-0.187381
273,2.73,-0.125333
274,2.74,-0.0627905
275,2.75,-2.44991e-15
276,2.76,0.0627905
277,2.77,0.125333
278,2.78,0.187381
279,2.79,0.24869
280,2.8,0.309017
281,2.81,0.368125
282,2.82,0.425779
283,2.83,0.481754
284,2.84,0.535827
285,2.85,0.587785
286,2.86,0.637424
287,2.87,0.684547
288,2.88,0.728969
289,2.89,0.770513
290,2.9,0.809017
291,2.91,0.844328
292,2.92,0.876307
