index,time,amplitude
0,0,1
1,0.001,0.99999
2,0.002,0.999961
3,0.003,0.999913
4,0.004,0.999845
5,0.005,0.999758
6,0.006,0.999652
7,0.007,0.999526
8,0.008,0.999381
9,0.009,0.999217
10,0.01,0.999033
11,0.011,0.99883
12,0.012,0.998608
13,0.013,0.998366
14,0.014,0.998105
15,0.015,0.997825
16,0.016,0.997525
17,0.017,0.997206
18,0.018,0.996868
19,0.019,0.99651
20,0.02,0.996134
21,0.021,0.995738
22,0.022,0.995322
23,0.023,0.994888
24,0.024,0.994434
25,0.025,0.993961
26,0.026,0.993469
27,0.027,0.992957
28,0.028,0.992427
29,0.029,0.991877
30,0.03,0.991308
31,0.031,0.990719
32,0.032,0.990112
33,0.033,0.989485
34,0.034,0.98884
35,0.035,0.988175
36,0.036,0.987491
37,0.037,0.986788
38,0.038,0.986066
39,0.039,0.985325
40,0.04,0.984564
41,0.041,0.983785
42,0.042,0.982987
43,0.043,0.982169
44,0.044,0.981333
45,0.045,0.980478
46,0.046,0.979603
47,0.047,0.97871
48,0.048,0.977798
49,0.049,0.976867
50,0.05,0.975917
51,0.051,0.974948
52,0.052,0.97396
53,0.053,0.972954
54,0.054,0.971928
55,0.055,0.970884
56,0.056,0.969821
57,0.057,0.968739
58,0.058,0.967639
59,0.059,0.96652
60,0.06,0.965382
61,0.061,0.964225
62,0.062,0.96305
63,0.063,0.961856
64,0.064,0.960644
65,0.065,0.959412
66,0.066,0.958163
67,0.067,0.956895
68,0.068,0.955608
69,0.069,0.954303
70,0.07,0.952979
71,0.071,0.951637
72,0.072,0.950277
73,0.073,0.948898
74,0.074,0.947501
75,0.075,0.946085
76,0.076,0.944652
77,0.077,0.943199
78,0.078,0.941729
79,0.079,0.940241
80,0.08,0.938734
81,0.081,0.937209
82,0.082,0.935666
83,0.083,0.934105
84,0.084,0.932526
85,0.085,0.930928
86,0.086,0.929313
87,0.087,0.92768
88,0.088,0.926029
89,0.089,0.92436
90,0.09,0.922673
91,0.091,0.920968
92,0.092,0.919245
93,0.093,0.917505
94,0.094,0.915747
95,0.095,0.913971
96,0.096,0.912177
97,0.097,0.910366
98,0.098,0.908537
99,0.099,0.906691
100,0.1,0.904827
101,0.101,0.902946
102,0.102,0.901047
103,0.103,0.89913
104,0.104,0.897197
105,0.105,0.895246
106,0.106,0.893277
107,0.107,0.891292
108,0.108,0.889289
109,0.109,0.887269
110,0.11,0.885231
111,0.111,0.883177
112,0.112,0.881105
113,0.113,0.879017
114,0.114,0.876911
115,0.115,0.874789
116,0.116,0.872649
117,0.117,0.870493
118,0.118,0.86832
119,0.119,0.86613
120,0.12,0.863923
121,0.121,0.8617
122,0.122,0.85946
123,0.123,0.857203
124,0.124,0.85493
125,0.125,0.85264
126,0.126,0.850334
127,0.127,0.848011
128,0.128,0.845672
129,0.129,0.843316
130,0.13,0.840945
131,0.131,0.838556
132,0.132,0.836152
133,0.133,0.833732
134,0.134,0.831295
135,0.135,0.828842
136,0.136,0.826374
137,0.137,0.823889
138,0.138,0.821388
139,0.139,0.818872
140,0.14,0.816339
141,0.141,0.813791
142,0.142,0.811227
143,0.143,0.808648
144,0.144,0.806052
145,0.145,0.803441
146,0.146,0.800815
147,0.147,0.798173
148,0.148,0.795516
149,0.149,0.792843
150,0.15,0.790155
151,0.151,0.787452
152,0.152,0.784733
153,0.153,0.781999
154,0.154,0.77925
155,0.155,0.776487
156,0.156,0.773708
157,0.157,0.770914
158,0.158,0.768105
159,0.159,0.765281
160,0.16,0.762443
161,0.161,0.759589
162,0.162,0.756721
163,0.163,0.753839
164,0.164,0.750942
165,0.165,0.74803
166,0.166,0.745104
167,0.167,0.742163
168,0.168,0.739208
169,0.169,0.736239
170,0.17,0.733255
171,0.171,0.730258
172,0.172,0.727246
173,0.173,0.72422
174,0.174,0.72118
175,0.175,0.718126
176,0.176,0.715059
177,0.177,0.711977
178,0.178,0.708882
179,0.179,0.705773
180,0.18,0.70265
181,0.181,0.699514
182,0.182,0.696364
183,0.183,0.693201
184,0.184,0.690024
185,0.185,0.686834
186,0.186,0.683631
187,0.187,0.680414
188,0.188,0.677184
189,0.189,0.673941
190,0.19,0.670686
191,0.191,0.667417
192,0.192,0.664135
193,0.193,0.66084
194,0.194,0.657533
195,0.195,0.654213
196,0.196,0.65088
197,0.197,0.647535
198,0.198,0.644177
199,0.199,0.640807
200,0.2,0.637424
201,0.201,0.634029
202,0.202,0.630622
203,0.203,0.627202
204,0.204,0.62377
205,0.205,0.620327
206,0.206,0.616871
207,0.207,0.613403
208,0.208,0.609924
209,0.209,0.606433
210,0.21,0.60293
211,0.211,0.599415
212,0.212,0.595889
213,0.213,0.592351
214,0.214,0.588801
215,0.215,0.585241
216,0.216,0.581669
217,0.217,0.578086
218,0.218,0.574491
219,0.219,0.570886
220,0.22,0.567269
221,0.221,0.563641
222,0.222,0.560003
223,0.223,0.556354
224,0.224,0.552694
225,0.225,0.549023
226,0.226,0.545341
227,0.227,0.54165
228,0.228,0.537947
229,0.229,0.534234
230,0.23,0.530511
231,0.231,0.526778
232,0.232,0.523034
233,0.233,0.51928
234,0.234,0.515517
235,0.235,0.511743
236,0.236,0.507959
237,0.237,0.504166
238,0.238,0.500363
239,0.239,0.49655
240,0.24,0.492727
241,0.241,0.488895
242,0.242,0.485054
243,0.243,0.481203
244,0.244,0.477343
245,0.245,0.473473
246,0.246,0.469595
247,0.247,0.465707
248,0.248,0.461811
249,0.249,0.457905
250,0.25,0.45399
251,0.251,0.450067
252,0.252,0.446135
253,0.253,0.442195
254,0.254,0.438246
255,0.255,0.434288
256,0.256,0.430322
257,0.257,0.426348
258,0.258,0.422365
259,0.259,0.418374
260,0.26,0.414376
261,0.261,0.410369
262,0.262,0.406354
263,0.263,0.402331
264,0.264,0.398301
265,0.265,0.394263
266,0.266,0.390217
267,0.267,0.386164
268,0.268,0.382103
269,0.269,0.378035
270,0.27,0.373959
271,0.271,0.369876
272,0.272,0.365787
273,0.273,0.36169
274,0.274,0.357586
275,0.275,0.353475
276,0.276,0.349357
277,0.277,0.345233
278,0.278,0.341102
279,0.279,0.336964
280,0.28,0.33282
281,0.281,0.328669
282,0.282,0.324512
283,0.283,0.320348
284,0.284,0.316179
285,0.285,0.312003
286,0.286,0.307822
287,0.287,0.303634
288,0.288,0.29944
289,0.289,0.295241
290,0.29,0.291036
291,0.291,0.286826
292,0.292,0.282609
293,0.293,0.278388
294,0.294,0.274161
295,0.295,0.269928
296,0.296,0.265691
297,0.297,0.261448
298,0.298,0.2572
299,0.299,0.252948
300,0.3,0.24869
301,0.301,0.244427
302,0.302,0.24016
303,0.303,0.235888
304,0.304,0.231612
305,0.305,0.227331
306,0.306,0.223046
307,0.307,0.218756
308,0.308,0.214463
309,0.309,0.210165
310,0.31,0.205863
311,0.311,0.201557
312,0.312,0.197247
313,0.313,0.192933
314,0.314,0.188616
315,0.315,0.184294
316,0.316,0.17997
317,0.317,0.175642
318,0.318,0.17131
319,0.319,0.166975
320,0.32,0.162637
321,0.321,0.158296
322,0.322,0.153952
323,0.323,0.149604
324,0.324,0.145254
325,0.325,0.140901
326,0.326,0.136546
327,0.327,0.132187
328,0.328,0.127826
329,0.329,0.123463
330,0.33,0.119097
331,0.331,0.114729
332,0.332,0.110359
333,0.333,0.105986
334,0.334,0.101612
335,0.335,0.0972355
336,0.336,0.0928572
337,0.337,0.0884771
338,0.338,0.0840952
339,0.339,0.0797118
340,0.34,0.0753268
341,0.341,0.0709404
342,0.342,0.0665525
343,0.343,0.0621634
344,0.344,0.0577731
345,0.345,0.0533817
346,0.346,0.0489892
347,0.347,0.0445958
348,0.348,0.0402015
349,0.349,0.0358065
350,0.35,0.0314108
351,0.351,0.0270144
352,0.352,0.0226175
353,0.353,0.0182202
354,0.354,0.0138226
355,0.355,0.00942464
356,0.356,0.00502653
357,0.357,0.000628318
358,0.358,-0.0037699
359,0.359,-0.00816805
360,0.36,-0.012566
361,0.361,-0.0169638
362,0.362,-0.0213612
363,0.363,-0.0257582
364,0.364,-0.0301547
365,0.365,-0.0345506
366,0.366,-0.0389459
367,0.367,-0.0433404
368,0.368,-0.0477341
369,0.369,-0.0521268
370,0.37,-0.0565185
371,0.371,-0.0609092
372,0.372,-0.0652986
373,0.373,-0.0696868
374,0.374,-0.0740737
375,0.375,-0.0784591
376,0.376,-0.082843
377,0.377,-0.0872253
378,0.378,-0.0916059
379,0.379,-0.0959847
380,0.38,-0.100362
381,0.381,-0.104737
382,0.382,-0.10911
383,0.383,-0.113481
384,0.384,-0.117849
385,0.385,-0.122216
386,0.386,-0.12658
387,0.387,-0.130941
388,0.388,-0.135301
389,0.389,-0.139657
390,0.39,-0.144011
391,0.391,-0.148362
392,0.392,-0.15271
393,0.393,-0.157055
394,0.394,-0.161397
395,0.395,-0.165736
396,0.396,-0.170072
397,0.397,-0.174404
398,0.398,-0.178734
399,0.399,-0.183059
400,0.4,-0.187381
401,0.401,-0.1917
402,0.402,-0.196015
403,0.403,-0.200326
404,0.404,-0.204633
405,0.405,-0.208936
406,0.406,-0.213235
407,0.407,-0.21753
408,0.408,-0.221821
409,0.409,-0.226107
410,0.41,-0.230389
411,0.411,-0.234667
412,0.412,-0.23894
413,0.413,-0.243209
414,0.414,-0.247473
415,0.415,-0.251732
416,0.416,-0.255986
417,0.417,-0.260235
418,0.418,-0.264479
419,0.419,-0.268718
420,0.42,-0.272952
421,0.421,-0.277181
422,0.422,-0.281404
423,0.423,-0.285621
424,0.424,-0.289834
425,0.425,-0.29404
426,0.426,-0.298241
427,0.427,-0.302436
428,0.428,-0.306626
429,0.429,-0.310809
430,0.43,-0.314987
431,0.431,-0.319158
432,0.432,-0.323323
433,0.433,-0.327482
434,0.434,-0.331634
435,0.435,-0.33578
436,0.436,-0.33992
437,0.437,-0.344053
438,0.438,-0.348179
439,0.439,-0.352299
440,0.44,-0.356412
441,0.441,-0.360518
442,0.442,-0.364617
443,0.443,-0.368709
444,0.444,-0.372793
445,0.445,-0.376871
446,0.446,-0.380941
447,0.447,-0.385004
448,0.448,-0.38906
449,0.449,-0.393108
450,0.45,-0.397148
451,0.451,-0.401181
452,0.452,-0.405205
453,0.453,-0.409222
454,0.454,-0.413232
455,0.455,-0.417233
456,0.456,-0.421226
457,0.457,-0.425211
458,0.458,-0.429187
459,0.459,-0.433156
460,0.46,-0.437116
461,0.461,-0.441067
462,0.462,-0.44501
463,0.463,-0.448945
464,0.464,-0.45287
465,0.465,-0.456787
466,0.466,-0.460696
467,0.467,-0.464595
468,0.468,-0.468485
469,0.469,-0.472366
470,0.47,-0.476238
471,0.471,-0.480101
472,0.472,-0.483955
473,0.473,-0.487799
474,0.474,-0.491633
475,0.475,-0.495459
476,0.476,-0.499274
477,0.477,-0.50308
478,0.478,-0.506877
479,0.479,-0.510663
480,0.48,-0.51444
481,0.481,-0.518206
482,0.482,-0.521963
483,0.483,-0.525709
484,0.484,-0.529446
485,0.485,-0.533172
486,0.486,-0.536887
487,0.487,-0.540593
488,0.488,-0.544288
489,0.489,-0.547972
490,0.49,-0.551646
491,0.491,-0.555309
492,0.492,-0.558961
493,0.493,-0.562603
494,0.494,-0.566234
495,0.495,-0.569853
496,0.496,-0.573462
497,0.497,-0.57706
498,0.498,-0.580646
499,0.499,-0.584221
500,0.5,-0.587785
501,0.501,-0.591338
502,0.502,-0.594879
503,0.503,-0.598409
504,0.504,-0.601927
505,0.505,-0.605433
506,0.506,-0.608928
507,0.507,-0.61241
508,0.508,-0.615882
509,0.509,-0.619341
510,0.51,-0.622788
511,0.511,-0.626223
512,0.512,-0.629646
513,0.513,-0.633057
514,0.514,-0.636455
515,0.515,-0.639841
516,0.516,-0.643215
517,0.517,-0.646577
518,0.518,-0.649926
519,0.519,-0.653262
520,0.52,-0.656586
521,0.521,-0.659897
522,0.522,-0.663195
523,0.523,-0.66648
524,0.524,-0.669753
525,0.525,-0.673013
526,0.526,-0.676259
527,0.527,-0.679493
528,0.528,-0.682713
529,0.529,-0.68592
530,0.53,-0.689114
531,0.531,-0.692294
532,0.532,-0.695461
533,0.533,-0.698615
534,0.534,-0.701755
535,0.535,-0.704882
536,0.536,-0.707995
537,0.537,-0.711094
538,0.538,-0.71418
539,0.539,-0.717251
540,0.54,-0.720309
541,0.541,-0.723353
542,0.542,-0.726383
543,0.543,-0.729399
544,0.544,-0.7324
545,0.545,-0.735388
546,0.546,-0.738361
547,0.547,-0.74132
548,0.548,-0.744265
549,0.549,-0.747195
550,0.55,-0.750111
551,0.551,-0.753012
552,0.552,-0.755899
553,0.553,-0.758771
554,0.554,-0.761629
555,0.555,-0.764472
556,0.556,-0.767299
557,0.557,-0.770113
558,0.558,-0.772911
559,0.559,-0.775694
560,0.56,-0.778462
561,0.561,-0.781215
562,0.562,-0.783954
563,0.563,-0.786676
564,0.564,-0.789384
565,0.565,-0.792077
566,0.566,-0.794754
567,0.567,-0.797415
568,0.568,-0.800062
569,0.569,-0.802693
570,0.57,-0.805308
571,0.571,-0.807908
572,0.572,-0.810492
573,0.573,-0.81306
574,0.574,-0.815613
575,0.575,-0.81815
576,0.576,-0.820671
577,0.577,-0.823176
578,0.578,-0.825665
579,0.579,-0.828139
580,0.58,-0.830596
581,0.581,-0.833037
582,0.582,-0.835462
583,0.583,-0.837871
584,0.584,-0.840264
585,0.585,-0.84264
586,0.586,-0.845001
587,0.587,-0.847344
588,0.588,-0.849672
589,0.589,-0.851983
590,0.59,-0.854277
591,0.591,-0.856555
592,0.592,-0.858817
593,0.593,-0.861062
594,0.594,-0.86329
595,0.595,-0.865501
596,0.596,-0.867696
597,0.597,-0.869874
598,0.598,-0.872035
599,0.599,-0.874179
600,0.6,-0.876307
601,0.601,-0.878417
602,0.602,-0.88051
603,0.603,-0.882587
604,0.604,-0.884646
605,0.605,-0.886688
606,0.606,-0.888713
607,0.607,-0.890721
608,0.608,-0.892712
609,0.609,-0.894685
610,0.61,-0.896641
611,0.611,-0.89858
612,0.612,-0.900501
613,0.613,-0.902405
614,0.614,-0.904291
615,0.615,-0.90616
616,0.616,-0.908012
617,0.617,-0.909845
618,0.618,-0.911662
619,0.619,-0.91346
620,0.62,-0.915241
621,0.621,-0.917004
622,0.622,-0.91875
623,0.623,-0.920478
624,0.624,-0.922187
625,0.625,-0.92388
626,0.626,-0.925554
627,0.627,-0.92721
628,0.628,-0.928848
629,0.629,-0.930469
630,0.63,-0.932071
631,0.631,-0.933655
632,0.632,-0.935222
633,0.633,-0.93677
634,0.634,-0.9383
635,0.635,-0.939812
636,0.636,-0.941306
637,0.637,-0.942781
638,0.638,-0.944239
639,0.639,-0.945678
640,0.64,-0.947098
641,0.641,-0.948501
642,0.642,-0.949885
643,0.643,-0.95125
644,0.644,-0.952598
645,0.645,-0.953927
646,0.646,-0.955237
647,0.647,-0.956529
648,0.648,-0.957802
649,0.649,-0.959057
650,0.65,-0.960294
651,0.651,-0.961511
652,0.652,-0.962711
653,0.653,-0.963891
654,0.654,-0.965053
655,0.655,-0.966196
656,0.656,-0.967321
657,0.657,-0.968427
658,0.658,-0.969514
659,0.659,-0.970582
660,0.66,-0.971632
661,0.661,-0.972663
662,0.662,-0.973674
663,0.663,-0.974668
664,0.664,-0.975642
665,0.665,-0.976597
666,0.666,-0.977534
667,0.667,-0.978451
668,0.668,-0.97935
669,0.669,-0.98023
670,0.67,-0.981091
671,0.671,-0.981932
672,0.672,-0.982755
673,0.673,-0.983559
674,0.674,-0.984344
675,0.675,-0.985109
676,0.676,-0.985856
677,0.677,-0.986584
678,0.678,-0.987292
679,0.679,-0.987981
680,0.68,-0.988652
681,0.681,-0.989303
682,0.682,-0.989935
683,0.683,-0.990548
684,0.684,-0.991142
685,0.685,-0.991716
686,0.686,-0.992271
687,0.687,-0.992808
688,0.688,-0.993325
689,0.689,-0.993822
690,0.69,-0.994301
691,0.691,-0.99476
692,0.692,-0.9952
693,0.693,-0.995621
694,0.694,-0.996022
695,0.695,-0.996405
696,0.696,-0.996768
697,0.697,-0.997111
698,0.698,-0.997436
699,0.699,-0.997741
700,0.7,-0.998027
701,0.701,-0.998293
702,0.702,-0.99854
703,0.703,-0.998768
704,0.704,-0.998977
705,0.705,-0.999166
706,0.706,-0.999336
707,0.707,-0.999487
708,0.708,-0.999618
709,0.709,-0.99973
710,0.71,-0.999822
711,0.711,-0.999896
712,0.712,-0.999949
713,0.713,-0.999984
714,0.714,-0.999999
715,0.715,-0.999995
716,0.716,-0.999972
717,0.717,-0.999929
718,0.718,-0.999867
719,0.719,-0.999785
720,0.72,-0.999684
721,0.721,-0.999564
722,0.722,-0.999424
723,0.723,-0.999266
724,0.724,-0.999087
725,0.725,-0.99889
726,0.726,-0.998673
727,0.727,-0.998437
728,0.728,-0.998181
729,0.729,-0.997907
730,0.73,-0.997613
731,0.731,-0.997299
732,0.732,-0.996966
733,0.733,-0.996614
734,0.734,-0.996243
735,0.735,-0.995853
736,0.736,-0.995443
737,0.737,-0.995014
738,0.738,-0.994566
739,0.739,-0.994098
740,0.74,-0.993611
741,0.741,-0.993105
742,0.742,-0.99258
743,0.743,-0.992036
744,0.744,-0.991472
745,0.745,-0.990889
746,0.746,-0.990287
747,0.747,-0.989666
748,0.748,-0.989026
749,0.749,-0.988367
750,0.75,-0.987688
751,0.751,-0.986991
752,0.752,-0.986274
753,0.753,-0.985538
